Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
7025;0.3066148;14.6155;1.6061;-0.1887;2.5294;270.5381;1.3428;True;True;0.0474;1.4888;0.0986;334.0954;23.7662;330.3386;0.8201;-2.8239;1.4707;0.0000;True;True;-0.4232;1.5398;0.0426;322.6997;318.9415;56.8669;-1.5796;-1.8412;1.7866;0.0000;
7030;0.3935481;14.6105;1.6092;-0.1862;0.9817;272.6289;1.4594;True;True;0.0544;1.4273;0.1330;341.8078;21.1881;334.4979;0.6604;-2.3854;1.0659;0.0000;True;True;-0.4687;1.4802;0.0809;336.1819;321.8298;54.9014;-1.0342;-2.8593;2.5180;0.0000;
7035;0.4716713;14.6064;1.6090;-0.1829;1.3135;276.4498;1.7173;True;True;0.0587;1.3754;0.1514;349.1128;23.7632;334.3911;0.1064;-1.8533;0.6395;0.0000;True;True;-0.4862;1.4126;0.1236;352.5113;320.2651;50.3106;-0.5966;-2.6842;1.4099;0.0000;
7040;0.5469738;14.6019;1.6079;-0.1832;2.2059;278.3871;1.7191;True;True;0.0650;1.3367;0.1585;355.8055;29.2404;330.2072;0.1466;-1.3189;0.1847;0.0000;True;True;-0.4961;1.3561;0.1502;2.0069;315.1090;45.7417;-0.3634;-2.0319;0.9604;0.0000;
7045;0.6195109;14.5979;1.6087;-0.1867;2.0389;279.6033;1.7087;True;True;0.0692;1.3141;0.1578;357.9052;34.1260;331.3132;0.0710;-0.6633;-0.1468;0.0000;True;True;-0.4952;1.3204;0.1696;11.4640;316.4250;46.3607;0.1949;-1.0232;0.7633;0.0000;
7050;0.6898099;14.5936;1.6109;-0.1945;1.0627;278.1013;2.1531;True;True;0.0682;1.3095;0.1532;355.4710;38.5438;334.6658;-0.2289;0.2161;-0.1694;0.0000;True;True;-0.4874;1.3062;0.1860;14.1262;313.6309;40.7718;0.3840;-0.2304;0.5838;0.0000;
7055;0.7598716;14.5891;1.6128;-0.2032;359.8840;273.9501;2.1917;True;True;0.0531;1.3278;0.1506;345.4616;39.8338;342.9253;-0.7964;0.8759;0.0326;0.0000;True;True;-0.4758;1.3132;0.1972;11.5795;316.8270;41.9823;0.6791;0.6940;0.3055;0.0000;
7060;0.8297628;14.5840;1.6136;-0.2054;359.0600;271.0617;2.0050;True;True;0.0367;1.3530;0.1576;337.8625;37.4122;346.7087;-0.6590;1.0831;0.3910;0.0000;True;True;-0.4543;1.3430;0.2038;358.6823;316.3142;39.1228;1.1430;1.4733;0.1753;0.0000;
7065;0.8997483;14.5788;1.6114;-0.1985;358.4477;270.2953;2.5402;True;True;0.0251;1.3793;0.1732;329.5114;34.8589;351.6005;-0.3085;1.1475;0.7321;0.0000;True;True;-0.4147;1.3844;0.2100;341.4370;313.6529;34.3176;1.7802;1.6176;0.1477;0.0000;
7070;0.9692079;14.5732;1.6066;-0.1825;358.6292;269.9725;3.0402;True;True;0.0278;1.4112;0.1979;321.3073;33.4517;352.4008;0.3813;1.3075;1.1543;0.0000;True;True;-0.3718;1.4176;0.2122;328.9767;310.6871;36.6048;1.7372;1.1990;0.1748;0.0000;
