Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
3075;0.3349492;15.1087;1.4659;0.1819;358.5201;268.8120;1.8305;True;True;0.5114;1.3499;-0.2970;326.4849;64.9820;329.4013;0.1138;-0.0384;0.1096;0.0000;True;True;-0.1633;1.3652;-0.3296;333.6865;286.2202;57.9309;0.2248;-0.0123;0.0862;0.0000;
3080;0.4246228;15.1082;1.4645;0.1830;358.5763;266.9684;1.2826;True;True;0.5119;1.3496;-0.2950;326.7881;64.5852;327.6451;-0.0949;-0.0190;-0.0025;0.0000;True;True;-0.1587;1.3660;-0.3305;332.4159;284.2344;58.7694;0.2962;0.0798;-0.0379;0.0000;
3085;0.5025223;15.1071;1.4645;0.1858;358.4176;266.0309;0.9363;True;True;0.5005;1.3517;-0.2977;323.6270;64.0764;327.3515;-0.5107;0.1367;-0.1544;0.0000;True;True;-0.1484;1.3675;-0.3321;329.2405;281.3807;57.9971;0.3842;0.0079;-0.0364;0.0000;
3090;0.5761626;15.1041;1.4648;0.1914;357.7258;267.4292;0.4499;True;True;0.4952;1.3547;-0.3019;321.2031;67.2416;326.6111;-0.1371;0.1844;-0.2969;0.0000;True;True;-0.1333;1.3692;-0.3314;326.9193;280.7606;57.9284;0.7709;0.1055;0.0424;0.0000;
3095;0.6478353;15.0995;1.4682;0.2037;357.1343;270.4095;0.2627;True;True;0.4818;1.3647;-0.3205;312.9417;75.7876;321.5540;-0.5652;0.5562;-0.6160;0.0000;True;True;-0.1143;1.3704;-0.3298;323.2327;279.4421;58.6460;0.7807;0.0883;0.1266;0.0000;
3100;0.7182626;15.0905;1.4751;0.2224;355.8530;273.0489;0.2393;True;True;0.4764;1.3785;-0.3283;307.1292;81.3606;316.9719;0.2000;0.5378;0.0154;0.0000;True;True;-0.0937;1.3733;-0.3274;321.8794;281.9625;54.9944;0.8583;0.0280;-0.0665;0.0000;
3105;0.7886413;15.0776;1.4758;0.2503;353.8084;273.5807;1.1589;True;True;0.4845;1.3970;-0.3255;301.9663;86.2644;312.6800;0.5557;0.9532;0.2017;0.0000;True;True;-0.0639;1.3711;-0.3322;319.7265;278.4025;55.0977;1.3942;-0.0731;-0.1877;0.0000;
3110;0.8581112;15.0626;1.4713;0.2881;354.2292;273.2397;1.9905;True;True;0.5165;1.4352;-0.3043;297.4083;101.1045;297.3763;1.7317;1.9691;1.3366;0.0000;True;True;-0.0268;1.3651;-0.3420;318.4761;278.1214;55.8613;1.4314;-0.3799;-0.4302;0.0000;
3115;0.9282585;15.0456;1.4794;0.3319;355.5843;273.9771;2.9369;True;True;0.5675;1.4875;-0.2570;299.9338;105.8682;291.1511;2.0475;1.8700;2.1891;0.0000;True;True;0.0091;1.3558;-0.3563;319.1979;272.8539;54.9794;1.2944;-0.4576;-0.5644;0.0000;
3120;0.9973239;15.0241;1.4981;0.3728;355.2050;275.0065;2.4190;True;True;0.6260;1.5244;-0.2013;303.5979;104.6829;291.0249;2.6724;1.1007;2.0222;0.0000;True;True;0.0295;1.3432;-0.3701;327.3385;276.0136;52.9838;0.5749;-0.5744;-0.5209;0.0000;
3125;1.067276;14.9998;1.5153;0.4085;354.9598;275.9223;1.5850;True;True;0.6806;1.5415;-0.1496;305.9686;105.6054;287.2091;2.0522;0.6291;2.4291;0.0000;True;True;0.0507;1.3331;-0.3800;330.1115;274.1679;50.6001;0.8343;-0.2979;-0.2203;0.0000;
3130;1.136385;14.9754;1.5283;0.4376;353.2144;275.1956;2.6795;True;True;0.7494;1.5655;-0.0681;313.2204;110.5330;286.9681;3.6088;0.9286;4.1519;0.0000;True;True;0.0701;1.3336;-0.3738;326.7220;274.4144;44.6198;0.6172;0.2125;0.4084;0.0000;
3135;1.206066;14.9550;1.5348;0.4601;349.0281;271.0211;4.3818;True;True;0.8223;1.5854;0.1004;334.7312;84.0226;309.8694;1.8611;-0.5029;7.5193;0.0000;True;True;0.0768;1.3461;-0.3585;322.6488;275.1837;38.9651;-0.0849;0.5411;0.5323;0.0000;
3140;1.275435;14.9411;1.5307;0.4713;348.3315;264.6357;6.9203;True;True;0.8115;1.5024;0.2387;12.1023;26.7172;357.7338;-1.4929;-5.0122;-0.1377;0.0000;True;True;0.0736;1.3585;-0.3449;319.0635;279.9592;35.1461;-0.1515;0.5802;0.6002;0.0000;
3145;1.345298;14.9403;1.5290;0.4639;353.7240;262.2993;6.0985;True;True;0.7859;1.4860;0.1908;349.1852;35.0779;334.2932;-1.9678;-2.1441;0.5976;0.0000;True;True;0.0674;1.3709;-0.3361;317.9573;280.1049;33.5043;-0.2341;0.5946;0.2411;0.0000;
3150;1.415753;14.9480;1.5294;0.4415;355.9082;262.3092;4.3702;True;True;0.7337;1.4333;0.1532;336.8343;27.7466;14.7514;-1.3189;-2.1205;-2.4411;0.0000;True;True;0.0587;1.3839;-0.3347;313.7895;285.0222;37.7595;-0.4993;0.5546;0.0325;0.0000;
3155;1.484701;14.9623;1.5263;0.4098;355.6208;262.2961;3.5357;True;True;0.7143;1.3875;0.0803;333.3950;28.7374;9.7316;-1.0538;-1.6934;-3.2977;0.0000;True;True;0.0388;1.3973;-0.3341;312.8239;285.5029;39.3371;-0.9628;0.5208;-0.0826;0.0000;
3160;1.55474;14.9792;1.5276;0.3730;356.8560;263.2244;1.2959;True;True;0.6869;1.3526;-0.0164;327.3690;28.2877;4.3482;-0.8611;-1.3833;-4.0379;0.0000;True;True;0.0158;1.4082;-0.3365;308.6190;285.4846;42.7805;-0.7748;0.4317;-0.0354;0.0000;
3165;1.624477;14.9961;1.5348;0.3368;356.3643;263.7150;0.6243;True;True;0.6603;1.3253;-0.1008;329.3428;34.4984;355.5930;-1.3121;-0.6950;-3.1424;0.0000;True;True;-0.0093;1.4194;-0.3389;305.2456;283.1809;44.6587;-1.1428;0.5331;-0.1796;0.0000;
