Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
31482;0.5148724;14.9130;1.4556;-0.1139;3.8965;136.0583;0.7852;True;True;-0.6297;0.9798;-0.6008;16.5723;242.3027;3.0998;-7.2600;4.8917;-0.7826;0.0000;True;True;0.3042;1.3654;-0.7407;331.2104;121.9792;35.1329;-1.8179;5.1029;-0.4466;0.0000;
31484;0.5428242;14.9380;1.4576;-0.1502;2.8539;136.6250;0.2182;True;True;-0.7009;1.0298;-0.6127;8.0173;245.1075;355.3658;-6.9633;4.9249;-1.4320;0.0000;True;True;0.2815;1.4137;-0.7429;314.7331;114.3960;27.1427;-2.3490;4.5640;-0.1872;0.0000;
31486;0.5702193;14.9611;1.4627;-0.1905;4.0133;137.1074;0.8002;True;True;-0.7611;1.0744;-0.6372;359.2346;251.3988;357.5292;-5.8236;4.4602;-3.0119;0.0000;True;True;0.2567;1.4489;-0.7456;300.2358;105.7221;23.9656;-2.4606;3.1344;-0.2924;0.0000;
31488;0.5984962;14.9855;1.4719;-0.2347;5.3745;136.9082;1.2723;True;True;-0.8162;1.1108;-0.6695;352.8309;253.7271;0.7711;-5.4193;3.2298;-3.2571;0.0000;True;True;0.2375;1.4665;-0.7496;299.2618;98.5330;23.2748;-1.7527;1.3803;-0.4150;0.0000;
31490;0.6285372;15.0116;1.4822;-0.2832;5.1833;136.4404;1.8224;True;True;-0.8702;1.1313;-0.7065;353.8672;253.0351;354.3612;-5.3803;1.6501;-3.9089;0.0000;True;True;0.2211;1.4657;-0.7535;316.5666;98.1080;23.7735;-1.6720;-1.0438;-0.3806;0.0000;
31492;0.6537816;15.0415;1.4898;-0.3343;3.3511;136.3268;1.9756;True;True;-0.9253;1.1396;-0.7490;357.3263;249.2057;347.7985;-5.4509;0.6943;-4.3483;0.0000;True;True;0.1969;1.4468;-0.7588;330.3864;105.0651;24.0846;-2.6622;-2.1430;-0.5222;0.0000;
31494;0.6817399;15.0742;1.4945;-0.3849;1.5690;136.4770;1.6237;True;True;-0.9756;1.1380;-0.7950;0.3001;249.4138;347.5631;-4.7963;-0.3714;-4.6119;0.0000;True;True;0.1637;1.4124;-0.7624;334.7943;109.4780;19.4286;-3.4105;-3.7307;-0.2620;0.0000;
31496;0.7095916;15.1069;1.4909;-0.4333;359.9673;136.7198;2.0451;True;True;-1.0201;1.1317;-0.8417;1.5412;253.2123;349.3900;-4.1449;-0.7261;-4.8465;0.0000;True;True;0.1300;1.3682;-0.7611;334.6763;107.9301;12.5007;-3.2277;-4.4036;0.1765;0.0000;
31498;0.7374803;15.1402;1.4794;-0.4787;358.9611;136.7562;2.5089;True;True;-1.0636;1.1184;-0.8915;2.0517;253.1783;345.9894;-4.3216;-1.4903;-5.1452;0.0000;True;True;0.1003;1.3162;-0.7566;338.5336;105.7662;8.1515;-2.8395;-5.3396;0.5229;0.0000;
31500;0.7653;15.1714;1.4610;-0.5205;359.1993;136.5750;3.5432;True;True;-1.1021;1.1041;-0.9387;2.0268;255.2759;344.4084;-3.7098;-1.4484;-4.5185;0.0000;True;True;0.0725;1.2597;-0.7478;347.0193;105.2288;8.7485;-2.8359;-5.7480;0.9912;0.0000;
31502;0.7934233;15.2020;1.4347;-0.5589;358.4903;136.2628;4.0703;True;True;-1.1400;1.0878;-0.9800;357.7422;259.5104;340.5217;-3.8676;-1.7593;-4.0214;0.0000;True;True;0.0434;1.2021;-0.7383;353.9654;102.5456;12.0324;-2.9177;-5.7061;0.8883;0.0000;
31504;0.8208207;15.2315;1.4072;-0.5936;359.6783;136.1941;4.0259;True;True;-1.1784;1.0610;-1.0165;358.3899;267.8224;334.6936;-3.7024;-3.2412;-3.5184;0.0000;True;True;0.0143;1.1470;-0.7353;359.3713;98.4125;13.3531;-2.8587;-5.4262;0.0721;0.0000;
31506;0.8485072;15.2574;1.3853;-0.6245;2.4165;135.5390;5.3494;True;True;-1.1931;1.0232;-1.0591;12.2234;269.1056;330.2747;-0.3242;-3.5566;-4.4340;0.0000;True;True;-0.0109;1.0965;-0.7394;3.6807;96.2385;11.7310;-2.4208;-4.8706;-0.4492;0.0000;
31508;0.8764719;15.2847;1.3657;-0.6526;1.8101;134.4030;5.3199;True;True;-1.1700;0.9977;-1.1251;10.8778;251.9142;328.7124;3.4130;-2.2468;-7.4767;0.0000;True;True;-0.0341;1.0544;-0.7467;6.4357;91.5752;12.9612;-2.2657;-4.0324;-1.0223;0.0000;
31510;0.9043227;15.3039;1.3529;-0.6729;3.5586;133.3872;5.4160;True;True;-1.1160;0.9829;-1.1891;7.7811;216.8940;350.4762;6.6385;-2.0557;-5.2242;0.0000;True;True;-0.0526;1.0209;-0.7681;9.3907;92.3786;14.4468;-1.6561;-2.9989;-2.6031;0.0000;
31512;0.9320107;15.3163;1.3487;-0.6842;7.9682;134.3029;5.5122;True;True;-1.0666;0.9562;-1.2001;6.7527;207.9484;13.3678;4.1285;-1.8878;-0.9565;0.0000;True;True;-0.0661;1.0003;-0.7928;10.3934;96.1581;10.6894;-1.3638;-1.8925;-2.2330;0.0000;
31514;0.9595746;15.3282;1.3484;-0.6933;7.5586;134.5735;7.3328;True;True;-1.0473;0.9366;-1.1953;7.0684;206.8557;7.8052;0.6693;-1.4301;0.4922;0.0000;True;True;-0.0747;0.9911;-0.8152;12.1751;93.0292;5.0840;-0.6979;-0.6153;-2.2500;0.0000;
31516;0.9873811;15.3348;1.3542;-0.6953;7.5440;134.5125;8.3241;True;True;-1.0370;0.9222;-1.1821;12.8030;206.0492;350.1061;1.0564;-1.7914;1.5257;0.0000;True;True;-0.0796;0.9931;-0.8365;19.9254;97.5272;10.0047;-0.4874;0.4937;-2.0741;0.0000;
31518;1.015045;15.3376;1.3633;-0.6921;8.2044;134.7749;7.5940;True;True;-1.0412;0.9115;-1.1690;14.1395;207.9810;359.5226;-0.6346;-0.6531;2.0317;0.0000;True;True;-0.0861;1.0096;-0.8526;21.4412;104.7622;14.6045;-0.7048;2.0584;-1.3834;0.0000;
31520;1.042896;15.3345;1.3782;-0.6836;9.2440;133.8630;9.0121;True;True;-1.0643;0.9040;-1.1376;5.8715;222.0485;5.9067;-2.2631;-0.9580;3.6064;0.0000;True;True;-0.0942;1.0351;-0.8622;14.5424;104.5658;13.6502;-0.8428;2.5525;-0.9767;0.0000;
31522;1.070732;15.3313;1.3974;-0.6712;6.9760;132.0409;7.8798;True;True;-1.0670;0.8868;-1.1076;21.6266;231.9517;348.9727;0.9901;-1.7460;2.0682;0.0000;True;True;-0.0977;1.0605;-0.8709;10.4491;109.8119;15.7454;-0.2470;2.6149;-0.7169;0.0000;
31524;1.099085;15.3242;1.4191;-0.6546;4.1104;129.8161;6.1664;True;True;-1.0439;0.8840;-1.0917;30.7625;223.3908;353.9572;2.5810;-0.0010;2.0836;0.0000;True;True;-0.0998;1.0893;-0.8724;7.3479;113.8148;17.1028;-0.1370;2.9441;0.0067;0.0000;
31526;1.126949;15.3130;1.4405;-0.6345;1.8435;127.6428;5.7535;True;True;-1.0122;0.8905;-1.0630;31.2263;223.6856;7.5469;3.1273;0.9793;2.9341;0.0000;True;True;-0.0982;1.1173;-0.8698;3.9821;115.9373;19.5683;0.2892;2.7295;0.2610;0.0000;
31528;1.155063;15.3009;1.4645;-0.6085;359.5126;123.5621;6.2565;True;True;-0.9842;0.9044;-1.0294;27.1526;214.8791;5.1669;2.7101;1.4565;3.4484;0.0000;True;True;-0.0920;1.1428;-0.8686;3.0224;119.2715;24.1479;0.6818;2.5401;0.0829;0.0000;
