Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
57498;0.01509135;15.0199;1.4022;0.1202;16.1171;74.8135;357.1314;True;True;-0.1111;0.8585;-0.8692;11.5951;185.8691;9.6111;-22.2275;171.7098;-173.8341;0.0000;True;True;0.4104;0.9395;-0.8906;11.0635;133.1557;17.1980;82.0807;187.9064;-178.1284;0.0000;
57500;0.04219537;15.0234;1.4023;0.1187;16.3897;75.4950;357.1585;True;True;-0.1112;0.8526;-0.8671;12.4241;186.0276;10.0280;-0.0087;-0.5803;0.1977;0.0000;True;True;0.4097;0.9329;-0.8909;11.5593;133.1376;16.6176;-0.0694;-0.6487;-0.0299;0.0000;
57502;0.06977839;15.0272;1.4027;0.1168;16.4813;76.3967;357.0718;True;True;-0.1115;0.8473;-0.8651;13.1079;186.1398;10.2528;-0.0430;-0.5188;0.2036;0.0000;True;True;0.4093;0.9267;-0.8914;12.4318;132.9510;16.2748;-0.0453;-0.5986;-0.0570;0.0000;
57504;0.09756355;15.0306;1.4032;0.1146;16.5658;77.6672;357.2437;True;True;-0.1124;0.8425;-0.8633;13.9944;186.1780;10.0809;-0.0943;-0.4706;0.1671;0.0000;True;True;0.4093;0.9217;-0.8925;13.0738;132.6405;15.7278;0.0183;-0.4746;-0.1187;0.0000;
57506;0.1251455;15.0339;1.4038;0.1123;16.7428;79.0582;357.4185;True;True;-0.1140;0.8385;-0.8618;14.5199;186.4045;10.2064;-0.1778;-0.3959;0.1466;0.0000;True;True;0.4098;0.9181;-0.8941;13.5342;132.3867;15.2910;0.0678;-0.3203;-0.1776;0.0000;
57508;0.1532345;15.0372;1.4044;0.1105;16.9461;80.3660;357.5107;True;True;-0.1158;0.8347;-0.8606;15.2031;187.2309;10.3882;-0.1811;-0.3675;0.1199;0.0000;True;True;0.4108;0.9153;-0.8960;13.8744;132.3647;15.2747;0.1302;-0.2524;-0.2135;0.0000;
57510;0.1810252;15.0403;1.4053;0.1096;17.0874;81.0298;357.6581;True;True;-0.1171;0.8320;-0.8593;15.9705;187.7568;10.4911;-0.0818;-0.2245;0.1405;0.0000;True;True;0.4136;0.9138;-0.8983;14.3175;132.1215;15.2557;0.3434;-0.1202;-0.2308;0.0000;
57512;0.2089219;15.0431;1.4066;0.1108;16.9927;80.7569;357.8144;True;True;-0.1173;0.8306;-0.8581;16.0918;187.5652;10.5974;-0.0271;-0.1298;0.0979;0.0000;True;True;0.4196;0.9140;-0.9008;15.0369;131.0491;15.9378;0.6734;0.0641;-0.2666;0.0000;
57514;0.2368188;15.0457;1.4082;0.1146;16.6056;79.2261;358.2792;True;True;-0.1176;0.8299;-0.8578;16.0027;187.1828;10.6461;-0.0494;-0.0669;0.0001;0.0000;True;True;0.4309;0.9189;-0.9045;15.0829;128.9703;16.4759;1.2931;0.6432;-0.4094;0.0000;
57516;0.2646497;15.0487;1.4105;0.1218;16.2301;75.9906;358.2397;True;True;-0.1192;0.8285;-0.8579;15.7859;187.1855;10.9370;-0.2016;-0.1641;-0.0257;0.0000;True;True;0.4504;0.9290;-0.9100;14.4471;126.5624;18.3968;2.2067;1.1286;-0.6121;0.0000;
