Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;
1766;0.2390584;14.6588;1.5702;0.0305;15.5395;286.5397;1.4471;True;True;0.0818;1.0121;0.0931;17.9823;0.7853;20.1808;16.3541;202.4278;18.6270;0.0000;True;True;-0.1255;1.0042;0.1280;31.0296;359.8926;31.2700;-25.0980;200.8379;25.5987;0.0000;
1768;0.2604784;14.6566;1.5717;0.0365;14.9818;288.3096;1.5301;True;True;0.0845;1.0111;0.0935;18.2681;0.3682;20.2926;0.2924;-0.0963;0.0681;0.0000;True;True;-0.1218;1.0042;0.1279;30.6328;1.2383;31.3020;0.3793;-0.0517;0.0597;0.0000;
1770;0.3077109;14.6558;1.5713;0.0372;15.0363;287.6128;1.1220;True;True;0.0887;1.0107;0.0956;18.3178;1.5722;20.0512;0.4265;-0.0958;0.2240;0.0000;True;True;-0.1185;1.0037;0.1288;31.0191;1.3154;30.8613;0.2800;-0.0537;0.0573;0.0000;
1772;0.3348883;14.6553;1.5709;0.0384;15.2103;287.0935;0.9521;True;True;0.0917;1.0098;0.0975;17.9891;2.5340;20.7373;0.2761;-0.1178;0.2018;0.0000;True;True;-0.1160;1.0032;0.1292;30.1551;1.8753;31.6766;0.2655;-0.1362;0.0787;0.0000;
1774;0.3669729;14.6545;1.5711;0.0389;15.2120;286.5535;0.7873;True;True;0.0949;1.0096;0.0995;18.5803;2.9128;19.8416;0.3561;0.0191;0.1739;0.0000;True;True;-0.1135;1.0024;0.1304;30.5652;1.9594;31.4731;0.2582;-0.0602;0.1201;0.0000;
1776;0.3994085;14.6537;1.5713;0.0396;15.0417;286.0926;0.6823;True;True;0.0980;1.0092;0.1008;19.2292;3.5291;18.8978;0.3026;-0.0452;0.1115;0.0000;True;True;-0.1111;1.0022;0.1313;30.7791;2.0164;31.4186;0.2304;0.0266;0.0758;0.0000;
1778;0.4321679;14.6530;1.5710;0.0399;14.8456;285.6952;0.7654;True;True;0.0993;1.0093;0.1011;18.7648;4.2765;19.7578;0.1036;0.0104;0.0085;0.0000;True;True;-0.1096;1.0020;0.1320;30.6731;2.4121;32.1831;0.1453;-0.0471;0.0918;0.0000;
1780;0.4611318;14.6519;1.5703;0.0385;14.9737;284.3092;0.6343;True;True;0.0970;1.0088;0.1002;17.6451;3.4517;21.7018;-0.3367;0.0201;-0.1485;0.0000;True;True;-0.1076;1.0019;0.1324;30.7977;2.1259;31.2856;0.2474;-0.0265;0.0284;0.0000;
1782;0.491828;14.6503;1.5678;0.0367;15.3332;281.8386;359.9251;True;True;0.0940;1.0063;0.0976;17.5321;1.3817;25.1636;-0.2237;-0.2396;-0.2397;0.0000;True;True;-0.1029;1.0007;0.1331;30.8462;2.6610;28.9402;0.5159;-0.2090;0.0620;0.0000;
1784;0.5200665;14.6481;1.5649;0.0351;16.2345;279.2351;359.4204;True;True;0.0947;1.0001;0.0967;20.8742;0.2856;25.0752;0.1345;-0.7709;0.0114;0.0000;True;True;-0.0981;0.9975;0.1330;31.5467;4.2346;27.5897;0.4552;-0.3749;-0.0335;0.0000;
