Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;
7082;0;14.7732;1.4639;0.0496;13.0295;267.6412;5.0200;True;True;0.3320;0.9066;-0.0017;17.5928;50.9505;359.7495;66.4058;181.3167;-0.3338;0.0000;True;True;-0.4666;1.1008;0.0860;350.9916;269.2892;0.6247;-93.3264;220.1665;17.2067;0.0000;
7084;0.3178357;14.7545;1.4626;0.0147;16.1649;289.5648;6.4719;True;True;0.3237;0.8866;-0.0126;20.7759;53.0084;2.3836;-0.1400;-0.5147;-0.2271;0.0000;True;True;-0.4639;1.0947;0.1007;352.1073;270.7822;0.8453;0.2300;-0.1784;0.5028;0.0000;
7086;0.3486514;14.7524;1.4661;0.0164;15.4974;292.9749;7.2786;True;True;0.3241;0.8837;-0.0141;20.9249;53.4176;3.4635;0.0951;-0.2223;-0.1403;0.0000;True;True;-0.4623;1.0929;0.1049;352.3387;270.9541;0.7369;0.1530;-0.1460;0.4003;0.0000;
7088;0.3887278;14.7496;1.4692;0.0173;14.2039;294.7620;7.6932;True;True;0.3261;0.8834;-0.0140;21.3977;53.4128;3.2766;0.2498;-0.0180;0.0235;0.0000;True;True;-0.4617;1.0911;0.1088;352.6360;270.9065;0.9265;0.0873;-0.1600;0.3604;0.0000;
7090;0.420155;14.7482;1.4710;0.0189;13.3235;297.3129;8.3338;True;True;0.3299;0.8840;-0.0136;21.2614;54.1949;3.8673;0.4069;0.0781;0.0598;0.0000;True;True;-0.4610;1.0888;0.1122;352.8065;270.7616;0.9703;0.0795;-0.2455;0.3674;0.0000;
7092;0.4564891;14.7468;1.4716;0.0187;13.0788;299.0078;8.7771;True;True;0.3339;0.8855;-0.0118;21.1175;54.3345;4.1732;0.3892;0.1502;0.2086;0.0000;True;True;-0.4605;1.0860;0.1162;353.3761;271.0734;0.8196;0.0481;-0.2995;0.4194;0.0000;
7094;0.4863243;14.7444;1.4729;0.0169;12.7566;298.7065;8.4127;True;True;0.3372;0.8885;-0.0081;21.1638;54.4676;4.2887;0.3121;0.3385;0.3900;0.0000;True;True;-0.4594;1.0837;0.1203;353.7417;271.2159;0.4488;0.1318;-0.1972;0.4019;0.0000;
7096;0.515638;14.7404;1.4749;0.0140;12.0138;296.0735;7.6890;True;True;0.3394;0.8947;-0.0019;19.6248;54.3855;5.1330;0.2051;0.6564;0.6446;0.0000;True;True;-0.4568;1.0830;0.1246;352.7827;270.9795;359.6584;0.3677;0.0354;0.4621;0.0000;
7098;0.5436521;14.7360;1.4757;0.0109;11.0474;292.0060;6.8640;True;True;0.3409;0.9010;0.0074;18.6924;53.1432;3.6487;0.1279;0.6463;1.0982;0.0000;True;True;-0.4532;1.0849;0.1295;350.2105;271.4293;358.8201;0.3415;0.2025;0.4721;0.0000;
7100;0.5735092;14.7310;1.4760;0.0087;10.4545;287.2802;6.4482;True;True;0.3437;0.9063;0.0203;19.1505;52.3008;2.4122;0.2663;0.4829;1.4037;0.0000;True;True;-0.4419;1.0885;0.1365;345.3471;271.4651;357.6025;1.4923;0.3537;0.8299;0.0000;
7102;0.6016663;14.7246;1.4759;0.0081;9.8122;282.6233;6.3328;True;True;0.3467;0.9114;0.0362;18.1330;51.0808;2.9590;0.3254;0.4467;1.6436;0.0000;True;True;-0.4192;1.0896;0.1494;338.2341;271.6548;353.6613;2.6497;0.0604;1.4928;0.0000;
7104;0.6311671;14.7172;1.4743;0.0093;9.2299;278.6400;6.7109;True;True;0.3500;0.9148;0.0560;16.8646;50.1116;3.9495;0.3150;0.3767;2.0934;0.0000;True;True;-0.3817;1.0881;0.1717;336.2039;273.3363;352.0786;4.0815;-0.2655;2.5035;0.0000;
7106;0.658163;14.7075;1.4727;0.0125;9.3592;275.6149;7.3940;True;True;0.3520;0.9168;0.0792;15.0371;48.4217;6.9531;0.1682;0.1924;2.4760;0.0000;True;True;-0.3288;1.0888;0.2012;336.2538;282.1212;350.3616;5.7054;0.0613;2.9763;0.0000;
7108;0.6858082;14.6942;1.4703;0.0173;9.3918;273.3853;7.6970;True;True;0.3530;0.9191;0.1025;12.4452;46.8086;10.6787;0.0384;0.2304;2.3063;0.0000;True;True;-0.2620;1.0934;0.2319;328.2188;294.8624;347.4397;6.5283;0.4868;3.0267;0.0000;
7110;0.7143771;14.6772;1.4653;0.0225;8.9461;271.9144;7.0991;True;True;0.3510;0.9221;0.1249;9.8627;45.5464;12.7593;-0.2614;0.2610;2.2228;0.0000;True;True;-0.1877;1.0967;0.2619;318.8596;304.1032;342.4450;7.4529;0.2109;2.9293;0.0000;
7112;0.7435339;14.6576;1.4574;0.0279;8.9509;270.8317;6.4670;True;True;0.3432;0.9231;0.1474;7.3161;42.3078;13.7299;-0.8726;0.0210;2.2323;0.0000;True;True;-0.1194;1.0967;0.2902;309.6989;318.0048;333.8177;6.5496;0.0537;2.8119;0.0000;
7114;0.7692112;14.6351;1.4472;0.0324;9.3179;269.8450;5.9372;True;True;0.3321;0.9218;0.1666;4.0358;37.8186;16.4060;-1.1319;-0.2073;1.7812;0.0000;True;True;-0.0651;1.0980;0.3147;295.0403;320.7002;332.4479;5.3556;-0.1061;2.4846;0.0000;
7116;0.797857;14.6075;1.4417;0.0360;10.0401;268.7687;5.6164;True;True;0.3217;0.9178;0.1795;1.2209;33.9680;19.2872;-0.9979;-0.4579;1.1027;0.0000;True;True;-0.0234;1.0945;0.3510;282.0318;316.0492;337.0317;3.6465;-0.4102;3.9925;0.0000;
7118;0.8258688;14.5745;1.4333;0.0392;7.3371;267.8668;4.9450;True;True;0.3132;0.9125;0.1831;359.7186;31.1007;22.6034;-0.7745;-0.5081;0.2122;0.0000;True;True;0.0057;1.0921;0.4000;281.9807;301.5143;353.3491;2.8307;-0.3206;5.1869;0.0000;
7120;0.8542278;14.5412;1.4214;0.0429;5.4969;266.9105;4.7351;True;True;0.3123;0.9080;0.1774;0.2671;30.1470;21.0082;0.1254;-0.5206;-0.8277;0.0000;True;True;0.0326;1.0878;0.4535;272.9823;272.0493;20.5599;2.3463;-0.3558;5.4297;0.0000;
7122;0.8816754;14.5039;1.4122;0.0454;4.1205;266.3852;4.6835;True;True;0.3161;0.8985;0.1635;3.3360;32.5162;15.8987;0.4518;-1.1224;-1.5880;0.0000;True;True;0.0352;1.0864;0.5185;277.1060;224.3738;65.7144;-0.2898;0.0439;7.0122;0.0000;
7124;0.9104813;14.4674;1.3973;0.0478;1.1145;266.3508;4.3487;True;True;0.3204;0.8848;0.1455;6.0285;34.7641;13.0060;0.4783;-1.5529;-1.9927;0.0000;True;True;0.0291;1.0833;0.6003;289.6088;278.5202;9.3024;-0.5906;-0.5609;8.3534;0.0000;
7126;0.936753;14.4327;1.3819;0.0487;359.8143;266.8861;4.2777;True;True;0.3259;0.8650;0.1222;8.0969;36.6449;11.7441;0.5584;-2.1398;-2.4279;0.0000;True;True;0.0203;1.0585;0.6868;310.2943;298.9075;342.9582;-0.9159;-3.2972;8.6573;0.0000;
7128;0.9646136;14.4019;1.3705;0.0474;0.3872;267.6384;3.8938;True;True;0.3345;0.8374;0.0946;9.9688;39.2336;12.9235;1.0359;-3.1036;-2.8975;0.0000;True;True;0.0388;0.9785;0.7589;344.3179;322.8752;311.2801;3.3492;-9.8609;5.4563;0.0000;
7130;0.9979687;14.3763;1.3589;0.0450;1.6624;268.2133;2.4691;True;True;0.3442;0.8096;0.0681;15.0635;45.8529;16.0122;1.1174;-3.0349;-2.8116;0.0000;True;True;0.0684;0.8938;0.7678;25.1166;339.1808;301.4903;4.2649;-9.8839;-3.0900;0.0000;
7132;1.017101;14.3595;1.3481;0.0428;5.3881;268.7134;1.1054;True;True;0.3492;0.7919;0.0410;20.7222;54.6519;23.0878;0.2663;-1.2099;-2.6320;0.0000;True;True;0.1002;0.8712;0.7202;51.8692;2.9755;304.1601;2.3437;0.7452;-3.3271;0.0000;
7134;1.046203;14.3459;1.3454;0.0393;8.0551;268.8799;0.2115;True;True;0.3492;0.7921;0.0175;18.9930;57.5643;26.7027;-0.0460;0.4197;-2.2635;0.0000;True;True;0.1182;0.8850;0.7381;29.0106;4.9207;288.7557;1.7825;1.7897;4.5087;0.0000;
7136;1.075489;14.3345;1.3504;0.0379;8.0062;268.9647;0.6899;True;True;0.3510;0.7938;-0.0027;19.8807;61.4407;24.1050;0.2000;0.0973;-1.8697;0.0000;True;True;0.1099;0.9057;0.7548;4.4516;341.2527;301.2939;-0.6916;1.4673;0.7265;0.0000;
7138;1.102694;14.3310;1.3545;0.0355;9.0638;268.5631;0.3096;True;True;0.3509;0.7985;-0.0144;23.0856;68.0504;22.9461;-0.1572;0.6373;-0.9572;0.0000;True;True;0.1147;0.9144;0.7424;349.9880;341.8070;300.3130;0.7221;0.8077;-1.2788;0.0000;
7140;1.131305;14.3301;1.3602;0.0345;10.3593;268.4635;359.7290;True;True;0.3451;0.8071;-0.0178;23.4703;69.1303;21.7807;-0.6529;0.9135;-0.1327;0.0000;True;True;0.1174;0.9342;0.7178;322.2185;352.8927;285.8079;0.2460;2.1701;-2.8936;0.0000;
