Frame;Tiempo;ID_Bola;Estatus;Posicion_Bola_x;Posicion_Bola_y;Posicion_Bola_z
1830;0.2428;1;En movimiento;9.5297;1.2357;-4.7124
1835;0.3307;1;En movimiento;9.9203;1.2542;-4.4831
1840;0.4121;1;En movimiento;10.2715;1.2711;-4.2769
1845;0.4854;1;En movimiento;10.6003;1.2869;-4.0839
1850;0.5571;1;En movimiento;10.9142;1.3023;-3.8995
1855;0.6262;1;En movimiento;11.2249;1.3176;-3.7171
1860;0.6955;1;En movimiento;11.5302;1.3325;-3.5379
1865;0.7653;1;En movimiento;11.8431;1.3480;-3.3542
1870;0.8351;1;En movimiento;12.1428;1.3626;-3.1782
1875;0.9048;1;En movimiento;12.4491;1.3778;-2.9984
1880;0.9748;1;En movimiento;12.7566;1.3931;-2.8179
1885;1.0428;1;En movimiento;13.0599;1.4476;-2.6398
1890;1.1160;1;En movimiento;13.3674;1.4236;-2.4592
1895;1.1829;1;En movimiento;13.6792;1.4853;-2.2761
1900;1.2521;1;En movimiento;13.9822;1.5036;-2.0982
1905;1.3218;1;En movimiento;14.2820;1.4704;-1.9222
1910;1.3915;1;En movimiento;14.5915;1.4863;-1.7405
1915;1.4598;1;En movimiento;14.8956;1.5018;-1.5619
1920;1.5293;1;En movimiento;15.1990;1.5173;-1.3838
1925;1.5993;1;En movimiento;15.4618;1.5478;-1.2015
1930;1.6701;1;En movimiento;19.0000;-2.1998;0.0000
1930;1.6701;1;Gol;19.0000;-2.1998;0.0000
2085;3.8293;2;En movimiento;7.7155;1.1605;0.8835
2090;3.8934;2;En movimiento;8.0460;1.1623;0.8284
2095;3.9634;2;En movimiento;8.3930;1.1628;0.7705
2100;4.0345;2;En movimiento;8.7473;1.1526;0.7114
2105;4.1016;2;En movimiento;9.0816;1.1502;0.6556
2110;4.1732;2;En movimiento;9.4294;1.1476;0.5976
2115;4.2411;2;En movimiento;9.7873;1.1653;0.5379
2120;4.3099;2;En movimiento;10.1234;1.1424;0.4819
2125;4.3798;2;En movimiento;10.4673;1.1398;0.4245
2130;4.4496;2;En movimiento;10.8365;1.1678;0.3629
2135;4.5185;2;En movimiento;11.1611;1.1687;0.3088
2140;4.5875;2;En movimiento;11.5015;1.1333;0.2520
2145;4.6580;2;En movimiento;11.8491;1.1311;0.1940
2150;4.7266;2;En movimiento;12.2209;1.1719;0.1320
2155;4.7983;2;En movimiento;12.5455;1.1269;0.0778
2160;4.8676;2;En movimiento;12.8921;1.1249;0.0200
2165;4.9344;2;En movimiento;13.2414;1.1230;-0.0383
2170;5.0048;2;En movimiento;13.5945;1.1212;-0.0971
2173;5.0462;2;Parada;13.8625;1.2347;-0.1419
2245;6.0491;3;En movimiento;17.6300;0.0633;0.0000
2250;6.1168;3;En movimiento;8.3517;1.1811;-3.0640
2255;6.1894;3;En movimiento;8.7339;1.1871;-2.8789
2260;6.2559;3;En movimiento;9.1271;1.2074;-2.6884
2265;6.3243;3;En movimiento;9.5251;1.2212;-2.4956
2270;6.3978;3;En movimiento;9.8961;1.2335;-2.3159
2275;6.4646;3;En movimiento;10.3020;1.2479;-2.1194
2280;6.5335;3;En movimiento;10.6774;1.2838;-1.9375
2285;6.6043;3;En movimiento;11.0611;1.2739;-1.7517
2290;6.6749;3;En movimiento;11.4570;1.2879;-1.5599
2295;6.7413;3;En movimiento;11.8343;1.3016;-1.3771
2300;6.8129;3;En movimiento;12.2228;1.3154;-1.1889
2305;6.8810;3;En movimiento;12.6214;1.3684;-0.9959
2310;6.9505;3;En movimiento;12.9959;1.3428;-0.8145
2315;7.0192;3;En movimiento;13.3823;1.3566;-0.6273
2319;7.0774;3;Parada;13.7820;1.4680;-0.4337
2320;7.0893;4;En movimiento;5.0172;1.1681;-0.6236
2325;7.1589;4;En movimiento;5.4098;1.1851;-0.5963
2330;7.2306;4;En movimiento;5.8124;1.1948;-0.5683
2335;7.2993;4;En movimiento;6.2223;1.2212;-0.5398
2340;7.3662;4;En movimiento;6.6443;1.2559;-0.5105
2345;7.4385;4;En movimiento;7.0324;1.2581;-0.4835
2350;7.5061;4;En movimiento;7.4503;1.2986;-0.4545
2355;7.5746;4;En movimiento;7.8450;1.2948;-0.4270
2360;7.6450;4;En movimiento;8.2507;1.3132;-0.3988
2365;7.7155;4;En movimiento;8.6541;1.3315;-0.3708
2370;7.7853;4;En movimiento;9.0637;1.3503;-0.3423
2375;7.8533;4;En movimiento;9.4649;1.4065;-0.3144
2380;7.9231;4;En movimiento;9.8731;1.4285;-0.2860
2385;7.9935;4;En movimiento;10.2947;1.4515;-0.2567
2390;8.0614;4;En movimiento;10.6812;1.4254;-0.2298
2390;8.0614;5;En movimiento;17.6300;0.0500;0.0000
2395;8.1337;4;En movimiento;11.0945;1.4448;-0.2011
2395;8.1337;5;En movimiento;7.9455;1.1435;0.2046
2400;8.2002;4;En movimiento;11.5083;1.5171;-0.1723
2400;8.2002;5;En movimiento;8.4188;1.1389;0.2685
2405;8.2698;4;En movimiento;11.8916;1.4817;-0.1457
2405;8.2698;5;En movimiento;8.8573;1.1218;0.3276
2410;8.3415;4;En movimiento;12.3034;1.5012;-0.1171
2410;8.3415;5;En movimiento;9.3284;1.1110;0.3911
2415;8.4091;4;En movimiento;12.7271;1.5216;-0.0876
2415;8.4091;5;En movimiento;9.8130;1.1003;0.4564
2420;8.4785;4;En movimiento;13.1149;1.6048;-0.0606
2420;8.4785;5;En movimiento;10.2567;1.1098;0.5162
2425;8.5499;4;En movimiento;13.5194;1.4910;-0.0325
2425;8.5499;5;En movimiento;10.7194;1.0564;0.5786
2425;8.5499;4;Parada;13.6151;1.7011;-0.0259
2430;8.6186;5;En movimiento;11.1874;1.0693;0.6417
2435;8.6872;5;En movimiento;11.6604;1.0881;0.7055
2440;8.7588;5;En movimiento;12.1140;1.0154;0.7666
2445;8.8274;5;En movimiento;12.5871;1.0382;0.8304
2450;8.8942;5;En movimiento;13.0409;1.0280;0.8916
2455;8.9667;5;En movimiento;13.5040;1.0179;0.9540
2457;8.9943;5;Parada;13.7969;1.1000;0.9935
2530;10.0073;6;En movimiento;8.1038;1.1724;-0.0077
2535;10.0774;6;En movimiento;8.5835;1.2047;-0.0873
2540;10.1471;6;En movimiento;9.1157;1.2433;-0.1756
2545;10.2137;6;En movimiento;9.6146;1.2910;-0.2584
2550;10.2853;6;En movimiento;10.1364;1.3167;-0.3449
2555;10.3569;6;En movimiento;10.6624;1.3549;-0.4322
2560;10.4227;6;En movimiento;11.1606;1.4127;-0.5149
2565;10.4921;6;En movimiento;11.6780;1.4289;-0.6008
2570;10.5616;6;En movimiento;12.2189;1.4966;-0.6905
2575;10.6323;6;En movimiento;12.7206;1.5361;-0.7738
2580;10.6996;6;En movimiento;13.2198;1.5411;-0.8566
2585;10.7714;6;En movimiento;13.7595;1.5810;-0.9462
2586;10.7860;6;Parada;13.9632;1.6349;-0.9800
2660;11.8115;7;En movimiento;5.1976;1.1801;-0.3318
2665;11.8813;7;En movimiento;5.7577;1.2013;-0.2739
2670;11.9500;7;En movimiento;6.2922;1.2101;-0.2186
2675;12.0218;7;En movimiento;6.8337;1.2250;-0.1626
2680;12.0892;7;En movimiento;7.4047;1.2413;-0.1035
2685;12.1590;7;En movimiento;7.9438;1.2561;-0.0478
2690;12.2305;7;En movimiento;8.4658;1.2483;0.0062
2695;12.2971;7;En movimiento;9.0123;1.2863;0.0627
2700;12.3684;7;En movimiento;9.6018;1.3323;0.1237
2705;12.4387;7;En movimiento;10.1062;1.2848;0.1758
2710;12.5066;7;En movimiento;10.6698;1.3686;0.2341
2715;12.5755;7;En movimiento;11.2017;1.3486;0.2891
2720;12.6451;7;En movimiento;11.7586;1.3647;0.3467
2725;12.7169;7;En movimiento;12.2881;1.3797;0.4015
2730;12.7826;7;En movimiento;12.8525;1.4443;0.4599
2730;12.7826;8;En movimiento;5.0176;1.1585;-0.4049
2733;12.8245;7;Parada;13.2691;1.4082;0.5029
2735;12.8533;8;En movimiento;5.5350;1.1508;-0.3886
2740;12.9240;8;En movimiento;6.0676;1.1349;-0.3717
2745;12.9957;8;En movimiento;6.6249;1.1239;-0.3541
2750;13.0617;8;En movimiento;7.1359;1.1280;-0.3380
2755;13.1334;8;En movimiento;7.6593;1.1029;-0.3215
2760;13.2004;8;En movimiento;8.2138;1.1129;-0.3040
2765;13.2707;8;En movimiento;8.7224;1.0814;-0.2879
2770;13.3396;8;En movimiento;9.2533;1.0708;-0.2712
2775;13.4095;8;En movimiento;9.8089;1.0602;-0.2536
2780;13.4783;8;En movimiento;10.3283;1.0840;-0.2372
2785;13.5502;8;En movimiento;10.8347;1.0025;-0.2212
2790;13.6174;8;En movimiento;11.3898;1.0695;-0.2037
2795;13.6868;8;En movimiento;11.9213;1.0624;-0.1869
2800;13.7581;8;En movimiento;12.4330;1.0091;-0.1708
2805;13.8274;8;En movimiento;12.9667;0.9989;-0.1539
2805;13.8274;9;En movimiento;7.9165;1.1774;-4.1356
2807;13.8536;8;Parada;13.2845;1.0959;-0.1439
2810;13.8949;9;En movimiento;8.4673;1.2065;-3.8341
2815;13.9632;9;En movimiento;8.9278;1.2290;-3.5821
2820;14.0376;9;En movimiento;9.4634;1.2437;-3.2889
2825;14.1025;9;En movimiento;9.9512;1.2649;-3.0220
2830;14.1732;9;En movimiento;10.4599;1.2868;-2.7435
2835;14.2423;9;En movimiento;10.9978;1.3319;-2.4491
2840;14.3120;9;En movimiento;11.4857;1.3312;-2.1820
2845;14.3803;9;En movimiento;12.0034;1.3539;-1.8987
2850;14.4508;9;En movimiento;12.5307;1.4083;-1.6101
2855;14.5206;9;En movimiento;13.0476;1.4342;-1.3271
2860;14.5897;9;En movimiento;13.5369;1.4210;-1.0593
2862;14.6171;9;Parada;13.8420;1.5139;-0.8923
2930;15.5622;10;En movimiento;17.6300;0.0000;0.0000
2935;15.6360;10;En movimiento;5.3345;1.1793;-1.0534
2940;15.7005;10;En movimiento;5.9215;1.2101;-0.9932
2945;15.7724;10;En movimiento;6.5431;1.2425;-0.9294
2950;15.8394;10;En movimiento;7.1660;1.2751;-0.8655
2955;15.9118;10;En movimiento;7.7469;1.3049;-0.8059
2960;15.9785;10;En movimiento;8.3636;1.3574;-0.7426
2965;16.0496;10;En movimiento;9.0081;1.3715;-0.6764
2970;16.1172;10;En movimiento;9.5806;1.4017;-0.6177
2975;16.1899;10;En movimiento;10.1990;1.4336;-0.5542
2980;16.2587;10;En movimiento;10.8215;1.4998;-0.4904
2985;16.3264;10;En movimiento;11.4319;1.5352;-0.4277
2990;16.3979;10;En movimiento;12.0218;1.5304;-0.3672
2995;16.4649;10;En movimiento;12.6570;1.6065;-0.3020
2999;16.5198;10;Parada;13.2360;1.6856;-0.2426
3070;17.5098;11;En movimiento;7.8580;1.1711;0.5227
3075;17.5762;11;En movimiento;8.5258;1.1746;0.4272
3080;17.6454;11;En movimiento;9.2104;1.1844;0.3294
3085;17.7180;11;En movimiento;9.8453;1.1770;0.2386
3090;17.7836;11;En movimiento;10.5334;1.1942;0.1403
3095;17.8546;11;En movimiento;11.1681;1.1797;0.0495
3100;17.9229;11;En movimiento;11.8332;1.2033;-0.0456
3105;17.9951;11;En movimiento;12.5019;1.1829;-0.1412
3110;18.0612;11;En movimiento;13.1820;1.2134;-0.2384
3113;18.1032;11;Parada;13.6897;1.2481;-0.3110
3180;19.0375;12;En movimiento;17.6300;0.0500;0.0000
3185;19.1031;12;En movimiento;8.6478;1.1646;-2.8047
3190;19.1732;12;En movimiento;9.2883;1.1650;-2.5437
3195;19.2426;12;En movimiento;9.9327;1.1560;-2.2811
3200;19.3138;12;En movimiento;10.5972;1.1526;-2.0104
3205;19.3830;12;En movimiento;11.2141;1.1503;-1.7590
3210;19.4506;12;En movimiento;11.9136;1.1676;-1.4740
3215;19.5188;12;En movimiento;12.5015;1.1449;-1.2344
3220;19.5914;12;En movimiento;13.1279;1.1421;-0.9792
3223;19.6304;12;Parada;13.6456;1.1981;-0.7682
3290;20.5630;13;En movimiento;17.6300;0.0611;0.0000
3295;20.6315;13;En movimiento;8.0579;1.1995;-4.4834
3300;20.6996;13;En movimiento;8.7087;1.2490;-4.2051
3305;20.7702;13;En movimiento;9.3677;1.2993;-3.9233
3310;20.8385;13;En movimiento;10.0282;1.3634;-3.6408
3315;20.9104;13;En movimiento;10.6750;1.3831;-3.3642
3320;20.9782;13;En movimiento;11.3500;1.4714;-3.0755
3325;21.0468;13;En movimiento;12.0053;1.5250;-2.7953
3330;21.1163;13;En movimiento;12.6546;1.5521;-2.5176
3335;21.1871;13;En movimiento;13.3360;1.6341;-2.2262
3340;21.2558;13;En movimiento;13.9862;1.6549;-1.9481
3345;21.3251;13;En movimiento;14.6591;1.7070;-1.6604
3350;21.3981;13;En movimiento;15.2975;1.7561;-1.3874
3354;21.4526;13;Gol;19.0000;-2.1246;0.0000
3365;21.6036;14;En movimiento;7.9255;1.1615;0.6321
3370;21.6742;14;En movimiento;8.6380;1.1639;0.6409
3375;21.7420;14;En movimiento;9.3700;1.1879;0.6499
3380;21.8141;14;En movimiento;10.0761;1.1768;0.6586
3385;21.8813;14;En movimiento;10.8211;1.2147;0.6678
3390;21.9507;14;En movimiento;11.5124;1.2089;0.6764
3395;22.0217;14;En movimiento;12.2303;1.2189;0.6852
3400;22.0893;14;En movimiento;12.9753;1.2297;0.6944
3403;22.1341;14;Parada;13.5498;1.2933;0.7015
3470;23.0649;15;En movimiento;7.6767;1.1578;3.3260
3475;23.1338;15;En movimiento;8.3804;1.1435;3.0925
3480;23.2010;15;En movimiento;9.1170;1.1435;2.8482
3485;23.2703;15;En movimiento;9.7980;1.1259;2.6223
3490;23.3396;15;En movimiento;10.5058;1.1151;2.3875
3495;23.4105;15;En movimiento;11.2362;1.1044;2.1452
3500;23.4788;15;En movimiento;11.9400;1.0938;1.9117
3505;23.5508;15;En movimiento;12.6462;1.0600;1.6774
3510;23.6185;15;En movimiento;13.3646;1.0734;1.4391
3515;23.6867;15;En movimiento;14.1069;1.0927;1.1929
3520;23.7580;15;En movimiento;14.7931;1.0526;0.9652
3525;23.8267;15;En movimiento;15.4619;1.0598;0.7241
3527;23.8548;15;Gol;19.0000;-2.1131;0.0000
3545;24.1052;16;En movimiento;8.2180;1.1586;0.2514
3550;24.1735;16;En movimiento;8.9614;1.1692;0.3563
3555;24.2454;16;En movimiento;9.7339;1.1679;0.4654
3560;24.3153;16;En movimiento;10.4815;1.1724;0.5709
3565;24.3810;16;En movimiento;11.2109;1.1774;0.6739
3570;24.4521;16;En movimiento;11.9700;1.1823;0.7811
3575;24.5213;16;En movimiento;12.7295;1.1872;0.8883
3579;24.5762;16;Parada;13.4616;1.2435;0.9917
3645;25.4947;17;En movimiento;7.9481;1.1571;0.1847
3650;25.5622;17;En movimiento;8.7518;1.1780;0.1653
3655;25.6356;17;En movimiento;9.5327;1.1900;0.1464
3660;25.7020;17;En movimiento;10.2919;1.2062;0.1280
3665;25.7721;17;En movimiento;11.0909;1.2231;0.1087
3670;25.8394;17;En movimiento;11.8835;1.2398;0.0896
