Frame;Tiempo;ID_Luz;Estatus
19898;1.789.256;8;encendido
19992;13.055;8;tocado
19992;13.055;8;encendido
20070;23.878;8;tocado
20070;23.878;2;encendido
20170;37.770;2;tocado
20170;37.770;3;encendido
20241;47.620;3;tocado
20241;47.620;4;encendido
20273;52.068;4;tocado
20273;52.068;7;encendido
20336;60.831;7;tocado
20336;60.831;5;encendido
20412;71.370;5;tocado
20412;71.370;6;encendido
20483;81.244;6;tocado
20483;81.244;0;encendido
20546;90.003;0;tocado
20546;90.003;4;encendido
20610;98.868;4;tocado
20610;98.868;5;encendido
20654;104.975;5;tocado
20654;104.975;0;encendido
20735;116.253;0;tocado
20735;116.253;5;encendido
20796;124.704;5;tocado
20796;124.704;1;encendido
20844;131.368;1;tocado
20844;131.368;4;encendido
20888;137.501;4;tocado
20888;137.501;3;encendido
20996;152.481;3;tocado
20996;152.481;6;encendido
21120;169.720;6;tocado
21120;169.720;5;encendido
21182;178.331;5;tocado
21182;178.331;2;encendido
21229;184.837;2;tocado
21229;184.837;6;encendido
21298;194.428;6;tocado
21298;194.428;8;encendido
21343;200.674;8;tocado
21343;200.674;2;encendido
21396;208.052;2;tocado
21396;208.052;6;encendido
21457;216.518;6;tocado
21457;216.518;5;encendido
21498;222.310;5;tocado
21498;222.310;6;encendido
21590;235.129;6;tocado
21590;235.129;3;encendido
21694;249.566;3;tocado
21694;249.566;0;encendido
21750;257.365;0;tocado
21750;257.365;5;encendido
21814;266.256;5;tocado
21814;266.256;1;encendido
21882;275.678;1;tocado
21882;275.678;2;encendido
21928;282.066;2;tocado
21928;282.066;1;encendido
21966;287.366;1;tocado
21966;287.366;8;encendido
22049;298.870;8;tocado
22049;298.870;3;encendido
22116;308.179;3;tocado
22116;308.179;1;encendido
22220;322.620;1;tocado
22220;322.620;3;encendido
22311;335.241;3;tocado
22311;335.241;8;encendido
22393;346.660;8;tocado
22393;346.660;0;encendido
22467;356.936;0;tocado
22467;356.936;6;encendido
22535;366.397;6;tocado
22535;366.397;7;encendido
22576;372.083;7;tocado
22576;372.083;2;encendido
22632;379.859;2;tocado
22632;379.859;5;encendido
22675;385.841;5;tocado
22675;385.841;3;encendido
22725;392.767;3;tocado
22725;392.767;4;encendido
22756;397.064;4;tocado
22756;397.064;1;encendido
22816;405.432;1;tocado
22816;405.432;4;encendido
22855;410.815;4;tocado
22855;410.815;6;encendido
22910;418.482;6;tocado
22910;418.482;6;encendido
22977;427.769;6;tocado
22977;427.769;0;encendido
23069;440.563;0;tocado
23069;440.563;0;encendido
23133;449.459;0;tocado
23133;449.459;7;encendido
23218;461.236;7;tocado
23218;461.236;6;encendido
23272;468.751;6;tocado
23272;468.751;7;encendido
23314;474.582;7;tocado
23314;474.582;4;encendido
23353;480.004;4;tocado
23353;480.004;7;encendido
23417;488.870;7;tocado
23417;488.870;7;encendido
23422;489.578;7;tocado
23422;489.578;3;encendido
23478;497.364;3;tocado
23478;497.364;0;encendido
23529;504.422;0;tocado
23529;504.422;6;encendido
23599;514.174;6;tocado
23599;514.174;6;encendido
23652;521.520;6;tocado
23652;521.520;5;encendido
23741;533.883;5;tocado
23741;533.883;5;encendido
23777;538.872;5;tocado
23777;538.872;3;encendido
23837;547.204;3;tocado
23837;547.204;0;encendido
23891;554.715;0;tocado
23891;554.715;6;encendido
23960;564.301;6;tocado
23960;564.301;4;encendido
24007;570.822;4;tocado
24007;570.822;5;encendido
24051;576.941;5;tocado
24051;576.941;2;encendido
24205;598.328;2;tocado
24205;598.328;8;encendido
