USER;GAME;DATE;TIME;LANZAMIENTOS_GENERADOS;PARADAS;GOLES;N_LUCES;TRACKING_FILE;MODE;LEVEL;K_HANDBALLADAPTED;IDEJERCICIO;GOLESOBJETIVO;TIEMPOOBJETIVO;TIPO_BOLA;ID_BOLA;PUNTO_INICIAL_BOLA;ID_PUNTO_INICIAL_BOLA;PUNTO_FINAL_BOLA;ID_PUNTO_FINAL_BOLA;PARADA_BOLA;MANO_PARADA;TIEMPO_DISPARO;TIEMPO_PARADA_O_GOL
10;HandBall;2025-05-01 20:52:01;90.8465;63;43;20;0;/storage/emulated/0/Android/data/com.RehabImmersive.HGTrainer/HandBall/10/TrackingData/OculusTracking_20250501_205201.csv;Default;Progressive2;Handball;12;20;;1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,2,1,1,2,1,1,1,2,1,1,2,3,3,1,1,3,3,1,1,2,2,2,2,1,3,3,1,1,1,2,1,3,1,1,2,2,2,2,1,2,1,1,2,1,2,3,1,2;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63;(4.79, 1.16, -1.07),(7.98, 1.16, -3.52),(7.98, 1.15, -2.61),(4.72, 1.15, -1.35),(7.99, 1.16, 2.14),(7.63, 1.16, -0.76),(4.77, 1.15, -0.83),(4.64, 1.16, -1.78),(8.15, 1.15, -2.45),(7.73, 1.17, 0.54),(7.45, 1.16, 4.54),(7.93, 1.17, -2.83),(7.83, 1.16, 3.31),(7.45, 1.15, -4.56),(7.99, 1.15, -2.99),(7.51, 1.17, 0.58),(7.56, 1.17, -0.68),(4.96, 1.15, -0.48),(7.41, 1.15, -4.71),(8.03, 1.15, 3.00),(7.75, 1.17, -0.77),(8.24, 1.15, -2.55),(7.53, 1.17, -4.60),(7.82, 1.17, 3.05),(7.61, 1.17, -0.12),(7.99, 1.15, -3.18),(7.75, 1.15, 0.60),(8.28, 1.16, 2.23),(7.43, 1.16, -4.59),(7.43, 1.15, -0.65),(4.75, 1.16, -0.08),(8.20, 1.15, 2.48),(8.17, 1.17, -2.51),(8.16, 1.17, 2.54),(4.69, 1.17, -1.99),(7.40, 1.17, -4.69),(8.22, 1.16, 2.34),(7.59, 1.15, -4.69),(8.41, 1.16, -2.00),(7.80, 1.17, 3.31),(7.81, 1.15, 0.05),(7.23, 1.17, -4.90),(7.48, 1.16, -0.01),(7.64, 1.15, -0.58),(8.08, 1.15, 2.55),(7.82, 1.16, 3.40),(4.81, 1.15, -0.84),(7.28, 1.16, 4.58),(4.82, 1.15, -1.51),(7.58, 1.15, -0.03),(8.13, 1.17, 2.17),(7.65, 1.17, -4.06),(8.03, 1.17, 3.14),(7.50, 1.15, 0.78),(7.90, 1.15, -3.16),(7.63, 1.17, -3.84),(7.69, 1.16, 0.41),(7.40, 1.15, 4.84),(7.78, 1.15, 2.86),(7.69, 1.15, -0.60),(7.72, 1.15, -0.02),(7.59, 1.17, 4.39),(7.64, 1.17, -0.78);Central,LateralIzquierdo,LateralIzquierdo,Central,LateralDerecho,Pivote,Central,Central,LateralIzquierdo,Pivote,LateralDerecho,LateralIzquierdo,LateralDerecho,LateralIzquierdo,LateralIzquierdo,Pivote,Pivote,Central,LateralIzquierdo,LateralDerecho,Pivote,LateralIzquierdo,LateralIzquierdo,LateralDerecho,Pivote,LateralIzquierdo,Pivote,LateralDerecho,LateralIzquierdo,Pivote,Central,LateralDerecho,LateralIzquierdo,LateralDerecho,Central,LateralIzquierdo,LateralDerecho,LateralIzquierdo,LateralIzquierdo,LateralDerecho,Pivote,LateralIzquierdo,Pivote,Pivote,LateralDerecho,LateralDerecho,Central,LateralDerecho,Central,Pivote,LateralDerecho,LateralIzquierdo,LateralDerecho,Pivote,LateralIzquierdo,LateralIzquierdo,Pivote,LateralDerecho,LateralDerecho,Pivote,Pivote,LateralDerecho,Pivote;(15.75, 1.38, -0.71),(15.75, 1.37, -1.29),(15.75, 1.20, 1.16),(15.75, 1.24, -0.45),(15.75, 1.36, -0.11),(15.75, 1.67, -0.12),(15.75, 1.65, -1.31),(15.75, 1.41, 1.14),(15.75, 1.84, 0.07),(15.75, 1.91, -0.52),(15.75, 1.66, 1.35),(15.75, 1.24, 0.11),(15.75, 1.16, 1.19),(15.75, 1.17, -0.62),(15.75, 1.34, -0.12),(15.75, 1.85, -0.03),(15.75, 1.70, 0.15),(15.75, 1.71, 0.13),(15.75, 1.29, 1.34),(15.75, 1.84, -1.03),(15.75, 1.88, -1.05),(15.75, 1.73, 1.25),(15.75, 1.32, 0.09),(15.75, 1.37, 0.67),(15.75, 1.18, 0.65),(15.75, 1.64, -0.53),(15.75, 1.34, -1.15),(15.75, 1.29, 0.09),(15.75, 1.84, -0.08),(15.75, 1.33, 0.61),(15.75, 1.89, -0.07),(15.75, 1.68, 0.16),(15.75, 1.79, 0.12),(15.75, 1.42, 0.07),(15.75, 1.37, -0.71),(15.75, 1.15, 0.77),(15.75, 1.91, -0.72),(15.75, 1.75, 1.28),(15.75, 1.86, -0.53),(15.75, 1.32, 0.07),(15.75, 1.65, -1.30),(15.75, 1.77, -1.23),(15.75, 1.20, -0.05),(15.75, 1.29, -1.11),(15.75, 1.42, -0.04),(15.75, 1.65, -0.60),(15.75, 1.27, 0.52),(15.75, 1.89, 0.08),(15.75, 1.27, 1.31),(15.75, 1.23, -1.12),(15.75, 1.84, 0.60),(15.75, 1.37, -0.63),(15.75, 1.35, 1.31),(15.75, 1.36, 1.12),(15.75, 1.90, -0.66),(15.75, 1.27, 0.55),(15.75, 1.14, 0.75),(15.75, 1.33, -1.24),(15.75, 1.72, 1.21),(15.75, 1.29, -0.07),(15.75, 1.80, -0.11),(15.75, 1.31, 1.37),(15.75, 1.14, -0.69);CentroIzquierdaBajo,BajoIzquierda,BajoDerecha,CentroIzquierdaBajo,CentroBajo,Centro,EscuadraIzquierda,BajoDerecha,Centro,CentroIzquierda,EscuadraDerecha,CentroBajo,BajoDerecha,CentroIzquierdaBajo,CentroBajo,Centro,Centro,Centro,BajoDerecha,EscuadraIzquierda,EscuadraIzquierda,EscuadraDerecha,CentroBajo,CentroDerechaBajo,CentroDerechaBajo,CentroIzquierda,BajoIzquierda,CentroBajo,Centro,CentroDerechaBajo,Centro,Centro,Centro,CentroBajo,CentroIzquierdaBajo,CentroDerechaBajo,CentroIzquierda,EscuadraDerecha,CentroIzquierda,CentroBajo,EscuadraIzquierda,EscuadraIzquierda,CentroBajo,BajoIzquierda,CentroBajo,CentroIzquierda,CentroDerechaBajo,Centro,BajoDerecha,BajoIzquierda,CentroDerecha,CentroIzquierdaBajo,BajoDerecha,BajoDerecha,CentroIzquierda,CentroDerechaBajo,CentroDerechaBajo,BajoIzquierda,EscuadraDerecha,CentroBajo,Centro,BajoDerecha,CentroIzquierdaBajo;Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Gol recibido,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Gol recibido,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Gol recibido,Gol recibido,Gol recibido,Parada,Parada,Parada,Gol recibido,Parada,Gol recibido,Parada,Parada,Gol recibido,Gol recibido,Gol recibido,Parada,Gol recibido,Parada,Parada,Gol recibido,Gol recibido,Parada,Parada,Gol recibido,Gol recibido;LeftHand,LeftHand,RightHand,LeftHand,RightHand,LeftHand,LeftHand,RightHand,LeftHand,RightHand,No parada,LeftHand,No parada,No parada,LeftHand,RightHand,RightHand,RightHand,RightHand,RightHand,LeftHand,RightHand,LeftHand,No parada,RightHand,LeftHand,LeftUpperarm,RightHand,No parada,RightHand,RightHand,No parada,LeftHand,No parada,RightHand,RightHand,RightHand,LeftHand,LeftHand,No parada,No parada,No parada,RightHand,LeftHand,RightHand,No parada,RightHand,No parada,RightHand,LeftHand,No parada,No parada,No parada,RightHand,No parada,LeftHand,RightHand,No parada,No parada,LeftForearm,RightHand,No parada,No parada;0.318295,3.245487,6.329422,9.289717,12.107267,14.758771,17.313329,19.813073,22.187,24.450795,26.573917,28.589551,30.392539,32.10021,33.752525,35.141133,36.446168,37.612152,39.168285,40.460538,41.612126,42.695473,43.722343,44.917299,46.429744,47.457596,48.554176,49.637357,50.568269,52.219664,53.205778,54.608076,55.926248,56.857313,58.217256,59.606036,60.745667,61.703093,62.896318,63.80041,65.117904,66.367527,67.811663,68.700647,69.590397,70.521093,71.894519,73.145349,74.614967,75.866337,76.767725,78.016378,79.349893,80.585317,81.461139,82.654245,83.571219,84.391091,85.903452,87.069658,87.916744,88.695701,89.90184;1.78536,4.424414,7.509094,10.966901,13.146887,15.757281,18.783776,21.255569,23.199447,25.448462,27.990869,29.544949,31.824316,33.544621,34.654849,36.014946,37.333734,38.972298,40.263683,41.4163,42.499301,43.526344,44.721241,46.222399,47.261658,48.358903,49.441295,50.372277,52.011302,53.009884,54.411651,55.718432,56.661783,58.009162,59.410257,60.549254,61.507007,62.687881,63.603732,64.909872,66.159569,67.603798,68.504867,69.393645,70.324221,71.687036,72.94785,74.406938,75.669498,76.571993,77.808606,79.14185,80.37763,81.265098,82.446085,83.375325,84.194305,85.695237,86.861639,87.720862,88.498292,89.694021,90.846444

USER;GAME;DATE;TIME;LANZAMIENTOS_GENERADOS;PARADAS;GOLES;N_LUCES;TRACKING_FILE;MODE;LEVEL;K_HANDBALLADAPTED;IDEJERCICIO;GOLESOBJETIVO;TIEMPOOBJETIVO;TIPO_BOLA;ID_BOLA;PUNTO_INICIAL_BOLA;ID_PUNTO_INICIAL_BOLA;PUNTO_FINAL_BOLA;ID_PUNTO_FINAL_BOLA;PARADA_BOLA;MANO_PARADA;TIEMPO_DISPARO;TIEMPO_PARADA_O_GOL
10;HandBall;2025-05-01 21:15:30;60.51092;42;26;16;0;/storage/emulated/0/Android/data/com.RehabImmersive.HGTrainer/HandBall/10/TrackingData/OculusTracking_20250501_211530.csv;Default;PerTime;Handball;13;;60;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42;(8.27, 1.16, 5.05),(4.79, 1.16, -0.43),(8.14, 1.17, 2.16),(7.87, 1.16, -3.91),(7.35, 1.16, 4.70),(7.63, 1.16, 0.21),(7.72, 1.17, -0.70),(7.59, 1.15, 0.60),(7.83, 1.16, -3.83),(7.59, 1.15, 3.94),(7.13, 1.15, 4.89),(7.43, 1.15, -0.87),(7.77, 1.15, 2.90),(7.77, 1.17, 3.68),(7.77, 1.15, 0.61),(7.74, 1.17, -0.68),(7.64, 1.17, 0.69),(7.48, 1.15, -0.68),(7.47, 1.15, -4.45),(8.21, 1.16, 2.26),(4.86, 1.15, -1.14),(4.80, 1.16, -1.43),(7.90, 1.16, 3.77),(4.83, 1.16, -1.75),(4.87, 1.16, -0.64),(4.75, 1.15, -1.57),(4.85, 1.16, -0.41),(7.83, 1.17, -0.21),(7.69, 1.16, 0.46),(4.68, 1.15, -1.15),(4.89, 1.16, -0.94),(7.44, 1.16, 4.52),(4.72, 1.15, -1.51),(7.55, 1.15, 4.08),(7.67, 1.15, -4.06),(4.88, 1.15, -0.90),(7.66, 1.17, -4.20),(7.83, 1.17, 3.22),(7.84, 1.16, -3.58),(7.81, 1.17, 3.31),(7.55, 1.17, 3.72),(8.06, 1.15, 2.86);LateralDerecho,Central,LateralDerecho,LateralIzquierdo,LateralDerecho,Pivote,Pivote,Pivote,LateralIzquierdo,LateralDerecho,LateralDerecho,Pivote,LateralDerecho,LateralDerecho,Pivote,Pivote,Pivote,Pivote,LateralIzquierdo,LateralDerecho,Central,Central,LateralDerecho,Central,Central,Central,Central,Pivote,Pivote,Central,Central,LateralDerecho,Central,LateralDerecho,LateralIzquierdo,Central,LateralIzquierdo,LateralDerecho,LateralIzquierdo,LateralDerecho,LateralDerecho,LateralDerecho;(15.75, 1.77, 1.31),(15.75, 1.30, 1.38),(15.75, 1.63, -0.42),(15.75, 1.42, 1.13),(15.75, 1.31, 1.35),(15.75, 1.73, 0.76),(15.75, 1.31, -1.15),(15.75, 1.19, -1.07),(15.75, 1.26, -1.23),(15.75, 1.34, -0.68),(15.75, 1.18, -1.19),(15.75, 1.27, 0.06),(15.75, 1.72, 0.62),(15.75, 1.42, 0.68),(15.75, 1.87, 1.34),(15.75, 1.78, -0.71),(15.75, 1.26, -0.59),(15.75, 1.92, 0.77),(15.75, 1.24, -0.52),(15.75, 1.42, 1.38),(15.75, 1.65, 0.00),(15.75, 1.79, 0.04),(15.75, 1.38, 1.17),(15.75, 1.71, 0.17),(15.75, 1.22, 0.03),(15.75, 1.76, 0.15),(15.75, 1.41, -0.45),(15.75, 1.64, 0.07),(15.75, 1.84, 0.11),(15.75, 1.72, 1.08),(15.75, 1.23, -0.60),(15.75, 1.29, 1.35),(15.75, 1.43, 0.51),(15.75, 1.72, 0.66),(15.75, 1.92, 0.13),(15.75, 1.84, 0.18),(15.75, 1.66, -0.06),(15.75, 1.89, 0.06),(15.75, 1.24, -1.03),(15.75, 1.88, -1.05),(15.75, 1.31, 1.30),(15.75, 1.40, -1.24);EscuadraDerecha,BajoDerecha,CentroIzquierda,BajoDerecha,BajoDerecha,CentroDerecha,BajoIzquierda,BajoIzquierda,BajoIzquierda,CentroIzquierdaBajo,BajoIzquierda,CentroBajo,CentroDerecha,CentroDerechaBajo,EscuadraDerecha,CentroIzquierda,CentroIzquierdaBajo,CentroDerecha,CentroIzquierdaBajo,BajoDerecha,Centro,Centro,BajoDerecha,Centro,CentroBajo,Centro,CentroIzquierdaBajo,Centro,Centro,EscuadraDerecha,CentroIzquierdaBajo,BajoDerecha,CentroDerechaBajo,CentroDerecha,Centro,Centro,Centro,Centro,BajoIzquierda,EscuadraIzquierda,BajoDerecha,BajoIzquierda;Gol recibido,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Gol recibido,Gol recibido,Gol recibido,Parada,Gol recibido,Gol recibido,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Gol recibido,Parada,Gol recibido,Gol recibido,Parada,Gol recibido,Gol recibido,Gol recibido,Parada,Gol recibido,Parada;No parada,RightHand,RightHand,RightHand,No parada,RightHand,LeftHand,RightHand,LeftHand,RightHand,RightHand,RightHand,No parada,RightHand,RightHand,LeftHand,RightHand,RightHand,No parada,No parada,No parada,RightHand,No parada,No parada,RightHand,LeftHand,RightHand,RightHand,No parada,RightHand,LeftHand,No parada,RightForearm,No parada,No parada,RightHand,No parada,No parada,No parada,Head,No parada,LeftUpperarm;0.319518,3.79951,6.40504,8.340045,9.341833,10.330449,12.209755,14.034594,15.816108,17.654957,19.383064,21.23333,22.794017,23.796402,25.425845,26.969514,28.474829,29.907817,31.340917,32.331576,33.333135,34.335203,35.896019,36.897081,37.899594,39.417403,40.989756,42.4658,43.74647,44.73648,46.199006,47.589954,48.592061,49.970339,50.973136,51.975533,53.271055,54.273246,55.275283,56.278094,57.434361,58.43647;1.694581,5.42717,7.36328,9.3687,10.803997,11.248441,13.086869,14.868736,16.72172,18.4611,20.312802,21.885888,23.656045,24.532036,26.077242,27.594786,29.02875,30.462814,32.093681,32.998698,34.251539,35.05788,36.576952,37.773762,38.594429,40.167936,41.657262,42.93815,44.344583,45.415926,46.808422,48.216245,49.203396,50.527611,51.558781,52.531662,53.855751,54.830186,55.833283,56.709266,57.963589,58.811384

USER;GAME;DATE;TIME;LANZAMIENTOS_GENERADOS;PARADAS;GOLES;N_LUCES;TRACKING_FILE;MODE;LEVEL;K_HANDBALLADAPTED;IDEJERCICIO;GOLESOBJETIVO;TIEMPOOBJETIVO;TIPO_BOLA;ID_BOLA;PUNTO_INICIAL_BOLA;ID_PUNTO_INICIAL_BOLA;PUNTO_FINAL_BOLA;ID_PUNTO_FINAL_BOLA;PARADA_BOLA;MANO_PARADA;TIEMPO_DISPARO;TIEMPO_PARADA_O_GOL
10;HandBall;2025-05-01 21:19:05;59.68132;0;0;0;57;/storage/emulated/0/Android/data/com.RehabImmersive.HGTrainer/HandBall/1/TrackingData/OculusTracking_20250501_211905.csv;Default;LightsReaction2;Handball;11;;60;;;;;;;;;;
