Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;BallStatus;BallPosX;BallPosY;BallPosZ;
2524;0.3188;14.6862;1.5454;0.0049;354.1872;237.0001;4.4777;True;True;14.3925;1.0791;0.0855;4.8255;263.5020;5.2247;534.8482;40.1004;3.1766;0.0000;True;True;14.4928;1.2605;-0.2623;345.2157;186.1058;28.5018;538.5772;46.8424;-9.7485;0.0000;1;En movimiento;10.1252;1.1935;-4.3694
2525;0.3457;14.6854;1.5450;0.0055;354.2569;237.1874;4.6055;True;True;14.3926;1.0796;0.0817;4.4867;263.0008;5.5915;0.0114;0.0436;-0.3428;0.0000;True;True;14.4945;1.2619;-0.2648;345.4840;185.1727;28.3562;0.1529;0.1238;-0.2215;0.0000;1;En movimiento;10.2594;1.1982;-4.2911
2526;0.3567;14.6849;1.5447;0.0061;354.2433;237.1549;4.6744;True;True;14.3925;1.0800;0.0787;4.2210;262.4185;5.5163;-0.0041;0.0184;-0.1401;0.0000;True;True;14.4962;1.2637;-0.2664;345.3069;184.6491;28.1505;0.0809;0.0847;-0.0782;0.0000;1;En movimiento;10.3142;1.1930;-4.2592
2527;0.3781;14.6845;1.5441;0.0069;354.0930;237.0865;4.6412;True;True;14.3923;1.0807;0.0759;3.7243;262.1049;5.0328;-0.0080;0.0237;-0.0938;0.0000;True;True;14.4978;1.2660;-0.2665;344.1159;183.5212;28.1606;0.0528;0.0777;-0.0014;0.0000;1;En movimiento;10.4210;1.1832;-4.1970
2528;0.4077;14.6838;1.5427;0.0074;353.8040;237.1124;4.5339;True;True;14.3919;1.0810;0.0736;3.0526;261.7423;4.4729;-0.0265;0.0244;-0.1694;0.0000;True;True;14.4982;1.2692;-0.2645;341.7048;182.5141;27.8784;0.0330;0.2328;0.1408;0.0000;1;En movimiento;10.5688;1.1949;-4.1108
2529;0.4215;14.6833;1.5415;0.0079;353.7797;237.2073;4.2955;True;True;14.3914;1.0808;0.0716;2.5737;261.3137;4.0858;-0.0391;-0.0111;-0.1425;0.0000;True;True;14.4981;1.2718;-0.2627;339.1072;182.5107;27.2884;-0.0067;0.1863;0.1330;0.0000;1;En movimiento;10.6374;1.1944;-4.0708
2530;0.4354;14.6831;1.5414;0.0083;354.0473;237.4026;3.9781;True;True;14.3904;1.0803;0.0699;2.1787;260.9569;3.8011;-0.0608;-0.0342;-0.1166;0.0000;True;True;14.4978;1.2740;-0.2611;336.6535;182.8742;26.6381;-0.0245;0.1485;0.1005;0.0000;1;En movimiento;10.7070;1.1939;-4.0302
2531;0.4506;14.6824;1.5411;0.0084;353.8191;237.7314;3.4397;True;True;14.3891;1.0796;0.0683;1.7615;260.9590;3.6946;-0.0847;-0.0455;-0.0962;0.0000;True;True;14.4970;1.2761;-0.2599;334.9901;183.0074;26.3182;-0.0468;0.1272;0.0761;0.0000;1;En movimiento;10.7828;1.1936;-3.9860
2532;0.4666;14.6818;1.5413;0.0083;353.5626;238.2734;2.6412;True;True;14.3875;1.0787;0.0670;1.2815;261.4123;3.6838;-0.0959;-0.0534;-0.0836;0.0000;True;True;14.4958;1.2780;-0.2591;333.9879;183.4086;26.2030;-0.0780;0.1179;0.0487;0.0000;1;En movimiento;10.8625;1.1934;-3.9395
2533;0.4829;14.6815;1.5414;0.0082;353.3100;238.8221;2.1301;True;True;14.3858;1.0779;0.0657;0.8631;262.0156;3.7973;-0.1060;-0.0520;-0.0747;0.0000;True;True;14.4940;1.2800;-0.2586;333.1458;184.2839;26.1787;-0.1084;0.1220;0.0307;0.0000;1;En movimiento;10.9438;1.1842;-3.8922
