Frame;Tiempo;ID_Bola;Estatus;Posicion_Bola_x;Posicion_Bola_y;Posicion_Bola_z
2760;0.3049;1;En movimiento;9.7719;1.2834;-4.1998
2765;0.3959;1;En movimiento;10.1935;1.3145;-3.8261
2770;0.4722;1;En movimiento;10.5256;1.3379;-3.5316
2775;0.5474;1;En movimiento;10.8592;1.3615;-3.2359
2780;0.6199;1;En movimiento;11.1769;1.3835;-2.9542
2785;0.6909;1;En movimiento;11.4873;1.4056;-2.6791
2790;0.7609;1;En movimiento;11.7914;1.4271;-2.4095
2795;0.8309;1;En movimiento;12.0985;1.4490;-2.1373
2800;0.9004;1;En movimiento;12.4001;1.4704;-1.8699
2805;0.9700;1;En movimiento;12.7049;1.4922;-1.5997
2810;1.0398;1;En movimiento;13.0110;1.5141;-1.3283
2815;1.1092;1;En movimiento;13.3157;1.5360;-1.0582
2820;1.1792;1;En movimiento;13.6186;1.5578;-0.7897
2825;1.2488;1;En movimiento;13.9246;1.5800;-0.5184
2827;1.2765;1;Parada;14.1042;1.6872;-0.3592
2900;2.2963;2;En movimiento;7.8649;1.1685;-4.1937
2905;2.3623;2;En movimiento;8.2106;1.1599;-3.9575
2910;2.4323;2;En movimiento;8.5585;1.1507;-3.7198
2915;2.5016;2;En movimiento;8.9042;1.1416;-3.4835
2920;2.5716;2;En movimiento;9.2509;1.1326;-3.2466
2925;2.6409;2;En movimiento;9.5999;1.1236;-3.0081
2930;2.7106;2;En movimiento;9.9464;1.1147;-2.7713
2935;2.7804;2;En movimiento;10.2947;1.1059;-2.5333
2940;2.8501;2;En movimiento;10.6436;1.0971;-2.2948
2945;2.9195;2;En movimiento;10.9879;1.0884;-2.0595
2950;2.9892;2;En movimiento;11.3357;1.0797;-1.8219
2955;3.0591;2;En movimiento;11.6834;1.0712;-1.5843
2960;3.1292;2;En movimiento;12.0308;1.0627;-1.3469
2965;3.1984;2;En movimiento;12.3778;1.0973;-1.1098
2970;3.2679;2;En movimiento;12.7244;1.0921;-0.8729
2975;3.3369;2;En movimiento;13.0684;1.0382;-0.6378
2975;3.3369;3;En movimiento;8.4784;1.1431;-2.6020
2980;3.4067;2;En movimiento;13.4181;1.0300;-0.3988
2980;3.4067;3;En movimiento;8.8657;1.1349;-2.4339
2985;3.4768;2;En movimiento;13.7682;1.0218;-0.1596
2985;3.4768;3;En movimiento;9.2535;1.1268;-2.2656
2986;3.4912;2;Parada;13.9078;1.0748;-0.0642
2990;3.5464;3;En movimiento;9.6384;1.1187;-2.0985
2995;3.6167;3;En movimiento;10.0239;1.1107;-1.9312
3000;3.6863;3;En movimiento;10.4061;1.1028;-1.7653
3005;3.7560;3;En movimiento;10.7922;1.0949;-1.5977
3010;3.8257;3;En movimiento;11.1752;1.0871;-1.4315
3015;3.8960;3;En movimiento;11.5617;1.0794;-1.2637
3020;3.9652;3;En movimiento;11.9461;1.0718;-1.0969
3025;4.0340;3;En movimiento;12.3291;1.0642;-0.9307
3030;4.1037;3;En movimiento;12.7126;1.0955;-0.7642
3035;4.1730;3;En movimiento;13.0984;1.0912;-0.5968
3040;4.2429;3;En movimiento;13.4856;1.0869;-0.4287
3045;4.3127;3;En movimiento;13.8696;1.0827;-0.2620
3046;4.3268;3;Parada;14.0222;1.1304;-0.1958
3120;5.3567;4;En movimiento;5.0586;1.1545;-1.5031
3125;5.4265;4;En movimiento;5.5101;1.1482;-1.3869
3130;5.4965;4;En movimiento;5.9609;1.1419;-1.2709
3135;5.5660;4;En movimiento;6.4142;1.1358;-1.1542
3140;5.6359;4;En movimiento;6.8663;1.1296;-1.0379
3145;5.7061;4;En movimiento;7.3228;1.1236;-0.9204
3150;5.7755;4;En movimiento;7.7770;1.1177;-0.8035
3155;5.8452;4;En movimiento;8.2325;1.1118;-0.6862
3160;5.9152;4;En movimiento;8.6883;1.1060;-0.5689
3165;5.9846;4;En movimiento;9.1409;1.1002;-0.4524
3170;6.0545;4;En movimiento;9.5936;1.0945;-0.3359
3175;6.1241;4;En movimiento;10.0462;1.0889;-0.2194
3180;6.1946;4;En movimiento;10.5001;1.0833;-0.1026
3185;6.2638;4;En movimiento;10.9518;1.0778;0.0137
3190;6.3370;4;En movimiento;11.4101;1.0724;0.1317
3190;6.3370;5;En movimiento;7.9040;1.1534;-3.4585
3195;6.4031;4;En movimiento;11.8591;1.1177;0.2472
3195;6.4031;5;En movimiento;8.3275;1.1760;-3.3049
3200;6.4725;4;En movimiento;12.3116;1.0624;0.3637
3200;6.4725;5;En movimiento;8.7542;1.1913;-3.1501
3205;6.5423;4;En movimiento;12.7674;1.0571;0.4810
3205;6.5423;5;En movimiento;9.1842;1.2103;-2.9942
3210;6.6124;4;En movimiento;13.2243;1.1111;0.5986
3210;6.6124;5;En movimiento;9.6151;1.2430;-2.8379
3215;6.6817;4;En movimiento;13.6735;1.0469;0.7142
3215;6.6817;5;En movimiento;10.0388;1.2482;-2.6842
3217;6.7105;4;Parada;13.9496;1.1722;0.7853
3220;6.7512;5;En movimiento;10.4708;1.2675;-2.5275
3225;6.8212;5;En movimiento;10.8903;1.2861;-2.3754
3230;6.8906;5;En movimiento;11.3174;1.3052;-2.2205
3235;6.9606;5;En movimiento;11.7461;1.3246;-2.0650
3240;7.0298;5;En movimiento;12.1724;1.3438;-1.9104
3245;7.0999;5;En movimiento;12.6023;1.3633;-1.7545
3250;7.1696;5;En movimiento;13.0278;1.3826;-1.6002
3255;7.2393;5;En movimiento;13.4547;1.4021;-1.4453
3260;7.3086;5;En movimiento;13.8818;1.4679;-1.2904
3265;7.3787;5;En movimiento;14.3107;1.4907;-1.1349
3270;7.4483;5;En movimiento;14.7399;1.5136;-0.9792
3275;7.5176;5;En movimiento;15.1648;1.5363;-0.8251
3280;7.5869;5;En movimiento;15.4674;1.5385;-0.6704
3282;7.6156;5;Gol;19.0000;-2.1780;0.0000
3290;7.7252;6;En movimiento;8.2706;1.1737;2.0413
3295;7.7955;6;En movimiento;8.7050;1.1958;1.9644
3300;7.8651;6;En movimiento;9.1422;1.2181;1.8870
