Frame;Tiempo;ID_Bola;Estatus;Posicion_Bola_x;Posicion_Bola_y;Posicion_Bola_z
3075;0.3349;1;En movimiento;9.2530;1.2753;0.2087
3080;0.4246;1;En movimiento;9.7308;1.2939;0.2752
3085;0.5025;1;En movimiento;10.1420;1.3202;0.3324
3090;0.5762;1;En movimiento;10.5254;1.3384;0.3858
3095;0.6478;1;En movimiento;10.8941;1.3556;0.4372
3100;0.7183;1;En movimiento;11.2572;1.3731;0.4877
3105;0.7886;1;En movimiento;11.6193;1.3907;0.5382
3110;0.8581;1;En movimiento;11.9790;1.4081;0.5882
3115;0.9283;1;En movimiento;12.3386;1.4255;0.6383
3120;0.9973;1;En movimiento;12.6962;1.4768;0.6881
3125;1.0673;1;En movimiento;13.0566;1.4976;0.7383
3130;1.1364;1;En movimiento;13.4149;1.5183;0.7882
3135;1.2061;1;En movimiento;13.7732;1.4965;0.8381
3140;1.2754;1;En movimiento;14.1335;1.5143;0.8882
3140;1.2754;1;Parada;14.2014;1.5643;0.8977
3215;2.3200;2;En movimiento;8.3036;1.1568;-3.0345
3220;2.3903;2;En movimiento;8.6610;1.1507;-2.8261
3225;2.4604;2;En movimiento;9.0186;1.1447;-2.6177
3230;2.5303;2;En movimiento;9.3758;1.1387;-2.4095
3235;2.5994;2;En movimiento;9.7326;1.1328;-2.2015
3240;2.6691;2;En movimiento;10.0922;1.1269;-1.9919
3245;2.7387;2;En movimiento;10.4519;1.1212;-1.7822
3250;2.8085;2;En movimiento;10.8135;1.1155;-1.5714
3255;2.8781;2;En movimiento;11.1680;1.1099;-1.3648
3260;2.9478;2;En movimiento;11.5280;1.1043;-1.1550
3265;3.0173;2;En movimiento;11.8829;1.1338;-0.9481
3270;3.0868;2;En movimiento;12.2418;1.1315;-0.7389
3275;3.1564;2;En movimiento;12.5995;1.0887;-0.5303
3280;3.2262;2;En movimiento;12.9587;1.0834;-0.3210
3285;3.2988;2;En movimiento;13.3161;1.0306;-0.1126
3285;3.2988;3;En movimiento;4.8712;1.1593;-0.4729
3290;3.3659;2;En movimiento;13.6739;1.0730;0.0959
3290;3.3659;3;En movimiento;5.2924;1.1722;-0.4266
3295;3.4351;2;En movimiento;14.0296;1.0678;0.3033
3295;3.4351;3;En movimiento;5.7112;1.1842;-0.3807
3295;3.4351;2;Parada;14.1046;1.1748;0.3470
3300;3.5041;3;En movimiento;6.1350;1.1964;-0.3341
3305;3.5743;3;En movimiento;6.5573;1.2087;-0.2877
3310;3.6440;3;En movimiento;6.9816;1.2211;-0.2411
3315;3.7138;3;En movimiento;7.4035;1.2335;-0.1948
3320;3.7835;3;En movimiento;7.8269;1.2460;-0.1483
3325;3.8536;3;En movimiento;8.2482;1.2585;-0.1020
3330;3.9231;3;En movimiento;8.6691;1.2710;-0.0558
3335;3.9935;3;En movimiento;9.0928;1.2838;-0.0093
3340;4.0631;3;En movimiento;9.5150;1.2965;0.0371
3345;4.1336;3;En movimiento;9.9379;1.3094;0.0835
3350;4.2024;3;En movimiento;10.3570;1.3654;0.1296
3355;4.2719;3;En movimiento;10.7829;1.3816;0.1763
3360;4.3414;3;En movimiento;11.2026;1.3976;0.2224
3365;4.4114;3;En movimiento;11.6252;1.4137;0.2688
3370;4.4801;3;En movimiento;12.0452;1.3748;0.3149
3370;4.4801;4;En movimiento;7.9614;1.1572;3.1049
3375;4.5505;3;En movimiento;12.4657;1.3879;0.3611
3375;4.5505;4;En movimiento;8.3994;1.1533;2.9952
3380;4.6200;3;En movimiento;12.8847;1.4010;0.4071
3380;4.6200;4;En movimiento;8.8358;1.1495;2.8859
3385;4.6900;3;En movimiento;13.3092;1.4144;0.4538
3385;4.6900;4;En movimiento;9.2780;1.1458;2.7752
3390;4.7598;3;En movimiento;13.7290;1.4276;0.4999
3390;4.7598;4;En movimiento;9.7153;1.1421;2.6657
3395;4.8293;3;En movimiento;14.1522;1.4411;0.5463
3395;4.8293;4;En movimiento;10.1560;1.1386;2.5554
3395;4.8293;3;Parada;14.2380;1.5856;0.5558
3400;4.8988;4;En movimiento;10.5910;1.1350;2.4465
3405;4.9686;4;En movimiento;11.0342;1.1316;2.3355
3410;5.0386;4;En movimiento;11.4747;1.1282;2.2252
3415;5.1077;4;En movimiento;11.9154;1.1250;2.1149
3420;5.1773;4;En movimiento;12.3543;1.1574;2.0050
3425;5.2471;4;En movimiento;12.7910;1.1573;1.8957
3430;5.3168;4;En movimiento;13.2322;1.1574;1.7852
3435;5.3861;4;En movimiento;13.6702;1.1130;1.6755
3440;5.4561;4;En movimiento;14.1098;1.1101;1.5655
3445;5.5259;4;En movimiento;14.5501;1.1072;1.4552
3445;5.5259;4;Parada;14.6374;1.2097;1.4334
3520;6.5703;5;En movimiento;8.0701;1.1718;3.7655
3525;6.6398;5;En movimiento;8.4939;1.1959;3.6288
3530;6.7095;5;En movimiento;8.9163;1.2199;3.4925
3535;6.7791;5;En movimiento;9.3357;1.2438;3.3572
3540;6.8489;5;En movimiento;9.7574;1.2679;3.2211
3545;6.9185;5;En movimiento;10.1789;1.2921;3.0852
3550;6.9876;5;En movimiento;10.6004;1.3163;2.9492
3555;7.0575;5;En movimiento;11.0212;1.3666;2.8134
3560;7.1276;5;En movimiento;11.4420;1.3942;2.6776
3565;7.1969;5;En movimiento;11.8635;1.4218;2.5417
3570;7.2666;5;En movimiento;12.2846;1.4145;2.4058
3575;7.3361;5;En movimiento;12.7066;1.4391;2.2696
3580;7.4057;5;En movimiento;13.1282;1.4638;2.1336
3585;7.4753;5;En movimiento;13.5506;1.4886;1.9973
3590;7.5446;5;En movimiento;13.9721;1.5133;1.8613
3590;7.5446;6;En movimiento;5.0659;1.1615;-0.5059
3595;7.6153;5;En movimiento;14.3888;1.5378;1.7269
3595;7.6153;6;En movimiento;5.4989;1.1579;-0.4313
3599;7.6704;5;Parada;14.8114;1.6709;1.5906
3600;7.6846;6;En movimiento;5.9381;1.1544;-0.3557
3605;7.7543;6;En movimiento;6.3768;1.1510;-0.2801
3610;7.8238;6;En movimiento;6.8153;1.1477;-0.2045
3615;7.8934;6;En movimiento;7.2511;1.1443;-0.1295
3620;7.9631;6;En movimiento;7.6932;1.1412;-0.0533
3625;8.0323;6;En movimiento;8.1246;1.1632;0.0210
3630;8.1021;6;En movimiento;8.5639;1.1634;0.0967
3635;8.1722;6;En movimiento;9.0008;1.1636;0.1719
3640;8.2411;6;En movimiento;9.4378;1.1296;0.2472
3645;8.3111;6;En movimiento;9.8760;1.1267;0.3227
3650;8.3805;6;En movimiento;10.3115;1.1238;0.3977
3655;8.4504;6;En movimiento;10.7492;1.1211;0.4731
3660;8.5196;6;En movimiento;11.1860;1.1184;0.5484
3665;8.5893;6;En movimiento;11.6234;1.1157;0.6237
3670;8.6594;6;En movimiento;12.0805;1.1665;0.7024
3670;8.6594;7;En movimiento;4.9971;1.1515;-1.4288
3675;8.7287;6;En movimiento;12.4991;1.1107;0.7746
3675;8.7287;7;En movimiento;5.5155;1.1415;-1.3330
3680;8.7981;6;En movimiento;12.9368;1.1083;0.8500
