Frame;Tiempo;ID_Bola;Estatus;Posicion_Bola_x;Posicion_Bola_y;Posicion_Bola_z
37505;8.0391;6;En movimiento;12.4592;1.4345;1.2544
37510;8.1111;6;En movimiento;12.8813;1.3807;1.0339
37515;8.1789;6;En movimiento;13.3053;1.4431;0.8123
37520;8.2482;6;En movimiento;13.7461;1.5124;0.5820
37525;8.3204;6;En movimiento;14.1478;1.4384;0.3721
37525;8.3204;6;Parada;14.2327;1.6214;0.3396
37595;9.2916;7;En movimiento;17.6300;0.0500;0.0000
37600;9.3608;7;En movimiento;8.2975;1.1981;2.9106
37605;9.4324;7;En movimiento;8.7845;1.2287;2.7272
37610;9.4989;7;En movimiento;9.2887;1.2615;2.5372
37615;9.5682;7;En movimiento;9.8079;1.3078;2.3416
37620;9.6402;7;En movimiento;10.2929;1.3256;2.1589
37625;9.7090;7;En movimiento;10.8178;1.3596;1.9611
37630;9.7762;7;En movimiento;11.3120;1.3912;1.7749
37635;9.8458;7;En movimiento;11.8134;1.4234;1.5861
37640;9.9189;7;En movimiento;12.3306;1.4570;1.3912
37645;9.9849;7;En movimiento;12.8227;1.5215;1.2058
37650;10.0551;7;En movimiento;13.3389;1.5584;1.0113
37655;10.1263;7;En movimiento;13.8494;1.5555;0.8190
37659;10.1818;7;Parada;14.3558;1.6731;0.6282
37730;11.1656;8;En movimiento;4.8755;1.1488;-1.8534
37735;11.2380;8;En movimiento;5.4046;1.1448;-1.7885
37740;11.3031;8;En movimiento;5.9322;1.1416;-1.7239
37745;11.3761;8;En movimiento;6.4861;1.1271;-1.6560
37750;11.4430;8;En movimiento;7.0520;1.1481;-1.5867
37755;11.5136;8;En movimiento;7.5879;1.1309;-1.5210
37760;11.5840;8;En movimiento;8.1281;1.1274;-1.4548
37765;11.6516;8;En movimiento;8.6878;1.1242;-1.3862
37770;11.7202;8;En movimiento;9.2309;1.1480;-1.3196
37775;11.7933;8;En movimiento;9.7531;1.1173;-1.2556
37780;11.8597;8;En movimiento;10.3025;1.1477;-1.1883
37785;11.9300;8;En movimiento;10.8728;1.1481;-1.1184
37790;12.0007;8;En movimiento;11.3922;1.0686;-1.0548
37795;12.0702;8;En movimiento;11.9415;1.1056;-0.9875
37800;12.1370;8;En movimiento;12.4954;1.1028;-0.9196
37805;12.2068;8;En movimiento;13.0313;1.0998;-0.8539
37805;12.2068;9;En movimiento;8.1579;1.1524;-4.1136
37810;12.2795;8;En movimiento;13.5740;1.0969;-0.7874
37810;12.2795;9;En movimiento;8.6553;1.1425;-3.8797
37813;12.3206;8;Parada;14.0325;1.2038;-0.7312
37815;12.3477;9;En movimiento;9.1795;1.1326;-3.6332
37820;12.4152;9;En movimiento;9.6576;1.1357;-3.4084
37825;12.4876;9;En movimiento;10.1587;1.1131;-3.1728
37830;12.5572;9;En movimiento;10.6768;1.1035;-2.9292
37835;12.6224;9;En movimiento;11.1593;1.0946;-2.7023
37840;12.6937;9;En movimiento;11.6667;1.1104;-2.4637
37845;12.7633;9;En movimiento;12.1733;1.1042;-2.2255
37850;12.8314;9;En movimiento;12.6645;1.0663;-1.9946
37855;12.9010;9;En movimiento;13.1618;1.0570;-1.7607
37860;12.9717;9;En movimiento;13.6812;1.0859;-1.5165
37865;13.0402;9;En movimiento;14.1650;1.0803;-1.2890
37866;13.0564;9;Parada;14.3725;1.1207;-1.1914
37935;14.0149;10;En movimiento;7.8478;1.1813;3.5393
37940;14.0817;10;En movimiento;8.4259;1.2254;3.2425
37945;14.1517;10;En movimiento;8.9797;1.2605;2.9582
37950;14.2234;10;En movimiento;9.5522;1.3008;2.6643
37955;14.2906;10;En movimiento;10.1531;1.3437;2.3558
37960;14.3598;10;En movimiento;10.6939;1.3986;2.0781
37965;14.4317;10;En movimiento;11.2685;1.4021;1.7831
37970;14.4988;10;En movimiento;11.8487;1.4872;1.4853
37975;14.5688;10;En movimiento;12.4316;1.5320;1.1860
37980;14.6402;10;En movimiento;12.9887;1.5448;0.9000
37985;14.7095;10;En movimiento;13.5608;1.5856;0.6063
37990;14.7766;10;En movimiento;14.1414;1.6271;0.3082
37990;14.7766;10;Parada;14.2487;1.7120;0.2537
38060;15.7509;11;En movimiento;8.4481;1.1883;1.9921
38065;15.8168;11;En movimiento;9.0799;1.2317;1.8682
38070;15.8871;11;En movimiento;9.7608;1.2861;1.7346
38075;15.9611;11;En movimiento;10.3963;1.3100;1.6099
38080;16.0259;11;En movimiento;11.0854;1.3836;1.4747
38085;16.0951;11;En movimiento;11.7267;1.4311;1.3489
38090;16.1655;11;En movimiento;12.3698;1.4570;1.2227
38095;16.2370;11;En movimiento;13.0463;1.5039;1.0900
38100;16.3038;11;En movimiento;13.6877;1.5757;0.9642
38105;16.3759;11;En movimiento;14.3376;1.5622;0.8367
38105;16.3759;11;Parada;14.4899;1.6666;0.8068
38175;17.3444;12;En movimiento;5.1063;1.1505;-0.1967
38180;17.4146;12;En movimiento;5.8248;1.1468;-0.1387
38185;17.4841;12;En movimiento;6.5676;1.1432;-0.0787
38190;17.5555;12;En movimiento;7.2758;1.1174;-0.0214
38195;17.6232;12;En movimiento;7.9978;1.1219;0.0369
38200;17.6929;12;En movimiento;8.7231;1.1151;0.0955
38205;17.7644;12;En movimiento;9.4385;1.1083;0.1533
38210;17.8325;12;En movimiento;10.1669;1.1016;0.2121
38215;17.9011;12;En movimiento;10.8882;1.0950;0.2704
38220;17.9715;12;En movimiento;11.6238;1.0884;0.3298
38225;18.0400;12;En movimiento;12.3430;1.1160;0.3879
38230;18.1098;12;En movimiento;13.0534;1.1127;0.4453
38235;18.1794;12;En movimiento;13.7830;1.1095;0.5043
38237;18.2073;12;Parada;14.2171;1.1498;0.5393
38305;19.1538;13;En movimiento;7.7057;1.1775;4.3520
38310;19.2230;13;En movimiento;8.4241;1.2079;4.0649
38315;19.2919;13;En movimiento;9.1627;1.2396;3.7698
38320;19.3590;13;En movimiento;9.8481;1.2792;3.4960
38325;19.4320;13;En movimiento;10.5614;1.2986;3.2111
38330;19.5001;13;En movimiento;11.2715;1.3296;2.9273
38335;19.5682;13;En movimiento;11.9995;1.3810;2.6365
38340;19.6404;13;En movimiento;12.6886;1.3659;2.3612
38345;19.7070;13;En movimiento;13.4267;1.4488;2.0663
38350;19.7760;13;En movimiento;14.1115;1.4511;1.7927
38355;19.8490;13;En movimiento;14.8172;1.4814;1.5108
38360;19.9179;13;En movimiento;15.4620;1.5314;1.2274
38362;19.9430;13;Gol;19.0000;-2.0756;0.0000
38380;20.1932;14;En movimiento;8.1435;1.1884;0.3169
38385;20.2624;14;En movimiento;8.8194;1.2285;0.3853
38390;20.3328;14;En movimiento;9.5219;1.2707;0.4564
38395;20.4016;14;En movimiento;10.2048;1.3116;0.5255
38400;20.4710;14;En movimiento;10.8674;1.3509;0.5925
38405;20.5414;14;En movimiento;11.5562;1.3923;0.6622
