Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;
54794;0;14.8588;1.4748;0.0566;6.8969;298.6539;359.6974;True;True;0.2887;1.0654;-0.0624;9.1813;18.5032;359.7902;57.7449;213.0764;-12.4772;0.0000;True;True;-0.2569;1.0765;-0.0180;13.6676;320.1935;25.4247;-51.3743;215.2908;-3.5912;0.0000;
54796;0.02697177;14.8621;1.4738;0.0579;7.2894;299.9137;359.5791;True;True;0.2896;1.0665;-0.0645;9.0942;18.5577;359.6361;0.0655;0.0782;-0.2239;0.0000;True;True;-0.2555;1.0788;-0.0177;13.1700;320.9441;25.1500;0.1474;0.2287;0.0166;0.0000;
54798;0.05434245;14.8649;1.4727;0.0587;7.7477;300.8087;359.5043;True;True;0.2897;1.0668;-0.0669;9.1397;18.6942;0.5426;0.0002;0.0229;-0.2502;0.0000;True;True;-0.2539;1.0809;-0.0177;12.7259;321.5243;25.2939;0.1633;0.2059;-0.0087;0.0000;
54800;0.08541891;14.8673;1.4714;0.0590;8.2298;301.4153;359.4657;True;True;0.2893;1.0662;-0.0698;9.4541;18.3958;1.5363;-0.0317;-0.0584;-0.2822;0.0000;True;True;-0.2519;1.0829;-0.0176;12.4151;322.0002;25.5073;0.1970;0.1974;0.0176;0.0000;
54802;0.1091759;14.8693;1.4698;0.0585;8.8333;301.6793;359.4381;True;True;0.2892;1.0651;-0.0729;9.4930;17.9602;1.7013;0.0056;-0.1127;-0.3111;0.0000;True;True;-0.2496;1.0848;-0.0173;12.1145;322.7222;25.6879;0.2501;0.1785;0.0358;0.0000;
54804;0.1402619;14.8710;1.4683;0.0579;9.5050;301.8784;359.4568;True;True;0.2894;1.0635;-0.0764;9.6270;18.0984;1.1607;0.0177;-0.2099;-0.3635;0.0000;True;True;-0.2469;1.0866;-0.0171;11.7521;323.4932;25.6517;0.2747;0.1766;0.0100;0.0000;
54806;0.1658947;14.8725;1.4670;0.0574;10.1351;302.2255;359.4914;True;True;0.2890;1.0612;-0.0799;10.2211;18.3722;1.3640;-0.0542;-0.2163;-0.3490;0.0000;True;True;-0.2441;1.0879;-0.0170;11.3371;324.0873;25.4900;0.2897;0.1163;0.0242;0.0000;
54808;0.1947864;14.8736;1.4661;0.0564;10.6318;302.3514;359.6021;True;True;0.2884;1.0590;-0.0834;10.4466;18.4645;2.1791;-0.0412;-0.2183;-0.3475;0.0000;True;True;-0.2413;1.0886;-0.0164;11.0503;324.7333;25.1332;0.2667;0.0659;0.0533;0.0000;
54810;0.2215822;14.8743;1.4656;0.0550;10.8760;302.1477;359.7709;True;True;0.2881;1.0569;-0.0870;10.8884;18.4097;2.1513;-0.0345;-0.1956;-0.3541;0.0000;True;True;-0.2389;1.0891;-0.0162;11.0301;325.4800;25.0947;0.2251;0.0481;0.0149;0.0000;
54812;0.2491577;14.8746;1.4657;0.0528;10.8557;301.4934;359.9396;True;True;0.2881;1.0558;-0.0902;11.2642;18.8194;2.2824;0.0186;-0.0854;-0.3077;0.0000;True;True;-0.2373;1.0894;-0.0160;11.1663;326.1024;25.4056;0.1314;0.0167;0.0242;0.0000;
54814;0.2768273;14.8742;1.4664;0.0489;10.5054;299.8186;359.8929;True;True;0.2880;1.0559;-0.0931;11.3043;19.2531;2.3712;-0.0214;0.0233;-0.2751;0.0000;True;True;-0.2364;1.0896;-0.0159;11.2257;326.1550;25.4518;0.0750;0.0244;0.0210;0.0000;
54816;0.3046432;14.8735;1.4675;0.0448;9.8008;297.5688;359.6478;True;True;0.2870;1.0571;-0.0953;10.8137;19.0078;2.1807;-0.0954;0.1172;-0.2053;0.0000;True;True;-0.2363;1.0899;-0.0156;11.2556;326.1180;25.4116;0.0254;0.0281;0.0344;0.0000;
54818;0.332476;14.8729;1.4686;0.0403;9.0733;295.3289;359.6607;True;True;0.2866;1.0582;-0.0966;10.5111;18.5819;1.8346;-0.0287;0.1034;-0.0963;0.0000;True;True;-0.2362;1.0904;-0.0153;11.2964;326.3374;25.4102;0.0047;0.0520;0.0250;0.0000;
54820;0.362027;14.8722;1.4696;0.0344;8.4984;292.4820;359.6523;True;True;0.2864;1.0595;-0.0969;10.3738;18.5349;1.8594;-0.0177;0.1332;-0.0151;0.0000;True;True;-0.2364;1.0910;-0.0152;11.2529;326.3651;25.3680;-0.0304;0.0647;-0.0026;0.0000;
54822;0.3879668;14.8708;1.4706;0.0274;7.8465;288.4935;359.5666;True;True;0.2858;1.0618;-0.0965;9.9778;19.2023;2.4437;-0.0776;0.2664;0.0450;0.0000;True;True;-0.2380;1.0931;-0.0153;10.8452;325.9872;25.0441;-0.1706;0.2013;-0.0076;0.0000;
54824;0.4156348;14.8694;1.4717;0.0187;7.0584;283.3632;359.5820;True;True;0.2844;1.0647;-0.0954;9.4482;19.4633;2.5890;-0.1617;0.2988;0.1344;0.0000;True;True;-0.2393;1.0950;-0.0157;10.6421;325.8256;25.0445;-0.1293;0.2170;-0.0522;0.0000;
54826;0.4439122;14.8685;1.4728;0.0091;6.2982;277.4971;359.7628;True;True;0.2818;1.0678;-0.0935;9.0585;18.7260;1.8725;-0.3036;0.3109;0.2051;0.0000;True;True;-0.2416;1.0976;-0.0168;10.3522;326.0951;25.4126;-0.2632;0.2901;-0.1468;0.0000;
54828;0.4711344;14.8685;1.4737;-0.0005;5.6379;271.4719;0.0918;True;True;0.2775;1.0712;-0.0909;8.5499;17.6684;1.6220;-0.4607;0.3416;0.2718;0.0000;True;True;-0.2456;1.1013;-0.0192;9.7512;325.4948;25.7429;-0.4313;0.3860;-0.2807;0.0000;
54830;0.4993705;14.8697;1.4745;-0.0107;5.1222;265.7975;0.3847;True;True;0.2721;1.0744;-0.0876;7.8876;16.4627;2.0288;-0.5639;0.3191;0.3519;0.0000;True;True;-0.2504;1.1052;-0.0223;8.5892;324.0484;25.5328;-0.5002;0.3847;-0.3081;0.0000;
54832;0.5270122;14.8711;1.4752;-0.0199;4.6582;260.3260;0.7348;True;True;0.2659;1.0773;-0.0836;7.3082;15.1285;2.6874;-0.6257;0.2743;0.4240;0.0000;True;True;-0.2566;1.1086;-0.0257;7.4659;322.4531;25.3860;-0.6617;0.3191;-0.3541;0.0000;
54834;0.5558127;14.8729;1.4754;-0.0278;4.3526;255.2719;1.1074;True;True;0.2594;1.0798;-0.0791;7.1089;13.7515;3.0104;-0.6703;0.2502;0.4560;0.0000;True;True;-0.2647;1.1110;-0.0296;6.9184;320.9495;25.7757;-0.8698;0.2085;-0.4078;0.0000;
54836;0.5823931;14.8748;1.4752;-0.0345;4.1920;250.7563;1.5500;True;True;0.2523;1.0828;-0.0740;6.6257;12.2610;3.5284;-0.7037;0.3129;0.5149;0.0000;True;True;-0.2744;1.1118;-0.0341;7.3774;318.9794;26.9147;-1.0122;0.0349;-0.4663;0.0000;
54838;0.6107668;14.8768;1.4750;-0.0409;4.0651;246.6121;2.0859;True;True;0.2457;1.0858;-0.0687;5.9089;10.6065;3.7891;-0.6440;0.2971;0.5335;0.0000;True;True;-0.2842;1.1122;-0.0384;7.9828;316.9381;27.6345;-0.9789;0.0419;-0.4311;0.0000;
54840;0.6378401;14.8786;1.4745;-0.0464;4.0993;242.7427;2.7659;True;True;0.2398;1.0888;-0.0632;5.0357;8.8854;3.6061;-0.5723;0.2925;0.5590;0.0000;True;True;-0.2946;1.1119;-0.0424;8.1048;315.0804;27.8456;-1.0785;-0.0475;-0.3893;0.0000;
54842;0.6677719;14.8798;1.4732;-0.0502;4.5292;239.5994;3.3086;True;True;0.2349;1.0910;-0.0570;4.3401;7.8528;3.1162;-0.4609;0.1941;0.6334;0.0000;True;True;-0.3064;1.1107;-0.0465;8.6226;312.9458;28.2363;-1.1988;-0.1422;-0.4230;0.0000;
54844;0.6930032;14.8804;1.4717;-0.0531;5.1090;237.4141;3.6303;True;True;0.2306;1.0924;-0.0504;4.3456;7.4436;2.9321;-0.4114;0.1410;0.6754;0.0000;True;True;-0.3182;1.1089;-0.0508;10.0983;310.1508;28.6246;-1.1377;-0.1595;-0.4191;0.0000;
54846;0.7249142;14.8799;1.4705;-0.0550;5.5825;235.8028;4.0542;True;True;0.2264;1.0940;-0.0438;4.4736;6.9076;3.5038;-0.4296;0.1649;0.6475;0.0000;True;True;-0.3289;1.1082;-0.0545;11.5507;308.0065;29.3070;-1.0457;-0.0396;-0.3408;0.0000;
