Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;
36930;0.05567979;14.5787;1.4865;-0.0236;8.6044;260.9649;1.0153;True;True;0.0483;1.0430;0.1145;357.8468;357.4646;49.4842;-0.0902;0.0574;0.1014;0.0000;True;True;-0.0880;1.1146;0.1117;1.4984;342.4294;6.9658;-0.0004;0.1014;-0.0219;0.0000;
36935;0.1251607;14.5781;1.4865;-0.0251;8.6519;260.9302;1.1454;True;True;0.0465;1.0441;0.1158;357.6807;357.1420;49.4143;-0.0593;0.0371;0.0557;0.0000;True;True;-0.0888;1.1177;0.1105;0.3675;342.1657;7.4042;-0.0531;0.1113;-0.0652;0.0000;
36940;0.1963305;14.5772;1.4868;-0.0257;8.4868;261.1520;1.2763;True;True;0.0493;1.0531;0.1187;355.0946;358.1825;48.8449;0.4113;0.8310;0.2321;0.0000;True;True;-0.0976;1.1235;0.1115;358.5906;339.9778;8.9105;-0.5028;0.2900;0.1201;0.0000;
36945;0.2626659;14.5753;1.4873;-0.0248;8.3605;262.6030;1.1208;True;True;0.0709;1.0824;0.1282;349.1294;9.2234;37.3708;0.9528;0.9900;0.4438;0.0000;True;True;-0.1183;1.1340;0.1155;355.6859;333.8725;10.1184;-0.9346;0.4610;0.1877;0.0000;
36950;0.3356624;14.5731;1.4869;-0.0223;8.5752;265.1273;1.3269;True;True;0.0859;1.1033;0.1395;343.9339;11.5971;40.2097;0.5327;0.9070;0.4570;0.0000;True;True;-0.1410;1.1461;0.1211;353.8464;328.9608;12.0280;-0.8458;0.4714;0.2942;0.0000;
36955;0.4018117;14.5715;1.4864;-0.0215;9.0261;266.9912;1.3653;True;True;0.0928;1.1331;0.1546;338.6060;10.8363;41.8153;-0.0548;1.7259;0.7157;0.0000;True;True;-0.1587;1.1613;0.1297;351.0493;326.7865;12.5569;-0.7446;0.7665;0.3683;0.0000;
36960;0.4710901;14.5699;1.4863;-0.0264;8.0783;266.9542;1.9476;True;True;0.0836;1.1938;0.1706;326.0703;8.1034;41.0046;-0.6529;2.5510;0.6487;0.0000;True;True;-0.1953;1.1954;0.1357;343.5386;319.7078;14.4863;-2.2462;1.8491;0.1577;0.0000;
36965;0.5430852;14.5677;1.4826;-0.0421;7.6857;266.2496;1.6163;True;True;0.0559;1.2473;0.1908;314.7660;4.3042;42.4468;-1.3061;1.7871;1.1454;0.0000;True;True;-0.2531;1.2578;0.1411;333.0962;297.9502;23.0765;-1.8259;2.7393;0.2077;0.0000;
36970;0.6110663;14.5645;1.4772;-0.0676;8.9460;267.5974;1.9517;True;True;0.0252;1.2868;0.2321;312.8911;10.8542;35.8042;-1.3141;1.3620;1.6401;0.0000;True;True;-0.2613;1.3178;0.1555;322.9077;296.2828;29.8357;0.6561;1.8979;0.9196;0.0000;
36975;0.6808054;14.5573;1.4744;-0.0986;9.4660;268.8160;1.5128;True;True;-0.0100;1.3088;0.2716;314.2564;11.5457;33.1055;-1.3699;0.8482;1.1949;0.0000;True;True;-0.2470;1.3396;0.1916;318.6072;311.2411;25.3282;0.2616;0.2851;1.7048;0.0000;
