USER;GAME;DATE;TIME;LANZAMIENTOS_GENERADOS;PARADAS;GOLES;N_LUCES;TRACKING_FILE;MODE;LEVEL;K_HANDBALLADAPTED;IDEJERCICIO;GOLESOBJETIVO;TIEMPOOBJETIVO;TIPO_BOLA;ID_BOLA;PUNTO_INICIAL_BOLA;ID_PUNTO_INICIAL_BOLA;PUNTO_FINAL_BOLA;ID_PUNTO_FINAL_BOLA;PARADA_BOLA;MANO_PARADA;TIEMPO_DISPARO;TIEMPO_PARADA_O_GOL
11;HGTrainer;2025-03-10 21:38:30;126.3583;98;78;20;0;/storage/emulated/0/Android/data/com.RehabImmersive.HGTrainer/HGTrainer/11/TrackingData/OculusTracking_20250310_213830.csv;Default;Progressive2;Handball;3;20;;1,1,1,1,1,1,1,1,1,3,3,3,1,2,1,1,2,3,2,1,2,1,1,1,1,1,3,1,1,3,3,3,1,3,2,3,1,2,1,2,1,1,1,3,2,2,1,1,2,1,2,3,1,2,2,1,2,1,1,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,3,1,3,1,1,1,2,2,1,1,1,1,1,1,1,1,3,2,2,3,2,1;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98;(4.79, 1.16, -1.07),(7.32, 1.16, 4.00),(8.32, 1.16, -2.37),(4.86, 1.16, -1.10),(7.63, 1.16, 0.00),(7.47, 1.15, 3.94),(7.72, 1.16, -0.40),(4.70, 1.16, -1.00),(7.56, 1.15, 0.01),(8.31, 1.17, 1.89),(7.66, 1.15, 0.75),(4.67, 1.16, -1.34),(7.40, 1.15, 1.05),(8.03, 1.17, -2.69),(4.76, 1.15, -1.00),(7.34, 1.17, 4.69),(4.67, 1.16, -2.05),(7.78, 1.15, 3.12),(8.00, 1.17, -2.84),(8.53, 1.17, 1.69),(7.61, 1.17, -0.03),(7.58, 1.17, -0.97),(7.77, 1.17, 0.24),(4.92, 1.16, -1.40),(7.55, 1.15, -4.17),(7.70, 1.17, 0.95),(7.57, 1.17, -4.51),(4.70, 1.17, -0.84),(7.67, 1.17, -0.79),(7.77, 1.15, -4.16),(8.18, 1.15, -2.69),(7.36, 1.16, -4.64),(7.65, 1.15, 4.18),(7.91, 1.17, -0.11),(7.74, 1.16, -0.68),(4.77, 1.15, -0.81),(4.89, 1.15, -1.94),(7.81, 1.15, 0.06),(7.51, 1.17, 0.84),(7.55, 1.16, -0.50),(7.73, 1.15, -4.03),(7.64, 1.15, 0.99),(7.45, 1.15, -4.86),(4.92, 1.16, -1.69),(8.31, 1.15, 1.72),(7.41, 1.15, 4.39),(8.09, 1.15, 2.03),(7.51, 1.15, 1.02),(7.86, 1.15, -3.35),(7.55, 1.15, -4.19),(7.43, 1.17, 0.81),(7.73, 1.17, 3.65),(8.21, 1.17, 2.23),(7.61, 1.15, 0.64),(7.89, 1.17, 3.36),(7.89, 1.17, -3.37),(7.84, 1.15, 3.20),(7.80, 1.16, 3.06),(4.96, 1.15, -0.96),(7.50, 1.16, 0.57),(4.73, 1.15, -0.99),(8.25, 1.15, -2.33),(8.11, 1.17, 2.90),(7.66, 1.17, 0.30),(7.80, 1.15, -3.00),(7.39, 1.16, -4.43),(8.07, 1.15, 3.00),(7.56, 1.15, -4.53),(7.60, 1.17, 3.63),(4.67, 1.15, -0.36),(7.53, 1.17, -0.82),(7.69, 1.17, -0.23),(7.62, 1.15, 0.93),(4.77, 1.15, -0.06),(4.64, 1.15, -1.27),(8.14, 1.17, 2.44),(4.86, 1.17, -0.90),(4.88, 1.15, -0.23),(7.38, 1.16, 0.60),(7.44, 1.15, -4.86),(7.73, 1.15, -1.06),(8.08, 1.17, 2.38),(4.70, 1.16, -0.92),(7.89, 1.17, 2.91),(4.72, 1.15, -1.31),(8.26, 1.15, -2.54),(7.85, 1.17, 0.25),(7.22, 1.17, 4.86),(7.64, 1.17, 0.39),(7.21, 1.16, 4.53),(7.43, 1.17, -0.89),(7.32, 1.16, 4.39),(4.69, 1.15, -1.58),(7.93, 1.15, -0.58),(4.94, 1.15, -0.61),(7.27, 1.17, 4.60),(8.24, 1.17, 1.88),(7.90, 1.15, -2.80);Central,LateralDerecho,LateralIzquierdo,Central,Pivote,LateralDerecho,Pivote,Central,Pivote,LateralDerecho,Pivote,Central,Pivote,LateralIzquierdo,Central,LateralDerecho,Central,LateralDerecho,LateralIzquierdo,LateralDerecho,Pivote,Pivote,Pivote,Central,LateralIzquierdo,Pivote,LateralIzquierdo,Central,Pivote,LateralIzquierdo,LateralIzquierdo,LateralIzquierdo,LateralDerecho,Pivote,Pivote,Central,Central,Pivote,Pivote,Pivote,LateralIzquierdo,Pivote,LateralIzquierdo,Central,LateralDerecho,LateralDerecho,LateralDerecho,Pivote,LateralIzquierdo,LateralIzquierdo,Pivote,LateralDerecho,LateralDerecho,Pivote,LateralDerecho,LateralIzquierdo,LateralDerecho,LateralDerecho,Central,Pivote,Central,LateralIzquierdo,LateralDerecho,Pivote,LateralIzquierdo,LateralIzquierdo,LateralDerecho,LateralIzquierdo,LateralDerecho,Central,Pivote,Pivote,Pivote,Central,Central,LateralDerecho,Central,Central,Pivote,LateralIzquierdo,Pivote,LateralDerecho,Central,LateralDerecho,Central,LateralIzquierdo,Pivote,LateralDerecho,Pivote,LateralDerecho,Pivote,LateralDerecho,Central,Pivote,Central,LateralDerecho,LateralDerecho,LateralIzquierdo;(15.75, 1.82, 0.75),(15.75, 1.13, -0.67),(15.75, 1.81, 0.58),(15.75, 1.75, -1.03),(15.75, 1.40, 0.61),(15.75, 1.80, 0.51),(15.75, 1.15, -1.06),(15.75, 1.72, -1.17),(15.75, 1.24, 0.15),(15.75, 1.77, -0.69),(15.75, 1.14, -1.24),(15.75, 1.31, -0.56),(15.75, 1.67, 0.77),(15.75, 1.79, 0.70),(15.75, 1.66, -1.16),(15.75, 1.32, 0.03),(15.75, 1.77, 0.48),(15.75, 1.88, 1.16),(15.75, 1.22, -0.10),(15.75, 1.24, 0.18),(15.75, 1.69, -0.55),(15.75, 1.70, -0.02),(15.75, 1.82, 0.68),(15.75, 1.91, -1.27),(15.75, 1.76, 0.10),(15.75, 1.92, 1.10),(15.75, 1.17, 1.38),(15.75, 1.18, 0.08),(15.75, 1.82, 1.28),(15.75, 1.36, 1.18),(15.75, 1.64, -0.62),(15.75, 1.35, -0.05),(15.75, 1.22, 0.03),(15.75, 1.63, 0.51),(15.75, 1.20, 0.54),(15.75, 1.25, 1.37),(15.75, 1.70, 0.49),(15.75, 1.80, -1.05),(15.75, 1.65, 0.09),(15.75, 1.36, -0.51),(15.75, 1.23, -0.04),(15.75, 1.34, -0.03),(15.75, 1.22, -1.30),(15.75, 1.31, 1.18),(15.75, 1.20, -1.26),(15.75, 1.24, -1.32),(15.75, 1.76, -0.49),(15.75, 1.70, -0.66),(15.75, 1.34, -0.57),(15.75, 1.78, -0.07),(15.75, 1.18, 0.52),(15.75, 1.91, 0.58),(15.75, 1.79, 0.13),(15.75, 1.40, -0.52),(15.75, 1.22, 0.09),(15.75, 1.29, 1.36),(15.75, 1.43, -1.05),(15.75, 1.81, 1.30),(15.75, 1.41, -0.57),(15.75, 1.75, 0.73),(15.75, 1.37, -1.19),(15.75, 1.19, -0.67),(15.75, 1.17, 1.22),(15.75, 1.92, -0.56),(15.75, 1.64, -1.06),(15.75, 1.35, -0.10),(15.75, 1.84, -1.05),(15.75, 1.32, -0.65),(15.75, 1.79, 0.51),(15.75, 1.14, 0.50),(15.75, 1.69, -0.45),(15.75, 1.29, -0.45),(15.75, 1.66, -1.15),(15.75, 1.33, -0.55),(15.75, 1.86, 0.57),(15.75, 1.77, -1.27),(15.75, 1.17, 1.17),(15.75, 1.75, -0.09),(15.75, 1.24, 1.21),(15.75, 1.40, 1.34),(15.75, 1.88, 0.49),(15.75, 1.80, -1.25),(15.75, 1.40, -0.52),(15.75, 1.81, -0.47),(15.75, 1.23, -1.21),(15.75, 1.30, -0.50),(15.75, 1.79, 0.13),(15.75, 1.77, -0.68),(15.75, 1.73, -1.29),(15.75, 1.66, -0.08),(15.75, 1.28, 1.34),(15.75, 1.84, 0.12),(15.75, 1.35, 1.13),(15.75, 1.72, -1.31),(15.75, 1.64, -0.04),(15.75, 1.90, 0.08),(15.75, 1.16, -0.66),(15.75, 1.41, -0.48);CentroDerecha,CentroIzquierdaBajo,CentroDerecha,EscuadraIzquierda,CentroDerechaBajo,CentroDerecha,BajoIzquierda,EscuadraIzquierda,CentroBajo,CentroIzquierda,BajoIzquierda,CentroIzquierdaBajo,CentroDerecha,CentroDerecha,EscuadraIzquierda,CentroBajo,CentroDerecha,EscuadraDerecha,CentroBajo,CentroBajo,CentroIzquierda,Centro,CentroDerecha,EscuadraIzquierda,Centro,EscuadraDerecha,BajoDerecha,CentroBajo,EscuadraDerecha,BajoDerecha,CentroIzquierda,CentroBajo,CentroBajo,CentroDerecha,CentroDerechaBajo,BajoDerecha,CentroDerecha,EscuadraIzquierda,Centro,CentroIzquierdaBajo,CentroBajo,CentroBajo,BajoIzquierda,BajoDerecha,BajoIzquierda,BajoIzquierda,CentroIzquierda,CentroIzquierda,CentroIzquierdaBajo,Centro,CentroDerechaBajo,CentroDerecha,Centro,CentroIzquierdaBajo,CentroBajo,BajoDerecha,BajoIzquierda,EscuadraDerecha,CentroIzquierdaBajo,CentroDerecha,BajoIzquierda,CentroIzquierdaBajo,BajoDerecha,CentroIzquierda,EscuadraIzquierda,CentroBajo,EscuadraIzquierda,CentroIzquierdaBajo,CentroDerecha,CentroDerechaBajo,CentroIzquierda,CentroIzquierdaBajo,EscuadraIzquierda,CentroIzquierdaBajo,CentroDerecha,EscuadraIzquierda,BajoDerecha,Centro,BajoDerecha,BajoDerecha,CentroDerecha,EscuadraIzquierda,CentroIzquierdaBajo,CentroIzquierda,BajoIzquierda,CentroIzquierdaBajo,Centro,CentroIzquierda,EscuadraIzquierda,Centro,BajoDerecha,Centro,BajoDerecha,EscuadraIzquierda,Centro,Centro,CentroIzquierdaBajo,CentroIzquierdaBajo;Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Gol recibido,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Gol recibido,Parada,Gol recibido,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Gol recibido,Parada,Parada,Gol recibido,Parada,Gol recibido,Parada,Gol recibido,Gol recibido,Gol recibido;RightHand,RightHand,Head,LeftHand,Trunk,RightHand,LeftForearm,LeftHand,Trunk,LeftHand,LeftHand,LeftHand,RightHand,LeftHand,LeftHand,RightHand,LeftHand,No parada,LeftHand,RightHand,LeftHand,LeftHand,RightHand,LeftHand,No parada,No parada,No parada,No parada,RightHand,LeftHand,No parada,LeftHand,RightHand,RightHand,RightHand,Trunk,LeftHand,LeftHand,LeftHand,LeftHand,LeftHand,Trunk,No parada,RightHand,LeftForearm,LeftForearm,LeftHand,LeftHand,LeftHand,LeftHand,RightHand,No parada,RightHand,LeftHand,No parada,RightHand,LeftUpperarm,No parada,LeftHand,RightHand,LeftHand,LeftHand,No parada,LeftHand,No parada,LeftHand,LeftHand,LeftHand,No parada,RightHand,LeftHand,LeftHand,LeftHand,LeftHand,LeftHand,LeftHand,RightHand,RightHand,RightHand,Trunk,Head,LeftHand,LeftHand,RightHand,LeftHand,LeftHand,LeftHand,No parada,No parada,RightHand,RightUpperarm,No parada,Trunk,No parada,Head,No parada,No parada,No parada;0.012874,3.159172,6.20869,9.161854,11.972626,14.71716,17.290456,19.715465,22.024569,24.140328,25.937378,27.788726,29.528968,31.032525,32.327259,33.984347,35.334512,36.824283,38.437737,39.525948,40.432039,41.362721,42.281702,43.158438,44.593275,46.194001,47.627369,49.353923,51.082211,52.13934,53.363677,54.755482,56.094234,57.304539,58.321194,59.351519,60.798716,62.232553,63.207286,64.252616,65.239746,66.341786,67.371079,68.72149,70.084395,70.991086,72.131349,73.063813,74.107865,75.167415,76.252345,77.29627,78.602788,79.466958,80.38601,81.611258,82.627992,83.631923,84.841803,86.123756,87.069705,88.379167,89.271033,90.452251,91.33122,92.49967,93.599862,94.561012,95.591489,96.759409,97.998906,98.889623,99.794782,100.686103,101.882966,103.081576,103.959133,105.099143,106.241911,107.187116,108.259513,109.108945,109.958036,111.113995,112.004602,113.13318,113.968526,114.816861,116.125877,117.141753,118.158792,119.006352,120.160816,121.332092,122.36055,123.447532,124.574141,125.576194;1.849717,4.495585,7.2658,10.830456,13.126815,15.897939,18.25055,21.160489,23.109435,25.002912,26.924,29.33253,30.502208,31.922274,33.78781,35.138292,36.627808,38.229499,39.329497,40.234038,41.166428,42.085249,42.962491,44.396873,45.985915,47.418735,49.144933,50.885496,51.942547,53.167674,54.547174,55.89727,57.10812,58.123784,59.154182,60.601956,62.035969,63.010831,64.054823,65.043204,66.143441,67.173391,68.513016,69.888189,70.793533,71.934862,72.867276,73.911698,74.97077,76.056021,77.099877,78.3945,79.270379,80.189702,81.402763,82.432225,83.434411,84.634031,85.926822,86.873234,88.182445,89.073232,90.244048,91.133469,92.290532,93.403517,94.363377,95.394538,96.550878,97.80259,98.693441,99.598459,100.489475,101.686808,102.884033,103.761072,104.902772,106.044227,106.991531,108.063333,108.912356,109.761742,110.917344,111.808616,112.936408,113.771895,114.620445,115.916548,116.93329,117.96241,118.80933,119.953074,121.134689,122.1528,123.250337,124.3667,125.368822,126.35821

USER;GAME;DATE;TIME;LANZAMIENTOS_GENERADOS;PARADAS;GOLES;N_LUCES;TRACKING_FILE;MODE;LEVEL;K_HANDBALLADAPTED;IDEJERCICIO;GOLESOBJETIVO;TIEMPOOBJETIVO;TIPO_BOLA;ID_BOLA;PUNTO_INICIAL_BOLA;ID_PUNTO_INICIAL_BOLA;PUNTO_FINAL_BOLA;ID_PUNTO_FINAL_BOLA;PARADA_BOLA;MANO_PARADA;TIEMPO_DISPARO;TIEMPO_PARADA_O_GOL
11;HGTrainer;2025-03-10 21:57:01;60.18034;47;26;21;0;/storage/emulated/0/Android/data/com.RehabImmersive.HGTrainer/HGTrainer/11/TrackingData/OculusTracking_20250310_215701.csv;Default;PerTime;Handball;2;;60;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47;(8.27, 1.16, 5.05),(8.39, 1.16, -2.12),(4.79, 1.16, -1.49),(7.63, 1.16, -0.54),(7.46, 1.17, 3.54),(7.83, 1.17, -3.51),(8.36, 1.17, 2.05),(7.81, 1.16, 0.49),(7.86, 1.15, -3.49),(4.82, 1.17, -0.80),(4.72, 1.15, -1.96),(4.76, 1.15, -1.55),(7.69, 1.18, 3.87),(7.84, 1.17, -3.71),(7.68, 1.15, 0.64),(7.42, 1.15, -4.76),(7.48, 1.17, 0.00),(4.90, 1.16, -2.00),(4.99, 1.16, -0.50),(7.86, 1.17, -3.59),(8.22, 1.16, 1.79),(7.39, 1.17, 4.43),(8.15, 1.17, 1.98),(7.65, 1.16, -4.13),(4.69, 1.17, -2.22),(7.68, 1.17, -3.79),(4.84, 1.16, -0.14),(7.50, 1.15, 0.22),(7.56, 1.15, -0.42),(7.47, 1.15, -4.56),(4.70, 1.16, -0.11),(4.80, 1.16, -1.83),(7.55, 1.15, -4.54),(7.71, 1.17, 4.13),(8.14, 1.15, 2.08),(8.21, 1.16, -2.24),(7.54, 1.17, 0.07),(8.28, 1.17, 2.75),(7.32, 1.17, -4.36),(7.96, 1.15, -3.03),(7.50, 1.17, 0.41),(4.98, 1.17, -0.24),(4.72, 1.16, -0.84),(7.60, 1.17, -0.24),(7.39, 1.17, -4.69),(8.05, 1.15, -2.65),(7.76, 1.16, -0.32);LateralDerecho,LateralIzquierdo,Central,Pivote,LateralDerecho,LateralIzquierdo,LateralDerecho,Pivote,LateralIzquierdo,Central,Central,Central,LateralDerecho,LateralIzquierdo,Pivote,LateralIzquierdo,Pivote,Central,Central,LateralIzquierdo,LateralDerecho,LateralDerecho,LateralDerecho,LateralIzquierdo,Central,LateralIzquierdo,Central,Pivote,Pivote,LateralIzquierdo,Central,Central,LateralIzquierdo,LateralDerecho,LateralDerecho,LateralIzquierdo,Pivote,LateralDerecho,LateralIzquierdo,LateralIzquierdo,Pivote,Central,Central,Pivote,LateralIzquierdo,LateralIzquierdo,Pivote;(15.75, 1.78, -1.26),(15.75, 1.87, 1.28),(15.75, 1.84, -0.04),(15.75, 1.38, 0.70),(15.75, 1.83, 1.11),(15.75, 1.34, 0.58),(15.75, 1.93, -0.12),(15.75, 1.23, 0.70),(15.75, 1.76, 1.18),(15.75, 1.17, -0.42),(15.75, 1.21, -1.18),(15.75, 1.64, 0.73),(15.75, 1.74, -1.07),(15.75, 1.31, -0.51),(15.75, 1.86, -0.63),(15.75, 1.74, -0.10),(15.75, 1.19, -1.14),(15.75, 1.82, 1.25),(15.75, 1.87, -0.58),(15.75, 1.41, 0.13),(15.75, 1.69, -1.26),(15.75, 1.88, -0.65),(15.75, 1.69, 0.66),(15.75, 1.89, -1.14),(15.75, 1.68, -0.56),(15.75, 1.14, -0.61),(15.75, 1.67, -0.03),(15.75, 1.21, -0.44),(15.75, 1.85, -1.19),(15.75, 1.37, -0.43),(15.75, 1.75, 1.14),(15.75, 1.86, 1.33),(15.75, 1.66, -0.69),(15.75, 1.31, -0.55),(15.75, 1.76, 1.29),(15.75, 1.80, -1.19),(15.75, 1.86, -1.05),(15.75, 1.40, -1.03),(15.75, 1.36, -0.63),(15.75, 1.80, -0.46),(15.75, 1.72, 0.07),(15.75, 1.67, 0.06),(15.75, 1.15, 1.21),(15.75, 1.43, 0.65),(15.75, 1.24, -1.22),(15.75, 1.70, 0.54),(15.75, 1.65, -0.09);EscuadraIzquierda,EscuadraDerecha,Centro,CentroDerechaBajo,EscuadraDerecha,CentroDerechaBajo,Centro,CentroDerechaBajo,EscuadraDerecha,CentroIzquierdaBajo,BajoIzquierda,CentroDerecha,EscuadraIzquierda,CentroIzquierdaBajo,CentroIzquierda,Centro,BajoIzquierda,EscuadraDerecha,CentroIzquierda,CentroBajo,EscuadraIzquierda,CentroIzquierda,CentroDerecha,EscuadraIzquierda,CentroIzquierda,CentroIzquierdaBajo,Centro,CentroIzquierdaBajo,EscuadraIzquierda,CentroIzquierdaBajo,EscuadraDerecha,EscuadraDerecha,CentroIzquierda,CentroIzquierdaBajo,EscuadraDerecha,EscuadraIzquierda,EscuadraIzquierda,BajoIzquierda,CentroIzquierdaBajo,CentroIzquierda,Centro,Centro,BajoDerecha,CentroDerechaBajo,BajoIzquierda,CentroDerecha,Centro;Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Gol recibido,Parada,Parada,Gol recibido,Gol recibido,Parada,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Parada,Parada,Gol recibido,Gol recibido,Parada,Parada,Gol recibido,Parada,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Parada,Parada,Gol recibido,Parada,Gol recibido,Parada,Gol recibido;RightHand,RightHand,LeftHand,RightHand,No parada,LeftHand,RightHand,RightHand,RightHand,Trunk,LeftHand,RightHand,LeftHand,No parada,LeftHand,LeftHand,No parada,RightHand,LeftHand,No parada,No parada,RightHand,No parada,No parada,No parada,No parada,LeftHand,LeftUpperarm,No parada,No parada,RightHand,RightHand,No parada,Trunk,No parada,No parada,No parada,No parada,No parada,No parada,Head,Head,No parada,RightHand,No parada,Head,No parada;0.248368,2.468727,4.400451,5.40074,7.306536,8.310026,10.235351,11.930137,13.679691,15.487323,16.487012,17.486953,18.47413,20.207936,21.207873,22.723544,24.347035,25.346613,27.098592,28.763586,29.764222,30.763952,32.25059,33.249475,34.24922,35.249172,36.238961,37.821329,39.151949,40.151867,41.152477,42.681843,44.141563,45.141278,46.473088,47.471573,48.471834,49.47248,50.471693,51.471294,52.471431,53.638202,54.944379,55.944005,57.060844,58.057218,59.180449;1.468083,3.412737,5.900319,6.34475,8.5289,9.277718,10.983699,12.733684,14.553667,16.568312,17.568232,18.581364,19.303838,21.055985,21.832406,23.457443,25.083955,26.234386,27.888511,29.45795,30.415826,31.401522,32.889097,33.945848,35.181299,35.931172,37.012284,38.345692,39.750495,40.834648,41.900811,43.373939,44.751831,45.70853,46.971949,47.972297,49.000336,50.013674,51.082967,52.000593,52.92927,54.234609,55.681012,56.373658,57.610816,58.497603,59.63909

