Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
4070;0.3351728;15.1832;1.6888;0.1299;352.6315;275.7211;359.4890;True;True;0.4196;1.4049;-0.4488;333.0154;52.5327;345.1965;0.1670;0.0230;-0.0128;0.0000;True;True;-0.2194;1.4623;-0.4769;319.2283;293.0422;16.9526;-0.0228;0.0012;0.0195;0.0000;
4075;0.4225593;15.1835;1.6892;0.1298;352.4412;275.1606;359.3558;True;True;0.4210;1.4056;-0.4495;333.0880;52.8824;344.9916;-0.0066;-0.0050;-0.0030;0.0000;True;True;-0.2193;1.4631;-0.4765;319.5181;293.2915;16.9039;0.0214;0.0520;0.0706;0.0000;
4080;0.5018833;15.1831;1.6893;0.1287;352.2558;274.1574;359.4172;True;True;0.4205;1.4056;-0.4495;333.1888;52.7162;345.0062;-0.0616;-0.0271;0.0334;0.0000;True;True;-0.2181;1.4638;-0.4755;319.7715;294.3165;15.9783;0.0641;0.0253;0.0197;0.0000;
4085;0.5759878;15.1825;1.6893;0.1276;352.4377;272.8914;359.1721;True;True;0.4188;1.4053;-0.4481;333.2596;52.3346;345.1713;-0.0423;-0.0018;0.0733;0.0000;True;True;-0.2162;1.4650;-0.4752;319.5524;295.1125;15.4783;0.0579;0.0734;0.0037;0.0000;
4090;0.6480499;15.1811;1.6899;0.1263;352.6094;271.5443;359.1801;True;True;0.4186;1.4059;-0.4467;333.2749;52.5594;344.9376;-0.0012;0.0215;0.0829;0.0000;True;True;-0.2167;1.4661;-0.4748;319.4334;294.8086;15.4128;-0.0467;0.0558;0.0493;0.0000;
4095;0.7183276;15.1785;1.6899;0.1239;352.7258;269.6653;359.3208;True;True;0.4182;1.4064;-0.4435;333.0564;51.8218;345.1781;-0.0702;0.0703;0.0393;0.0000;True;True;-0.2174;1.4677;-0.4740;319.7215;294.7146;15.7507;-0.0027;0.0522;0.0236;0.0000;
4100;0.7887455;15.1748;1.6884;0.1192;352.8831;266.8211;359.6942;True;True;0.4105;1.4089;-0.4405;333.0590;50.9154;345.8149;-0.6796;0.1501;0.3013;0.0000;True;True;-0.2136;1.4714;-0.4758;318.0840;293.5922;15.2169;0.1959;0.1833;-0.2671;0.0000;
4105;0.8586451;15.1701;1.6817;0.1088;352.1162;263.9315;0.9824;True;True;0.3604;1.4280;-0.4328;328.0841;52.5259;350.1145;-3.6829;1.7277;0.7320;0.0000;True;True;-0.2010;1.4905;-0.4914;316.2332;281.2379;15.2418;1.3175;2.0938;-1.0172;0.0000;
4110;0.9280486;15.1687;1.6741;0.0793;352.0645;264.4178;1.0367;True;True;0.1889;1.5008;-0.3907;316.0790;20.9594;354.5508;-8.0372;2.9842;0.7906;0.0000;True;True;-0.1409;1.5989;-0.4973;298.8047;267.5504;43.1074;2.4760;4.4569;-0.3167;0.0000;
4115;0.9975203;15.1693;1.6686;0.0286;352.2920;262.4934;0.5179;True;True;0.0326;1.5533;-0.3639;310.2664;352.7772;7.0514;-4.7213;1.9666;1.6236;0.0000;True;True;-0.1542;1.6777;-0.4830;291.5042;250.6190;68.6726;-3.3978;2.3685;1.7310;0.0000;
