Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
14190;1.652618;14.6861;1.6745;1.0685;6.0720;321.0166;358.7397;True;True;1.3656;1.4964;-0.2625;322.8946;85.1613;1.7877;0.1194;1.0002;0.0714;0.0000;True;True;1.0070;1.6049;0.2769;315.8789;298.9558;41.2171;-3.0923;1.3222;-0.4684;0.0000;
14195;1.722772;14.6850;1.6800;1.0715;5.2700;327.4267;357.2785;True;True;1.3721;1.5169;-0.2713;313.6789;96.5460;2.1114;0.4467;0.6608;-0.5649;0.0000;True;True;0.9723;1.6356;0.2715;324.2484;308.0853;37.4555;0.4066;0.7935;-1.0632;0.0000;
14200;1.792106;14.6880;1.6776;1.0781;5.3019;330.2242;357.4913;True;True;1.3865;1.5268;-0.2861;314.4200;102.2134;356.8644;0.6003;0.2109;-0.6421;0.0000;True;True;0.9971;1.6375;0.2446;307.1251;291.8510;42.4903;1.1510;-0.1877;-0.7468;0.0000;
14205;1.861837;14.6966;1.6719;1.0907;5.2792;330.1877;357.3646;True;True;1.4037;1.5343;-0.3000;311.4616;106.2352;355.7065;0.8147;0.3332;-0.6872;0.0000;True;True;1.0331;1.6301;0.2097;302.5049;296.5153;37.1456;1.6404;-0.4701;-2.1707;0.0000;
14210;1.931357;14.7168;1.6649;1.1099;5.3884;329.7057;358.9152;True;True;1.4277;1.5467;-0.3254;309.1869;108.5732;351.5265;1.0691;0.6255;-1.2260;0.0000;True;True;1.0726;1.6188;0.1554;294.9355;285.5898;49.5777;1.5363;-0.3685;-1.9974;0.0000;
14215;2.001167;14.7505;1.6661;1.1423;4.4480;332.0008;359.2479;True;True;1.4628;1.5690;-0.3654;304.3341;113.8627;351.3188;1.7078;1.1353;-1.6410;0.0000;True;True;1.1200;1.6209;0.1063;290.6608;285.5381;50.4752;2.4384;0.4884;-1.8680;0.0000;
14220;2.070806;14.7882;1.6690;1.1800;5.2635;335.1924;0.4831;True;True;1.5104;1.6094;-0.4028;300.1899;116.1408;355.5867;2.0020;1.8520;-1.1907;0.0000;True;True;1.1855;1.6431;0.0572;287.2430;285.8229;46.1136;2.5783;1.2083;-2.3359;0.0000;
14225;2.14012;14.8252;1.6771;1.2169;5.3861;338.1140;1.4303;True;True;1.5485;1.6647;-0.4394;295.2107;120.5506;353.1465;1.1596;2.2735;-1.3866;0.0000;True;True;1.2479;1.6781;-0.0002;290.2250;271.0676;66.9816;2.4655;1.3607;-2.2298;0.0000;
14230;2.209801;14.8569;1.6862;1.2490;6.9221;339.2455;1.3932;True;True;1.5743;1.7117;-0.4759;289.4437;131.3630;346.9706;0.9781;1.5758;-1.6945;0.0000;True;True;1.3016;1.7096;-0.0453;292.6776;261.3650;77.8461;1.9474;1.1377;-1.3666;0.0000;
14235;2.279881;14.8832;1.6980;1.2779;5.9915;340.4879;0.7864;True;True;1.5911;1.7355;-0.5185;291.4053;137.3614;339.7874;0.4146;0.4908;-1.5114;0.0000;True;True;1.3359;1.7327;-0.0684;292.9344;275.0413;67.9762;1.1332;0.6399;-0.7319;0.0000;
14240;2.349235;14.9030;1.7010;1.3015;5.4626;340.7579;359.9845;True;True;1.6031;1.7364;-0.5510;290.8016;141.4263;339.9084;0.4396;-0.1249;-1.1652;0.0000;True;True;1.3640;1.7390;-0.0845;291.6768;280.2891;65.3052;1.0738;0.0262;-0.7610;0.0000;
14245;2.419937;14.9179;1.6979;1.3210;4.8678;339.1134;358.5461;True;True;1.6094;1.7262;-0.5712;290.7735;147.5213;334.7309;0.2009;-0.4694;-0.4955;0.0000;True;True;1.3854;1.7386;-0.1030;291.6228;270.1967;74.7350;0.7381;0.0747;-0.7353;0.0000;
14250;2.488936;14.9341;1.6955;1.3417;4.2922;338.0071;358.9724;True;True;1.6170;1.7117;-0.5856;289.6208;148.5969;330.9185;0.5181;-0.6765;-0.6309;0.0000;True;True;1.4015;1.7345;-0.1252;292.8634;269.1988;72.9174;0.5544;-0.4442;-1.2803;0.0000;
14255;2.559007;14.9532;1.6854;1.3620;3.7002;337.4236;359.6330;True;True;1.6326;1.6950;-0.5972;289.7836;144.5808;333.2885;0.4974;-0.6539;-0.5424;0.0000;True;True;1.4115;1.7163;-0.1624;295.1498;268.8394;77.0646;0.5579;-0.9012;-1.5385;0.0000;
14260;2.628581;14.9711;1.6842;1.3828;4.6141;337.4798;1.4105;True;True;1.6497;1.6798;-0.6026;288.9055;141.1071;334.8423;0.8966;-0.3882;-0.0994;0.0000;True;True;1.4266;1.6952;-0.1894;294.5832;269.1381;75.6864;0.5050;-0.6158;-0.8579;0.0000;
14265;2.69888;14.9849;1.6922;1.4012;4.6705;337.2045;0.9540;True;True;1.6716;1.6751;-0.6094;291.3937;130.6284;342.9466;0.8785;-0.0020;-0.2069;0.0000;True;True;1.4420;1.6884;-0.2044;292.8499;275.1437;72.3534;0.6598;0.0686;-0.3016;0.0000;
14270;2.768214;14.9947;1.6965;1.4112;5.0777;337.3159;1.0632;True;True;1.6861;1.6784;-0.6117;290.3333;130.6624;344.0603;0.4536;0.1950;0.0057;0.0000;True;True;1.4565;1.6968;-0.2064;292.3895;269.0371;73.6496;0.3812;0.3866;-0.0138;0.0000;
14275;2.838274;15.0009;1.7005;1.4202;4.1441;337.0487;1.1209;True;True;1.6982;1.6824;-0.6156;290.8943;129.2044;344.3096;0.5755;0.1271;-0.1735;0.0000;True;True;1.4644;1.7059;-0.2046;292.5094;273.7979;70.4667;0.3702;0.2632;-0.0047;0.0000;
14280;2.907901;15.0044;1.6996;1.4270;5.1309;336.2706;359.5987;True;True;1.7073;1.6817;-0.6164;292.6038;127.1916;346.0959;0.2128;-0.1178;-0.0126;0.0000;True;True;1.4723;1.7091;-0.2075;291.6330;269.5440;74.0077;0.2968;0.1481;-0.0972;0.0000;
14285;2.977419;15.0055;1.7011;1.4322;5.1306;336.5839;358.9746;True;True;1.7117;1.6777;-0.6172;293.3109;129.7659;344.0721;0.1536;-0.1827;0.0134;0.0000;True;True;1.4792;1.7125;-0.2105;291.2069;270.7882;74.6385;0.2828;0.1407;-0.1063;0.0000;
14290;3.047133;15.0045;1.7025;1.4352;4.6396;336.9521;358.9763;True;True;1.7160;1.6734;-0.6151;293.6609;128.6816;345.1249;0.2006;-0.1420;0.1416;0.0000;True;True;1.4879;1.7154;-0.2120;290.8779;266.4651;78.9484;0.3916;0.1019;-0.0438;0.0000;
14295;3.117146;15.0032;1.7027;1.4377;4.5439;336.3915;359.0961;True;True;1.7223;1.6710;-0.6112;294.8732;126.5843;346.0037;0.2403;-0.0981;0.2482;0.0000;True;True;1.4936;1.7160;-0.2134;290.2212;260.8362;83.2451;0.0539;-0.0041;-0.0430;0.0000;
14300;3.189185;15.0027;1.7036;1.4406;4.4300;335.6307;359.0750;True;True;1.7257;1.6687;-0.6052;293.5635;125.5821;347.7198;0.1280;-0.0571;0.1201;0.0000;True;True;1.4954;1.7149;-0.2145;290.0644;264.2841;81.1306;0.1153;-0.0717;-0.1153;0.0000;
14305;3.25609;15.0021;1.7041;1.4434;4.2781;335.2541;358.9833;True;True;1.7303;1.6685;-0.6024;295.8642;122.3497;348.6809;0.1353;0.0009;0.1942;0.0000;True;True;1.4961;1.7140;-0.2149;291.6761;254.5757;87.8446;-0.0620;0.0513;0.1241;0.0000;
14310;3.325433;14.9999;1.7038;1.4469;4.1985;334.6587;359.3216;True;True;1.7313;1.6685;-0.5976;293.7083;121.7844;349.8856;0.0934;0.0021;0.1336;0.0000;True;True;1.4954;1.7148;-0.2106;290.8576;264.4581;80.1312;0.0357;-0.0134;0.1558;0.0000;
14315;3.395033;14.9938;1.7025;1.4503;4.3418;333.6114;359.6214;True;True;1.7342;1.6689;-0.5912;294.2183;120.7700;350.4402;-0.0446;-0.0242;0.4113;0.0000;True;True;1.4959;1.7114;-0.2062;290.9753;258.4498;83.6699;-0.1096;-0.2182;0.2963;0.0000;
14320;3.464672;14.9791;1.6984;1.4517;3.1020;332.6587;359.8672;True;True;1.7305;1.6634;-0.5735;291.8141;124.2369;347.6826;-0.1113;-0.3689;0.8912;0.0000;True;True;1.4801;1.6999;-0.1867;292.3806;252.8686;85.0854;-1.0737;-0.7039;1.2752;0.0000;
14325;3.53439;14.9560;1.6853;1.4507;3.2885;333.4587;359.6514;True;True;1.7250;1.6457;-0.5462;292.2623;122.4199;349.3289;-0.3459;-0.9954;1.0620;0.0000;True;True;1.4510;1.6746;-0.1459;293.1874;262.9427;73.8330;-1.0242;-1.1775;1.8001;0.0000;
14330;3.604356;14.9373;1.6669;1.4480;3.4230;334.1551;359.5460;True;True;1.7078;1.6070;-0.5508;293.8933;134.6765;339.9545;-0.8330;-2.0369;-0.9379;0.0000;True;True;1.4358;1.6480;-0.0970;292.8520;266.3016;65.6787;-0.1156;-0.9965;1.7655;0.0000;
14335;3.674142;14.9293;1.6443;1.4601;3.7528;334.0059;356.5719;True;True;1.7021;1.5444;-0.5817;300.8298;149.1720;328.3872;0.4977;-2.3042;-1.1408;0.0000;True;True;1.4402;1.6255;-0.0581;293.4907;252.2455;74.4748;0.4148;-0.7873;1.6254;0.0000;
14340;3.743748;14.9333;1.6347;1.4875;5.6401;334.2402;357.4741;True;True;1.7335;1.4920;-0.5806;307.0845;150.1311;329.6808;1.7888;-1.8740;0.5955;0.0000;True;True;1.4448;1.6109;-0.0380;290.8046;276.3820;48.6009;-0.1199;-0.7023;0.1123;0.0000;
14345;3.813257;14.9525;1.6267;1.5207;7.2395;333.9477;356.6692;True;True;1.7886;1.4499;-0.5706;310.9051;145.0434;333.4725;2.1927;-1.5818;0.2932;0.0000;True;True;1.4496;1.5869;-0.0468;290.8599;279.4798;43.6370;0.4868;-1.0088;-0.6164;0.0000;
14350;3.883071;14.9775;1.6190;1.5596;6.7842;336.4871;356.4451;True;True;1.8394;1.4201;-0.5700;309.5828;141.3494;338.4916;1.9014;-1.1075;-0.5363;0.0000;True;True;1.4535;1.5639;-0.0628;288.9026;264.5065;52.2875;-0.0073;-0.7797;-0.4746;0.0000;
14355;3.952753;15.0011;1.6052;1.6005;6.9086;338.8532;356.7762;True;True;1.8957;1.3843;-0.5835;309.2390;146.4952;335.8268;2.8570;-1.5919;-0.7712;0.0000;True;True;1.4602;1.5369;-0.0701;290.7023;281.3742;33.9891;0.4439;-1.3406;-0.3355;0.0000;
14360;4.021924;15.0226;1.5866;1.6395;7.2011;339.7858;356.8637;True;True;1.9709;1.3403;-0.5985;316.0934;142.3131;340.4758;3.1269;-1.7620;-0.2657;0.0000;True;True;1.4725;1.5020;-0.0812;288.7006;290.6837;21.2936;0.3839;-1.4602;-0.4723;0.0000;
14365;4.091388;15.0427;1.5666;1.6743;7.5136;340.6892;356.6747;True;True;2.0539;1.2994;-0.6232;318.1299;146.5764;342.7077;3.2609;-1.2251;-1.1380;0.0000;True;True;1.4827;1.4679;-0.0905;285.9510;298.8556;8.1490;0.4105;-1.2274;-0.2563;0.0000;
14370;4.16032;15.0498;1.5496;1.6944;4.4355;336.6403;357.3280;True;True;2.1715;1.2767;-0.6588;314.8460;159.3929;337.5955;5.7158;-1.0264;-0.9229;0.0000;True;True;1.4867;1.4495;-0.0972;285.3747;318.2572;346.0260;0.0726;-0.3509;-0.3147;0.0000;
14375;4.229273;15.0398;1.5440;1.6937;3.4966;328.4080;357.9177;True;True;2.2855;1.2510;-0.6564;331.9008;130.9802;10.5046;1.1395;-0.6739;-0.1708;0.0000;True;True;1.4852;1.4550;-0.1042;281.9170;325.6496;337.7310;-0.3649;0.6317;-0.3624;0.0000;
14380;4.298972;15.0164;1.5569;1.6737;5.4064;326.7042;358.5349;True;True;2.2317;1.3001;-0.6453;324.4416;138.3979;0.3442;-3.3334;2.6274;-0.2834;0.0000;True;True;1.4663;1.4789;-0.1079;282.4418;294.3663;13.0812;-0.8917;1.0827;0.1998;0.0000;
14385;4.36872;14.9802;1.5839;1.6363;4.6031;326.5392;358.9054;True;True;2.1350;1.3544;-0.6337;321.3571;140.7573;347.9845;-4.4422;2.1616;0.6848;0.0000;True;True;1.4457;1.5111;-0.0892;284.8188;278.8506;31.0005;-0.7114;1.5253;1.2576;0.0000;
14390;4.43827;14.9401;1.6135;1.5892;5.2547;326.9506;358.0888;True;True;2.0285;1.4047;-0.6159;317.4994;139.6589;346.5333;-4.2334;2.1745;0.8239;0.0000;True;True;1.4444;1.5497;-0.0473;283.4147;292.0779;22.4112;0.3829;1.5140;1.7362;0.0000;
14395;4.507927;14.9018;1.6424;1.5419;7.3936;330.0662;356.6467;True;True;1.9353;1.4569;-0.5839;313.5747;131.6467;351.1257;-3.5488;2.0050;0.9928;0.0000;True;True;1.4496;1.5953;-0.0136;281.4298;274.4059;45.9164;0.0529;1.9038;1.1451;0.0000;
14400;4.577812;14.8664;1.6657;1.4985;6.9959;331.4971;355.6973;True;True;1.8665;1.5073;-0.5461;313.3932;128.7363;347.8552;-2.3602;1.9357;1.9045;0.0000;True;True;1.4571;1.6379;0.0115;282.6362;272.2631;55.5789;0.3374;1.5136;0.6797;0.0000;
14405;4.647482;14.8407;1.6825;1.4640;6.8285;333.1810;355.6769;True;True;1.8127;1.5516;-0.5142;308.6237;127.6665;351.0323;-1.9819;1.6959;0.9137;0.0000;True;True;1.4600;1.6696;0.0191;284.5385;265.4570;68.9521;0.0567;1.1588;0.1684;0.0000;
14410;4.717822;14.8254;1.6921;1.4411;6.3263;335.7463;356.5787;True;True;1.7712;1.5902;-0.5024;302.9759;134.4002;344.0933;-1.3402;1.3124;0.2089;0.0000;True;True;1.4689;1.6873;0.0160;285.1303;258.9415;79.3921;0.4602;0.4809;-0.1618;0.0000;
14415;4.787128;14.8223;1.6960;1.4300;5.0674;337.5141;357.0720;True;True;1.7513;1.6140;-0.5020;301.7127;133.3985;344.3915;-0.6016;0.7790;-0.1915;0.0000;True;True;1.4809;1.6955;0.0084;285.4835;269.0270;72.8235;0.6071;0.0980;-0.5281;0.0000;
14420;4.857605;14.8305;1.6948;1.4277;4.7168;339.0981;357.7762;True;True;1.7401;1.6279;-0.5086;297.3708;139.7607;340.8735;-0.1539;0.4621;-0.4169;0.0000;True;True;1.4978;1.6939;-0.0082;286.0809;267.2243;75.6496;0.6628;-0.1457;-0.7002;0.0000;
14425;4.92801;14.8454;1.6929;1.4318;4.2438;338.7876;358.9792;True;True;1.7453;1.6369;-0.5201;298.7542;137.9566;339.3875;0.4002;0.2573;-0.2999;0.0000;True;True;1.5113;1.6904;-0.0279;285.3245;273.1224;70.7831;0.4059;-0.1235;-0.8349;0.0000;
14430;4.997898;14.8653;1.6915;1.4405;3.8889;336.9663;0.1543;True;True;1.7585;1.6431;-0.5267;294.8818;137.2014;340.7233;0.7255;0.2423;-0.4027;0.0000;True;True;1.5225;1.6872;-0.0501;286.2846;270.0301;71.8590;0.5354;-0.1104;-0.9163;0.0000;
14435;5.067051;14.8885;1.6973;1.4531;4.6574;335.7903;1.1243;True;True;1.7805;1.6483;-0.5374;295.7419;130.1482;346.6845;0.8802;0.1749;-0.3575;0.0000;True;True;1.5348;1.6865;-0.0708;287.0037;269.0368;70.5867;0.4474;0.0517;-0.7420;0.0000;
14440;5.137368;14.9093;1.7065;1.4669;3.3936;336.0328;1.4518;True;True;1.7978;1.6565;-0.5525;296.8737;129.2401;346.9791;0.5802;0.3529;-0.5705;0.0000;True;True;1.5501;1.6899;-0.0885;287.5007;281.4174;59.4588;0.6884;0.1037;-0.7107;0.0000;
14445;5.206078;14.9250;1.7108;1.4779;3.6329;336.4731;2.3954;True;True;1.8086;1.6650;-0.5622;295.9383;127.5003;348.0277;0.2209;0.2902;-0.3397;0.0000;True;True;1.5645;1.6911;-0.1093;287.8451;276.3010;63.4771;0.4855;0.0203;-0.8067;0.0000;
14450;5.275258;14.9340;1.7129;1.4858;3.6850;336.0063;2.0342;True;True;1.8123;1.6700;-0.5666;295.5795;128.5664;346.3813;0.0907;0.1227;-0.1039;0.0000;True;True;1.5752;1.6934;-0.1227;287.5343;281.0708;60.9431;0.3668;0.1237;-0.4125;0.0000;
14455;5.34465;14.9367;1.7118;1.4889;3.6986;335.9800;1.0005;True;True;1.8115;1.6702;-0.5661;295.5758;130.5036;345.7249;-0.1308;-0.0642;0.0803;0.0000;True;True;1.5805;1.6985;-0.1284;288.2112;275.6530;67.0510;0.1649;0.2818;-0.0453;0.0000;
14460;5.414243;14.9348;1.7122;1.4885;3.9797;336.5177;0.2658;True;True;1.8067;1.6680;-0.5641;296.5851;131.9193;343.2517;-0.2418;-0.1346;0.1361;0.0000;True;True;1.5837;1.7069;-0.1247;288.2534;280.3191;63.8733;0.1058;0.3250;0.2173;0.0000;
14465;5.484451;14.9309;1.7145;1.4876;3.1169;336.2072;0.3618;True;True;1.8018;1.6646;-0.5578;295.9029;132.8255;342.8527;-0.1420;-0.1151;0.2739;0.0000;True;True;1.5841;1.7122;-0.1207;288.0880;277.7165;66.2140;-0.0543;0.1456;0.0938;0.0000;
14470;5.554209;14.9279;1.7149;1.4877;3.1229;335.3602;359.9583;True;True;1.8029;1.6638;-0.5550;296.2114;129.5835;345.2703;0.1102;-0.0023;-0.0054;0.0000;True;True;1.5824;1.7156;-0.1183;288.3926;274.1093;69.0595;-0.0500;0.1384;0.0907;0.0000;
14475;5.62358;14.9262;1.7152;1.4897;2.9908;335.4269;359.8403;True;True;1.8051;1.6640;-0.5557;296.0235;132.5985;343.4270;0.1293;0.0175;-0.0035;0.0000;True;True;1.5813;1.7168;-0.1172;288.0744;275.3087;68.9225;0.0098;-0.0169;0.0403;0.0000;
14480;5.693041;14.9248;1.7143;1.4919;3.4086;335.9660;359.9806;True;True;1.8071;1.6647;-0.5572;296.1423;133.6734;342.8478;0.0719;0.0194;-0.0355;0.0000;True;True;1.5834;1.7170;-0.1154;288.2635;273.3257;70.1115;0.1256;-0.0255;0.0770;0.0000;
14485;5.762653;14.9238;1.7137;1.4935;3.5903;335.9835;0.2290;True;True;1.8093;1.6658;-0.5567;296.5965;132.0036;344.3448;0.0154;0.0285;0.0422;0.0000;True;True;1.5860;1.7152;-0.1128;288.1826;275.6907;68.1409;0.0792;-0.1235;0.0954;0.0000;
