Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
5445;0.3289564;14.9726;1.7291;1.3538;350.8022;357.1944;357.0855;True;True;1.6679;1.3025;-0.7158;1.6333;102.7591;20.7666;1.0778;-0.7447;-2.2002;0.0000;True;True;1.5552;1.3423;-0.1784;356.4354;82.6458;46.6400;0.2106;-0.2390;0.1415;0.0000;
5450;0.4205571;14.9719;1.7276;1.3608;350.6933;356.8047;357.7734;True;True;1.6897;1.2806;-0.7770;355.2846;107.4221;37.8738;0.7518;-1.0634;-2.5095;0.0000;True;True;1.5620;1.3356;-0.1743;357.5727;82.3898;44.7623;0.2279;-0.1882;0.1856;0.0000;
5455;0.5001942;14.9759;1.7255;1.3698;349.8700;355.9683;358.1409;True;True;1.6994;1.2610;-0.8329;350.3080;106.9398;55.9558;0.3156;-0.7457;-2.1666;0.0000;True;True;1.5672;1.3326;-0.1728;357.2871;80.5854;45.0183;0.1869;-0.0635;-0.0420;0.0000;
5460;0.5759479;14.9824;1.7221;1.3801;350.0168;353.6961;359.0788;True;True;1.7065;1.2547;-0.8644;0.0054;111.3574;43.6647;0.1284;-0.1092;-0.1228;0.0000;True;True;1.5715;1.3293;-0.1756;355.3155;78.6324;44.5247;0.2064;-0.2148;-0.1020;0.0000;
5465;0.6473728;14.9866;1.7227;1.3940;350.8339;348.9960;359.7956;True;True;1.7126;1.2570;-0.8386;4.9247;101.7807;42.2581;0.3669;0.2995;1.1481;0.0000;True;True;1.5785;1.3219;-0.1794;356.9590;74.1522;47.6808;0.2668;-0.2368;-0.2874;0.0000;
5470;0.7183313;14.9923;1.7191;1.4084;352.0466;344.9489;0.4654;True;True;1.7216;1.2683;-0.8052;9.6294;95.2652;27.8286;0.3110;0.4584;1.5302;0.0000;True;True;1.5845;1.3199;-0.1927;355.6664;72.4882;49.2027;0.3175;-0.0738;-0.6355;0.0000;
5475;0.7886833;14.9999;1.7165;1.4213;352.4712;342.2810;1.0780;True;True;1.7304;1.2731;-0.7632;13.2409;86.8367;20.8080;0.3480;0.0228;1.6267;0.0000;True;True;1.5989;1.3144;-0.2038;356.2040;71.2030;47.1525;0.5797;-0.2306;-0.3866;0.0000;
5480;0.8585349;15.0063;1.7171;1.4332;352.9588;340.4204;1.3162;True;True;1.7363;1.2760;-0.7168;15.0042;79.9983;20.1374;0.1244;0.2456;1.9148;0.0000;True;True;1.6150;1.3110;-0.2118;358.2788;69.8861;50.4578;0.5983;-0.0604;-0.4203;0.0000;
5485;0.9280804;15.0088;1.7186;1.4434;353.1106;337.8098;1.8104;True;True;1.7450;1.2862;-0.6802;14.1887;74.1592;15.9562;0.2802;0.5459;1.4542;0.0000;True;True;1.6279;1.3124;-0.2221;359.7441;70.2178;48.8676;0.4859;0.0706;-0.3486;0.0000;
5490;0.9976802;15.0062;1.7152;1.4511;353.9515;335.1024;2.1054;True;True;1.7527;1.2961;-0.6482;13.2000;68.0884;13.9460;0.3354;0.2613;1.2632;0.0000;True;True;1.6346;1.3158;-0.2211;0.2285;70.5976;47.0563;0.1767;0.1425;0.2957;0.0000;
5495;1.067424;14.9984;1.7125;1.4562;354.7249;333.1935;1.5367;True;True;1.7594;1.3057;-0.6220;9.8537;66.2882;15.9180;0.2840;0.3481;0.9919;0.0000;True;True;1.6341;1.3201;-0.2058;359.6142;67.8299;44.1177;-0.1118;0.1033;0.8240;0.0000;
5500;1.136855;14.9868;1.7119;1.4586;355.2993;332.0451;1.0975;True;True;1.7649;1.3108;-0.5971;9.5735;64.8818;15.0194;0.1462;0.3389;0.9992;0.0000;True;True;1.6337;1.3225;-0.1816;0.8660;66.4760;44.1481;-0.0864;0.1761;0.9984;0.0000;
5505;1.206756;14.9730;1.7144;1.4602;355.6522;331.3545;0.5651;True;True;1.7659;1.3135;-0.5747;7.4744;65.6228;13.1497;-0.0436;-0.0723;0.9015;0.0000;True;True;1.6338;1.3277;-0.1552;2.2208;64.6832;40.4316;0.0442;0.2504;1.0885;0.0000;
5510;1.276283;14.9602;1.7135;1.4608;355.9977;331.0731;0.5612;True;True;1.7552;1.3118;-0.5480;6.8905;62.4515;13.3352;-0.5110;-0.1326;1.0609;0.0000;True;True;1.6326;1.3376;-0.1301;0.7064;62.6360;35.9049;0.0162;0.4481;0.8555;0.0000;
5515;1.345765;14.9501;1.7105;1.4621;356.9016;331.5959;359.9766;True;True;1.7515;1.3130;-0.5292;3.6048;63.8609;15.9666;0.0791;0.2743;0.6023;0.0000;True;True;1.6310;1.3478;-0.1101;358.7204;60.9972;31.5820;-0.1020;0.3659;0.7491;0.0000;
5520;1.415421;14.9436;1.7071;1.4654;358.2013;332.3715;359.3065;True;True;1.7514;1.3183;-0.5146;344.7461;74.7004;30.3697;0.1446;-0.0126;0.5689;0.0000;True;True;1.6269;1.3527;-0.0933;357.7117;58.6206;31.5866;-0.1304;0.0387;0.6429;0.0000;
5525;1.484906;14.9402;1.7044;1.4745;358.8803;333.9096;358.5038;True;True;1.7560;1.3168;-0.5088;334.2833;88.0541;28.7568;0.1016;-0.2674;0.3747;0.0000;True;True;1.6220;1.3483;-0.0798;358.7791;57.1961;31.9206;-0.2495;-0.2777;0.4972;0.0000;
