Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
46464;0.01527662;14.7956;1.6369;0.0012;20.1171;88.9150;356.1167;True;True;-0.1190;1.1881;-0.4751;12.9021;194.1247;2.6079;-23.8046;237.6179;-95.0214;0.0000;True;True;0.1880;1.2455;-0.4721;357.7943;171.2618;23.0546;37.6059;249.0943;-94.4281;0.0000;
46466;0.04188631;14.7974;1.6369;0.0016;20.1721;89.0114;356.2604;True;True;-0.1192;1.1879;-0.4784;13.3412;194.2033;2.3721;-0.0145;-0.0101;-0.3234;0.0000;True;True;0.1892;1.2452;-0.4749;358.1934;171.1400;23.5713;0.1113;-0.0323;-0.2716;0.0000;
46468;0.06993724;14.7992;1.6371;0.0019;20.2687;89.1387;356.4251;True;True;-0.1191;1.1888;-0.4811;13.6419;194.2668;2.3393;0.0131;0.1363;-0.2407;0.0000;True;True;0.1902;1.2455;-0.4769;358.6060;170.6673;23.8601;0.0965;0.0454;-0.1724;0.0000;
46470;0.09767209;14.8011;1.6372;0.0025;20.3793;89.1937;356.4180;True;True;-0.1189;1.1906;-0.4830;13.2966;194.3604;2.1953;0.0405;0.1703;-0.1827;0.0000;True;True;0.1908;1.2463;-0.4784;358.3766;170.5438;24.0813;0.0520;0.0813;-0.1420;0.0000;
46472;0.1255927;14.8027;1.6373;0.0026;20.5251;89.2574;356.4216;True;True;-0.1180;1.1922;-0.4850;13.0283;194.1338;2.2116;0.1045;0.1643;-0.2037;0.0000;True;True;0.1913;1.2468;-0.4801;358.1978;170.5831;24.0967;0.0473;0.0532;-0.1884;0.0000;
46474;0.1531348;14.8043;1.6375;0.0023;20.3650;89.5289;356.5125;True;True;-0.1171;1.1936;-0.4870;12.7447;193.7671;2.3643;0.0730;0.1338;-0.1945;0.0000;True;True;0.1915;1.2475;-0.4818;358.1642;170.5036;23.9587;0.0213;0.0687;-0.1569;0.0000;
46476;0.1806958;14.8059;1.6376;0.0013;19.9781;90.1970;356.7144;True;True;-0.1167;1.1944;-0.4890;12.4360;193.5602;2.4435;0.0279;0.0504;-0.2111;0.0000;True;True;0.1916;1.2477;-0.4835;357.9044;170.6821;24.0361;-0.0028;-0.0005;-0.1843;0.0000;
46478;0.2091276;14.8075;1.6370;-0.0008;19.4466;91.4638;357.0917;True;True;-0.1166;1.1939;-0.4913;12.3077;193.6008;2.6199;0.0011;-0.0805;-0.2251;0.0000;True;True;0.1915;1.2477;-0.4855;357.6224;170.9335;23.9200;-0.0079;-0.0130;-0.2171;0.0000;
46480;0.2363121;14.8084;1.6349;-0.0044;18.9096;94.1421;357.7545;True;True;-0.1180;1.1918;-0.4934;12.3340;193.8841;3.0404;-0.2177;-0.2973;-0.1852;0.0000;True;True;0.1913;1.2471;-0.4885;357.2067;171.2686;24.0659;-0.0265;-0.0715;-0.3418;0.0000;
46482;0.2644431;14.8090;1.6325;-0.0085;19.1364;97.5324;358.2516;True;True;-0.1212;1.1874;-0.4950;12.4175;195.1331;3.9924;-0.3617;-0.4682;-0.1547;0.0000;True;True;0.1906;1.2458;-0.4934;357.0795;171.6741;24.6247;-0.0929;-0.1579;-0.5391;0.0000;
46484;0.2924682;14.8109;1.6295;-0.0127;19.1861;100.7218;358.0964;True;True;-0.1268;1.1815;-0.4962;12.9100;196.9153;4.8222;-0.6881;-0.6426;-0.1151;0.0000;True;True;0.1887;1.2431;-0.5000;356.7724;172.5468;26.1737;-0.2464;-0.3226;-0.7443;0.0000;
46486;0.3207203;14.8144;1.6249;-0.0173;18.8745;103.3846;357.3540;True;True;-0.1374;1.1748;-0.4974;12.6895;200.1263;5.6862;-1.1486;-0.7161;-0.1285;0.0000;True;True;0.1838;1.2383;-0.5097;356.8936;174.1971;27.8256;-0.5770;-0.5151;-1.0327;0.0000;
46488;0.3482205;14.8204;1.6181;-0.0227;18.1344;105.6570;356.2253;True;True;-0.1522;1.1662;-0.5026;13.3809;200.9545;6.0269;-1.5316;-0.8807;-0.6666;0.0000;True;True;0.1759;1.2319;-0.5201;357.2682;176.3475;27.2318;-0.8371;-0.6883;-1.0297;0.0000;
46490;0.3757958;14.8293;1.6117;-0.0299;17.7750;107.6750;355.5040;True;True;-0.1761;1.1571;-0.5134;13.8478;203.5172;6.6962;-2.5311;-1.0456;-1.2779;0.0000;True;True;0.1673;1.2238;-0.5301;356.5155;178.8805;25.1515;-0.8215;-0.8628;-0.9768;0.0000;
46492;0.4037725;14.8418;1.6039;-0.0402;17.1151;109.2156;355.7519;True;True;-0.2095;1.1463;-0.5370;16.8656;206.2191;4.8493;-3.3893;-1.0901;-2.5723;0.0000;True;True;0.1601;1.2131;-0.5388;355.4167;178.9338;21.0602;-0.7167;-1.1561;-0.8712;0.0000;
46494;0.4318452;14.8570;1.5951;-0.0535;16.8474;110.1899;356.3493;True;True;-0.2478;1.1353;-0.5732;19.7174;209.9808;7.0929;-3.9387;-1.0700;-3.8962;0.0000;True;True;0.1537;1.1992;-0.5480;356.7635;178.4059;18.2127;-0.6095;-1.4609;-0.9082;0.0000;
46496;0.459347;14.8751;1.5860;-0.0698;16.8711;110.5435;355.8294;True;True;-0.2898;1.1286;-0.6189;20.8968;208.7912;7.8630;-4.3404;-0.7522;-4.7278;0.0000;True;True;0.1492;1.1846;-0.5539;1.5347;178.0442;18.3290;-0.3933;-1.4501;-0.4246;0.0000;
46498;0.4874686;14.8956;1.5768;-0.0907;17.6218;110.6693;356.1095;True;True;-0.3394;1.1228;-0.6742;19.1152;212.1328;15.1699;-5.1646;-0.5803;-5.7687;0.0000;True;True;0.1457;1.1707;-0.5532;4.5452;177.7312;20.1486;-0.3454;-1.3768;0.2104;0.0000;
46500;0.5150899;14.9209;1.5687;-0.1158;17.7609;110.2402;355.6751;True;True;-0.3966;1.1139;-0.7365;17.1029;218.5637;20.6613;-5.8035;-1.1376;-6.3761;0.0000;True;True;0.1425;1.1547;-0.5483;6.1367;177.1027;20.5986;-0.3246;-1.6983;0.5396;0.0000;
46502;0.5429794;14.9501;1.5603;-0.1443;16.8257;109.6462;354.5719;True;True;-0.4519;1.0955;-0.8084;26.0375;220.8662;17.5671;-5.3875;-2.0254;-7.4128;0.0000;True;True;0.1390;1.1342;-0.5412;9.1453;175.4925;19.1677;-0.3677;-2.1348;0.7458;0.0000;
46504;0.5708725;14.9796;1.5501;-0.1744;16.1677;109.5045;355.1311;True;True;-0.4993;1.0743;-0.8837;37.9517;217.6779;17.3119;-4.6385;-1.8863;-7.4189;0.0000;True;True;0.1348;1.1105;-0.5319;14.2775;172.2504;16.0098;-0.4377;-2.4277;1.0110;0.0000;
46506;0.5993155;15.0104;1.5362;-0.2056;15.2153;109.2739;355.1661;True;True;-0.5552;1.0700;-0.9508;34.6622;221.7145;25.2688;-5.9523;-0.2144;-6.4407;0.0000;True;True;0.1298;1.0877;-0.5191;19.8946;166.5880;11.0534;-0.5731;-2.2112;1.4641;0.0000;
46508;0.6266037;15.0395;1.5187;-0.2364;14.0948;108.9040;355.4422;True;True;-0.6093;1.0594;-1.0100;26.9570;231.7180;30.2756;-5.1318;-1.3175;-5.9728;0.0000;True;True;0.1215;1.0688;-0.5014;24.0718;160.4899;6.2455;-0.8574;-1.8075;1.7698;0.0000;
46510;0.6544697;15.0670;1.4978;-0.2660;12.6956;108.4910;356.1066;True;True;-0.6511;1.0436;-1.0614;33.4903;230.5404;26.2006;-3.8833;-1.6289;-4.7896;0.0000;True;True;0.1102;1.0507;-0.4823;26.2204;157.0967;6.0041;-1.1915;-1.8388;1.8478;0.0000;
46512;0.6824625;15.0910;1.4733;-0.2930;11.8197;107.9724;357.8168;True;True;-0.6843;1.0277;-1.1014;38.6955;229.4100;25.7887;-3.1566;-1.6426;-3.9377;0.0000;True;True;0.0947;1.0326;-0.4656;28.0572;153.4315;4.1479;-1.6609;-1.8031;1.6006;0.0000;
46514;0.7104579;15.1153;1.4498;-0.3166;10.1614;107.0982;358.8920;True;True;-0.7076;1.0131;-1.1330;39.3861;233.3849;30.2625;-2.0611;-1.4192;-2.7184;0.0000;True;True;0.0781;1.0131;-0.4530;29.2036;151.0692;1.7787;-1.6175;-2.0145;1.1236;0.0000;
46516;0.7375603;15.1347;1.4265;-0.3379;9.1740;106.0058;359.7224;True;True;-0.7200;1.0034;-1.1564;36.4953;237.0630;40.6757;-1.2906;-0.7561;-2.4530;0.0000;True;True;0.0635;0.9929;-0.4475;30.6169;147.8766;1.1651;-1.4349;-2.0387;0.3538;0.0000;
