Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;
1945;0.2839841;14.5911;1.6713;-0.0589;353.7105;266.2962;0.4579;True;True;0.2769;1.4945;0.1007;313.5684;69.8894;330.1120;55.3804;298.9097;20.1316;0.0000;True;True;-0.4328;1.5055;0.0597;309.8498;285.8342;25.0198;-86.5615;301.1079;11.9338;0.0000;
1950;0.3806918;14.5892;1.6709;-0.0604;354.1078;265.5082;0.4251;True;True;0.2756;1.4965;0.0995;313.3218;69.6522;329.3907;-0.0446;0.0017;-0.0354;0.0000;True;True;-0.4257;1.5083;0.0665;307.7821;288.1044;22.5972;0.2253;0.0973;0.1498;0.0000;
1955;0.4538543;14.5880;1.6707;-0.0609;354.2652;265.2738;0.4628;True;True;0.2746;1.4959;0.0994;312.8980;69.6368;329.4252;-0.0543;-0.0405;0.0080;0.0000;True;True;-0.4237;1.5101;0.0677;308.2804;287.1628;25.4994;0.0052;0.0658;0.0270;0.0000;
1960;0.5311412;14.5861;1.6706;-0.0601;354.5104;265.6171;0.4467;True;True;0.2750;1.4948;0.1005;313.3589;69.9141;330.0737;0.0548;-0.1051;0.0470;0.0000;True;True;-0.4221;1.5112;0.0695;308.0066;287.2888;25.1329;0.0168;0.0177;0.0137;0.0000;
1965;0.6042815;14.5837;1.6697;-0.0580;354.8988;266.1917;0.1874;True;True;0.2744;1.4945;0.1008;312.9870;70.1243;330.5276;-0.0140;-0.0225;-0.0256;0.0000;True;True;-0.4227;1.5116;0.0706;307.7544;287.0707;24.9461;-0.0491;0.0180;0.0136;0.0000;
1970;0.6755346;14.5798;1.6678;-0.0530;355.7579;268.0976;359.6085;True;True;0.2712;1.4911;0.0995;313.9124;69.3898;329.3546;-0.3243;-0.2328;0.0227;0.0000;True;True;-0.4226;1.5124;0.0699;308.4204;286.2317;25.3362;0.0645;0.0387;-0.1095;0.0000;
1975;0.7463747;14.5741;1.6623;-0.0468;356.4343;268.7285;359.2057;True;True;0.2188;1.4780;0.1067;314.5346;67.6008;331.3970;-4.2712;-0.4091;0.8369;0.0000;True;True;-0.3918;1.5136;0.0659;312.0010;280.5923;27.4802;2.2365;0.3447;0.0125;0.0000;
1980;0.8164144;14.5697;1.6531;-0.0344;357.3747;268.4914;359.8338;True;True;0.0788;1.4780;0.1509;306.0499;32.8954;351.8430;-5.0137;-0.3987;1.1161;0.0000;True;True;-0.3024;1.5167;0.0649;307.2844;287.0764;37.2854;3.8656;-0.1317;-0.1093;0.0000;
1985;0.8857945;14.5676;1.6479;-0.0227;359.6317;268.3009;358.6967;True;True;0.0232;1.4677;0.1973;301.6419;12.1527;9.7986;0.0695;-0.2012;1.8501;0.0000;True;True;-0.2360;1.5152;0.0680;303.2680;299.8594;33.1361;1.7030;-0.0827;-0.0667;0.0000;
1990;0.9550767;14.5580;1.6471;-0.0105;358.3317;268.3204;358.9571;True;True;0.0423;1.4494;0.2808;304.3679;26.3809;358.3574;1.0938;-0.9602;3.9632;0.0000;True;True;-0.2132;1.5001;0.0625;310.7708;315.5967;36.0776;0.6788;-0.7278;-0.1561;0.0000;
