Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
13512;0.02848157;14.3790;1.6527;-0.0285;8.8884;94.5527;0.4232;True;True;-0.3129;1.3628;-0.0230;343.0055;223.9909;339.3644;-0.1387;0.1236;-0.0669;0.0000;True;True;0.3110;1.4247;0.0525;323.7952;108.8158;33.1904;0.0078;0.0859;-0.0326;0.0000;
13514;0.0559135;14.3793;1.6528;-0.0285;8.8785;94.3117;0.3403;True;True;-0.3135;1.3633;-0.0235;342.8905;223.9564;339.5102;-0.0546;0.0335;-0.0370;0.0000;True;True;0.3105;1.4253;0.0523;323.5692;108.6332;32.7682;-0.0641;0.0226;-0.0077;0.0000;
13516;0.08363475;14.3796;1.6528;-0.0287;8.8282;94.1838;0.3341;True;True;-0.3142;1.3638;-0.0238;342.9297;223.9911;339.4379;-0.0673;0.0506;-0.0309;0.0000;True;True;0.3096;1.4267;0.0522;322.8581;108.3932;32.5141;-0.0997;0.1481;0.0040;0.0000;
13518;0.1115561;14.3800;1.6529;-0.0287;8.7836;94.0053;0.2824;True;True;-0.3151;1.3644;-0.0244;342.9309;224.1841;339.2877;-0.0721;0.0737;-0.0476;0.0000;True;True;0.3091;1.4275;0.0525;322.3476;108.1427;32.6153;-0.0428;0.0758;0.0365;0.0000;
13520;0.1394017;14.3804;1.6528;-0.0288;8.8349;93.8726;0.1926;True;True;-0.3153;1.3648;-0.0248;342.8126;224.3261;339.2070;-0.0057;0.0261;-0.0547;0.0000;True;True;0.3090;1.4280;0.0525;322.3341;108.0186;32.7607;-0.0101;0.0453;-0.0088;0.0000;
13522;0.1671227;14.3809;1.6526;-0.0289;8.8042;93.7770;0.1518;True;True;-0.3150;1.3648;-0.0257;342.8630;224.2786;339.0706;0.0429;0.0104;-0.1088;0.0000;True;True;0.3087;1.4284;0.0527;322.4580;108.0702;33.0400;-0.0372;0.0523;0.0361;0.0000;
13524;0.1950942;14.3817;1.6521;-0.0288;8.6798;93.5408;0.1197;True;True;-0.3129;1.3649;-0.0277;343.0334;223.9513;338.6935;0.2440;-0.0104;-0.2006;0.0000;True;True;0.3083;1.4285;0.0524;322.5130;108.0153;33.6560;-0.0343;-0.0013;-0.0688;0.0000;
13526;0.2226852;14.3818;1.6502;-0.0283;8.3968;93.1459;0.1213;True;True;-0.3086;1.3653;-0.0301;342.6029;222.8726;340.1554;0.4844;0.0787;-0.2363;0.0000;True;True;0.3074;1.4289;0.0506;322.4710;107.9169;33.1893;-0.1478;0.0717;-0.2773;0.0000;
13528;0.2506038;14.3810;1.6468;-0.0275;8.3220;92.7614;0.2464;True;True;-0.3043;1.3663;-0.0317;340.8411;221.4135;342.5812;0.3918;0.0973;-0.1498;0.0000;True;True;0.3060;1.4301;0.0479;322.0184;108.7520;33.1345;-0.1141;0.1294;-0.2578;0.0000;
13530;0.2785003;14.3803;1.6455;-0.0255;9.1693;92.8483;359.8105;True;True;-0.2997;1.3661;-0.0343;338.2793;221.1584;345.9480;0.4904;-0.0663;-0.3224;0.0000;True;True;0.3046;1.4335;0.0432;320.3802;109.8926;33.3943;-0.1579;0.4231;-0.5300;0.0000;
13532;0.3064098;14.3812;1.6447;-0.0210;8.9322;93.1331;359.6822;True;True;-0.2933;1.3622;-0.0409;336.3145;220.0636;351.2852;0.6795;-0.4753;-0.7804;0.0000;True;True;0.3040;1.4392;0.0366;318.4109;111.6202;31.2331;-0.0383;0.6077;-0.6702;0.0000;
13534;0.3344816;14.3810;1.6433;-0.0140;8.9338;92.4332;359.4282;True;True;-0.2847;1.3531;-0.0529;338.0391;217.0656;355.1495;1.0047;-1.0352;-1.3256;0.0000;True;True;0.3039;1.4451;0.0319;319.2548;114.1816;29.1885;0.0000;0.5410;-0.3616;0.0000;
13536;0.3620281;14.3802;1.6397;-0.0056;9.4810;91.2527;359.4812;True;True;-0.2697;1.3386;-0.0679;344.2976;211.4559;359.3235;1.7074;-1.5334;-1.4868;0.0000;True;True;0.3039;1.4455;0.0333;322.0984;120.3284;30.3812;0.0203;-0.1611;0.2880;0.0000;
13538;0.3897624;14.3800;1.6350;0.0037;10.2145;90.3898;359.0163;True;True;-0.2464;1.3201;-0.0789;351.3043;204.7908;2.1306;2.5420;-1.9393;-0.9914;0.0000;True;True;0.3036;1.4373;0.0364;323.9239;124.6749;32.2040;-0.0543;-1.0044;0.2693;0.0000;
13540;0.4178088;14.3819;1.6301;0.0136;10.5509;89.9355;358.5423;True;True;-0.2160;1.2938;-0.0900;356.2524;197.8315;5.5941;3.1991;-2.8352;-1.2250;0.0000;True;True;0.3044;1.4224;0.0378;325.6204;127.5231;30.4364;0.1881;-1.6223;0.1169;0.0000;
13542;0.4457924;14.3857;1.6259;0.0242;11.6705;89.6720;358.3750;True;True;-0.1856;1.2632;-0.1028;3.5815;191.7518;11.5049;2.8762;-3.1025;-1.2671;0.0000;True;True;0.3099;1.3971;0.0381;329.2049;129.4184;31.1232;0.5966;-2.6611;-0.0267;0.0000;
13544;0.473282;14.3932;1.6183;0.0352;11.3262;89.5322;358.2778;True;True;-0.1607;1.2321;-0.1177;10.9680;189.4065;11.8846;2.4089;-2.9103;-1.5807;0.0000;True;True;0.3170;1.3682;0.0339;332.3441;130.6720;33.6328;0.7454;-2.9238;-0.5853;0.0000;
13546;0.5014505;14.4038;1.6032;0.0461;8.1775;89.6035;358.2144;True;True;-0.1378;1.2078;-0.1371;10.8427;190.6030;9.2547;2.3386;-2.3423;-2.0506;0.0000;True;True;0.3239;1.3358;0.0217;337.2657;130.1048;34.1340;0.5452;-3.3028;-1.3216;0.0000;
13548;0.529168;14.4168;1.5844;0.0564;7.1413;89.6623;357.5895;True;True;-0.1102;1.1844;-0.1686;6.6197;189.5142;9.4981;2.8363;-2.3671;-3.5252;0.0000;True;True;0.3257;1.3028;0.0049;339.1236;131.0367;33.8069;0.0453;-3.2007;-1.7722;0.0000;
13550;0.5568557;14.4338;1.5650;0.0643;8.6093;89.3556;357.7564;True;True;-0.0823;1.1601;-0.2156;3.9607;186.4529;13.5837;2.7724;-2.4908;-4.9691;0.0000;True;True;0.3255;1.2722;-0.0187;336.9222;132.0840;31.1442;-0.0268;-3.0627;-2.5236;0.0000;
13552;0.5847886;14.4586;1.5475;0.0705;8.8958;88.6556;358.0054;True;True;-0.0595;1.1387;-0.2762;4.0770;183.1289;17.4406;2.0307;-1.9642;-6.0459;0.0000;True;True;0.3278;1.2429;-0.0458;339.4991;132.7188;27.9539;0.3158;-2.8215;-2.6820;0.0000;
13554;0.6125543;14.4890;1.5295;0.0740;7.7588;87.8987;357.6107;True;True;-0.0429;1.1254;-0.3468;2.6661;184.8789;17.2424;1.6680;-1.1656;-7.2946;0.0000;True;True;0.3328;1.2179;-0.0691;345.8095;135.6723;31.4714;0.4999;-2.3512;-2.1846;0.0000;
13556;0.6406931;14.5235;1.5105;0.0746;7.6484;86.9807;357.7933;True;True;-0.0217;1.1165;-0.4250;359.7186;183.1976;20.2476;2.1409;-0.8571;-7.8560;0.0000;True;True;0.3354;1.1964;-0.0848;349.6885;137.5590;35.3659;0.3038;-2.1163;-1.3993;0.0000;
13558;0.6680218;14.5642;1.4941;0.0713;7.7085;86.2084;357.2610;True;True;-0.0033;1.1072;-0.5084;357.0928;180.2984;27.1941;1.7030;-0.9953;-8.5176;0.0000;True;True;0.3368;1.1750;-0.0971;349.7151;135.4642;33.2800;0.0750;-2.1444;-1.2494;0.0000;
