USER;GAME;DATE;TIME;LANZAMIENTOS_GENERADOS;PARADAS;GOLES;N_LUCES;TRACKING_FILE;MODE;LEVEL;K_HANDBALLADAPTED;IDEJERCICIO;GOLESOBJETIVO;TIEMPOOBJETIVO;TIPO_BOLA;ID_BOLA;PUNTO_INICIAL_BOLA;ID_PUNTO_INICIAL_BOLA;PUNTO_FINAL_BOLA;ID_PUNTO_FINAL_BOLA;PARADA_BOLA;MANO_PARADA;TIEMPO_DISPARO;TIEMPO_PARADA_O_GOL
20;HGTrainer;2025-03-10 21:48:34;119.9468;80;60;20;0;/storage/emulated/0/Android/data/com.RehabImmersive.HGTrainer/HGTrainer/20/TrackingData/OculusTracking_20250310_214834.csv;Default;Progressive2;Handball;2;20;;1,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,2,1,1,1,1,1,1,1,2,1,2,1,3,1,2,3,2,1,1,1,1,1,1,2,3,3,1,2,3,3,1,1,3,3,2,3,3,1,1,2,2,1,2,2,2,1,1,2,2,1,1,1,3,1,3,2,1,1,1,1,1,1,1;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80;(7.63, 1.16, -0.02),(8.21, 1.16, -2.75),(7.96, 1.15, -3.25),(7.59, 1.15, 0.85),(7.07, 1.16, 4.70),(7.96, 1.15, 2.73),(7.80, 1.16, -3.47),(7.53, 1.16, 0.33),(4.79, 1.16, -0.70),(7.60, 1.17, 0.80),(7.40, 1.15, -0.39),(7.67, 1.15, -4.10),(7.91, 1.17, 2.78),(4.70, 1.17, -0.24),(7.89, 1.16, -3.55),(8.25, 1.15, -2.20),(7.77, 1.15, -1.05),(7.49, 1.15, -3.79),(8.19, 1.17, -2.56),(7.53, 1.15, -4.61),(4.84, 1.15, -1.36),(7.65, 1.17, -0.40),(4.93, 1.15, -1.33),(7.62, 1.15, 1.00),(8.33, 1.15, 2.18),(7.51, 1.16, -0.51),(7.93, 1.17, -3.48),(8.42, 1.15, 1.88),(7.41, 1.15, 4.69),(7.86, 1.17, 1.15),(7.73, 1.16, 3.02),(7.37, 1.15, 4.42),(4.94, 1.15, -0.99),(7.98, 1.17, -2.77),(7.17, 1.15, -5.01),(8.11, 1.17, -2.71),(4.84, 1.16, -0.40),(4.72, 1.16, -1.62),(7.57, 1.15, 0.79),(7.63, 1.17, -0.58),(8.12, 1.15, -2.27),(8.18, 1.15, 2.34),(7.35, 1.17, 4.42),(8.06, 1.17, 2.17),(4.90, 1.17, -1.79),(7.69, 1.15, 3.71),(7.83, 1.17, -3.46),(4.76, 1.15, -0.37),(4.77, 1.16, -1.72),(7.79, 1.17, -1.04),(4.80, 1.16, -1.24),(7.84, 1.17, -3.20),(7.85, 1.15, -0.83),(7.90, 1.15, -2.95),(4.76, 1.15, -0.13),(7.65, 1.15, -4.10),(7.59, 1.17, -0.40),(7.77, 1.17, 1.03),(4.65, 1.15, -1.51),(7.51, 1.17, -0.96),(7.58, 1.15, 3.97),(7.55, 1.17, -4.20),(8.02, 1.17, -2.65),(7.85, 1.16, -0.13),(8.15, 1.17, -2.29),(7.19, 1.15, -4.85),(7.76, 1.17, -0.60),(7.48, 1.17, -4.81),(8.31, 1.17, -2.22),(4.94, 1.15, -0.33),(7.93, 1.15, 2.69),(7.81, 1.15, 0.91),(7.52, 1.17, -0.26),(7.35, 1.17, -4.77),(4.85, 1.16, -0.56),(8.28, 1.15, 1.91),(7.61, 1.15, 4.46),(4.87, 1.15, -1.39),(4.76, 1.16, -0.83),(7.76, 1.17, -1.12);Pivote,LateralIzquierdo,LateralIzquierdo,Pivote,LateralDerecho,LateralDerecho,LateralIzquierdo,Pivote,Central,Pivote,Pivote,LateralIzquierdo,LateralDerecho,Central,LateralIzquierdo,LateralIzquierdo,Pivote,LateralIzquierdo,LateralIzquierdo,LateralIzquierdo,Central,Pivote,Central,Pivote,LateralDerecho,Pivote,LateralIzquierdo,LateralDerecho,LateralDerecho,Pivote,LateralDerecho,LateralDerecho,Central,LateralIzquierdo,LateralIzquierdo,LateralIzquierdo,Central,Central,Pivote,Pivote,LateralIzquierdo,LateralDerecho,LateralDerecho,LateralDerecho,Central,LateralDerecho,LateralIzquierdo,Central,Central,Pivote,Central,LateralIzquierdo,Pivote,LateralIzquierdo,Central,LateralIzquierdo,Pivote,Pivote,Central,Pivote,LateralDerecho,LateralIzquierdo,LateralIzquierdo,Pivote,LateralIzquierdo,LateralIzquierdo,Pivote,LateralIzquierdo,LateralIzquierdo,Central,LateralDerecho,Pivote,Pivote,LateralIzquierdo,Central,LateralDerecho,LateralDerecho,Central,Central,Pivote;(15.75, 1.27, -0.46),(15.75, 1.17, 1.38),(15.75, 1.66, -0.07),(15.75, 1.39, -0.06),(15.75, 1.20, 0.52),(15.75, 1.86, -1.31),(15.75, 1.26, 0.49),(15.75, 1.71, 0.00),(15.75, 1.93, -0.55),(15.75, 1.15, -1.12),(15.75, 1.13, 0.59),(15.75, 1.70, 0.68),(15.75, 1.20, 0.71),(15.75, 1.25, 1.35),(15.75, 1.32, 0.56),(15.75, 1.33, -1.18),(15.75, 1.79, -1.03),(15.75, 1.83, 1.33),(15.75, 1.32, 1.20),(15.75, 1.87, 0.59),(15.75, 1.26, 1.26),(15.75, 1.24, -0.59),(15.75, 1.26, 1.29),(15.75, 1.63, -0.06),(15.75, 1.20, 0.16),(15.75, 1.71, 1.15),(15.75, 1.88, -0.64),(15.75, 1.16, -0.09),(15.75, 1.70, -1.25),(15.75, 1.29, 0.53),(15.75, 1.27, -0.57),(15.75, 1.35, 1.30),(15.75, 1.75, 0.61),(15.75, 1.32, -1.29),(15.75, 1.79, -0.42),(15.75, 1.16, 0.08),(15.75, 1.74, -0.02),(15.75, 1.87, 0.71),(15.75, 1.75, 0.70),(15.75, 1.77, 0.54),(15.75, 1.89, 1.22),(15.75, 1.80, -1.27),(15.75, 1.84, -1.08),(15.75, 1.32, -0.61),(15.75, 1.42, -1.06),(15.75, 1.37, 0.53),(15.75, 1.74, -0.65),(15.75, 1.67, 0.55),(15.75, 1.75, -0.54),(15.75, 1.27, 0.51),(15.75, 1.23, -0.49),(15.75, 1.16, -0.56),(15.75, 1.82, -1.27),(15.75, 1.37, 0.73),(15.75, 1.23, -0.49),(15.75, 1.78, -1.27),(15.75, 1.93, 0.61),(15.75, 1.92, -0.07),(15.75, 1.36, 1.17),(15.75, 1.41, 0.59),(15.75, 1.30, -0.47),(15.75, 1.75, -1.17),(15.75, 1.92, 0.63),(15.75, 1.82, 0.72),(15.75, 1.31, -1.08),(15.75, 1.76, -0.46),(15.75, 1.33, 0.63),(15.75, 1.86, 0.59),(15.75, 1.72, 0.05),(15.75, 1.76, 1.32),(15.75, 1.26, -0.67),(15.75, 1.86, -0.07),(15.75, 1.87, 0.66),(15.75, 1.90, -0.12),(15.75, 1.35, 1.35),(15.75, 1.14, 0.76),(15.75, 1.92, -0.60),(15.75, 1.78, -0.61),(15.75, 1.72, -0.49),(15.75, 1.37, -0.54);CentroIzquierdaBajo,BajoDerecha,Centro,CentroBajo,CentroDerechaBajo,EscuadraIzquierda,CentroDerechaBajo,Centro,CentroIzquierda,BajoIzquierda,CentroDerechaBajo,CentroDerecha,CentroDerechaBajo,BajoDerecha,CentroDerechaBajo,BajoIzquierda,EscuadraIzquierda,EscuadraDerecha,BajoDerecha,CentroDerecha,BajoDerecha,CentroIzquierdaBajo,BajoDerecha,Centro,CentroBajo,EscuadraDerecha,CentroIzquierda,CentroBajo,EscuadraIzquierda,CentroDerechaBajo,CentroIzquierdaBajo,BajoDerecha,CentroDerecha,BajoIzquierda,CentroIzquierda,CentroBajo,Centro,CentroDerecha,CentroDerecha,CentroDerecha,EscuadraDerecha,EscuadraIzquierda,EscuadraIzquierda,CentroIzquierdaBajo,BajoIzquierda,CentroDerechaBajo,CentroIzquierda,CentroDerecha,CentroIzquierda,CentroDerechaBajo,CentroIzquierdaBajo,CentroIzquierdaBajo,EscuadraIzquierda,CentroDerechaBajo,CentroIzquierdaBajo,EscuadraIzquierda,CentroDerecha,Centro,BajoDerecha,CentroDerechaBajo,CentroIzquierdaBajo,EscuadraIzquierda,CentroDerecha,CentroDerecha,BajoIzquierda,CentroIzquierda,CentroDerechaBajo,CentroDerecha,Centro,EscuadraDerecha,CentroIzquierdaBajo,Centro,CentroDerecha,Centro,BajoDerecha,CentroDerechaBajo,CentroIzquierda,CentroIzquierda,CentroIzquierda,CentroIzquierdaBajo;Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Gol recibido,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Parada,Parada,Gol recibido,Gol recibido,Parada,Parada,Gol recibido,Gol recibido,Parada,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Gol recibido;LeftHand,RightHand,LeftHand,RightHand,RightHand,LeftHand,RightHand,LeftHand,LeftHand,Trunk,Trunk,LeftHand,RightHand,RightHand,LeftHand,LeftHand,LeftHand,RightHand,RightHand,LeftHand,RightHand,LeftHand,RightHand,LeftHand,RightHand,RightHand,No parada,RightHand,LeftHand,Trunk,LeftHand,No parada,RightHand,No parada,LeftHand,LeftHand,RightHand,RightHand,RightHand,RightHand,RightHand,LeftHand,LeftHand,LeftHand,LeftHand,RightHand,No parada,RightHand,LeftHand,LeftHand,LeftHand,LeftHand,LeftHand,No parada,RightHand,LeftHand,No parada,RightHand,RightHand,RightHand,RightHand,No parada,No parada,No parada,No parada,No parada,Trunk,Head,No parada,No parada,Trunk,Head,No parada,No parada,RightUpperarm,No parada,No parada,No parada,No parada,No parada;0.26178,3.177073,6.264486,9.21892,12.107494,14.941409,17.666584,20.275284,22.802415,25.274492,27.662676,29.956093,32.10806,34.080527,35.912254,37.550054,39.094516,40.4687,41.911143,43.134917,44.64723,46.328642,47.551855,49.158767,50.482063,51.605327,52.909677,54.342759,55.494175,56.967059,58.120223,59.424569,60.842016,62.328427,63.718212,65.091548,66.190279,67.731001,69.354196,70.52087,71.622278,72.728219,73.841367,75.174813,76.284585,77.746084,79.019521,80.269947,81.686655,83.172622,84.243124,85.701859,86.803184,87.865175,89.184072,90.631625,91.778089,92.962682,93.97775,95.30159,96.366991,97.468245,98.724992,99.961908,101.132899,102.238023,103.599468,104.629441,105.808571,106.863145,108.308466,109.350452,110.310689,111.503525,112.810529,114.075625,115.084383,116.347436,117.72335,119.086684;1.25655,4.355904,7.468326,10.357462,13.566513,16.189923,19.010039,21.522632,24.398329,26.439125,28.897769,31.313728,33.342461,35.591267,37.106198,38.689451,40.202566,41.714658,42.937519,44.452127,46.13169,47.352547,48.949509,50.284335,51.408722,52.701253,54.135162,55.297621,56.768755,57.909861,59.226975,60.632635,62.13093,63.518248,64.894735,65.992328,67.533843,69.158803,70.324478,71.422067,72.532245,73.630711,74.976538,76.087448,77.547563,78.810582,80.062763,81.489557,82.976063,84.046095,85.504002,86.600246,87.670432,88.976264,90.433081,91.572841,92.754878,93.780774,95.100404,96.168107,97.265365,98.516214,99.753735,100.934151,102.030409,103.392968,104.432089,105.611262,106.655837,108.100021,109.15309,110.111142,111.294656,112.613268,113.876337,114.87729,116.140308,117.516901,118.87902,119.946691

USER;GAME;DATE;TIME;LANZAMIENTOS_GENERADOS;PARADAS;GOLES;N_LUCES;TRACKING_FILE;MODE;LEVEL;K_HANDBALLADAPTED;IDEJERCICIO;GOLESOBJETIVO;TIEMPOOBJETIVO;TIPO_BOLA;ID_BOLA;PUNTO_INICIAL_BOLA;ID_PUNTO_INICIAL_BOLA;PUNTO_FINAL_BOLA;ID_PUNTO_FINAL_BOLA;PARADA_BOLA;MANO_PARADA;TIEMPO_DISPARO;TIEMPO_PARADA_O_GOL
20;HGTrainer;2025-03-10 22:00:50;60.20745;43;20;23;0;/storage/emulated/0/Android/data/com.RehabImmersive.HGTrainer/HGTrainer/20/TrackingData/OculusTracking_20250310_220050.csv;Default;PerTime;Handball;3;;60;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43;(7.63, 1.16, -1.13),(7.65, 1.17, 0.05),(7.65, 1.16, 0.46), (7.87, 1.16, -3.92),(7.85, 1.15, -3.40),(4.79, 1.16, -0.66),(7.42, 1.17, -1.06),(8.13, 1.16, -2.38),(7.94, 1.17, 0.86),(4.77, 1.16, -1.59),(7.66, 1.15, -3.70),(7.89, 1.15, 2.59),(7.32, 1.17, 4.47),(7.91, 1.15, -3.06),(4.65, 1.15, -1.64),(7.81, 1.15, 0.87),(4.95, 1.16, -1.19),(4.92, 1.16, -0.39),(8.47, 1.18, 1.91),(7.53, 1.16, 4.40),(7.96, 1.15, 2.62),(7.40, 1.17, -0.96),(4.72, 1.15, -0.37),(4.77, 1.16, -1.59),(7.51, 1.17, 4.44),(8.19, 1.15, 1.77),(7.66, 1.18, 4.34),(7.61, 1.17, 0.51),(7.46, 1.17, 3.81),(4.91, 1.15, -1.22),(7.59, 1.16, 1.14),(4.87, 1.16, -0.91),(7.67, 1.16, -4.23),(4.67, 1.15, -0.66),(7.69, 1.17, -4.11),(7.42, 1.17, -4.86),(8.18, 1.15, -2.57),(7.36, 1.16, 0.01),(4.82, 1.16, -0.48),(4.80, 1.15, -1.44),(7.69, 1.17, 0.51),(7.73, 1.15, 3.92),(7.98, 1.17, -2.90);Pivote,Central,LateralIzquierdo,Central,Pivote,LateralIzquierdo,Pivote,Central,LateralIzquierdo,LateralDerecho,LateralDerecho,LateralIzquierdo,Pivote,Central,Central,LateralIzquierdo,LateralDerecho,LateralDerecho,LateralDerecho,Pivote,Central,Central,LateralDerecho,LateralDerecho,Pivote,LateralDerecho,Central,Pivote,LateralIzquierdo,Central,LateralDerecho,Central,LateralIzquierdo,LateralDerecho,LateralIzquierdo,LateralIzquierdo,Pivote,Central,Central,Pivote,Pivote,LateralDerecho,LateralIzquierdo;(15.75, 1.32, 0.12),(15.75, 1.76, -1.07),(15.75, 1.64, 0.10),(15.75, 1.86, -1.31),(15.75, 1.81, 0.75),(15.75, 1.26, -0.49),(15.75, 1.65, -0.01),(15.75, 1.80, 0.17),(15.75, 1.76, 1.26),(15.75, 1.29, -0.04),(15.75, 1.74, -1.23),(15.75, 1.37, -0.53),(15.75, 1.28, -0.69),(15.75, 1.36, -0.48),(15.75, 1.92, -1.02),(15.75, 1.66, 1.27),(15.75, 1.69, 0.49),(15.75, 1.72, 0.58),(15.75, 1.28, 0.64),(15.75, 1.79, -1.18),(15.75, 1.25, -0.08),(15.75, 1.75, 0.54),(15.75, 1.82, 0.54),(15.75, 1.29, 0.77),(15.75, 1.15, -1.29),(15.75, 1.92, 0.64),(15.75, 1.93, -1.22),(15.75, 1.42, 0.10),(15.75, 1.65, 0.68),(15.75, 1.74, -0.07),(15.75, 1.91, -1.07),(15.75, 1.63, 0.75),(15.75, 1.74, -0.58),(15.75, 1.31, 1.22),(15.75, 1.21, 0.09),(15.75, 1.81, 0.62),(15.75, 1.77, 0.62),(15.75, 1.32, 0.72),(15.75, 1.17, 0.70),(15.75, 1.72, -0.46),(15.75, 1.70, -0.64),(15.75, 1.31, 0.61),(15.75, 1.74, 0.50); CentroDerecha,CentroDerecha,EscuadraIzquierda,Centro,CentroDerecha,CentroIzquierda,EscuadraIzquierda,BajoDerecha,CentroDerecha,CentroIzquierdaBajo,CentroDerechaBajo,CentroBajo,BajoDerecha,CentroIzquierdaBajo,CentroIzquierda,EscuadraDerecha,BajoIzquierda,CentroIzquierda,CentroDerechaBajo,Centro,EscuadraIzquierda,CentroBajo,CentroDerecha,EscuadraDerecha,CentroBajo,EscuadraIzquierda,CentroDerechaBajo,CentroIzquierda,CentroDerechaBajo,Centro,CentroIzquierdaBajo,BajoIzquierda,CentroDerecha,BajoDerecha,Centro,CentroIzquierda,EscuadraIzquierda,CentroDerecha,CentroDerechaBajo,CentroIzquierdaBajo,Centro,BajoDerecha,CentroIzquierda;Parada,Gol recibido,Gol recibido,Parada,Parada,Parada,Parada,Gol recibido,Gol recibido,Gol recibido,Parada, Parada,Parada,Parada ,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Parada,Parada,Parada,Parada,Gol recibido,Gol recibido,Parada,Gol recibido,Gol recibido,Parada, Gol recibido,Gol recibido,Parada,Parada,Gol recibido,Gol recibido,Parada,Gol recibido,Gol recibido,Parada,Gol recibido,Parada,Gol recibido,Gol recibido,Gol recibido;RightHand,No parada,No parada,RightForearm,LeftForearm,Head,RightHand,No parada,No parada,No parada,LeftUpperarm,RightHand,RightHand,LeftHand,No parada,No parada,No parada,No parada,Trunk,RightHand,LetfUpperarm,Head,No parada,No parada,RightForearm,No parada,No parada,Trunk, No parada,No parada,LeftForearm,Head,No parada,No parada,LeftHand,No parada,No parada,RightHand,No parada,Trunk,No parada,No parada,No parada;0.012214,1.003718,2.001698,3.401351,4.400026,5.402488,6.400054,7.403228,8.403366,9.400396,10.401128,11.401833,12.402017,13.4022,14.402118,15.402383,16.778569,18.097267,19.095538,20.095857,21.345106,22.334507,23.33557,24.346517,25.334563,26.346092,27.34658,28.346535,29.336322,30.335995,31.458788,32.456873,33.458632,34.458332,35.4575,36.455501,37.456034,38.45441,39.568976,40.573528,41.721036,42.721269,43.722021;0.540546,1.512494,2.42823,3.85977,5.024638,5.931144,6.900945,8.053703,8.941771,9.887044,10.901115,12.012152,13.082135,13.915344,14.915336,15.900248,17.220584,18.638595,19.734936,20.483362,21.777018,22.804785,23.789116,24.818181,25.929594,26.944323,27.85893,28.764016,29.83392,30.664658,31.971637,32.901517,33.902074,35.041569,36.080627,36.982673,37.885662,38.843639,40.026794,40.997771,42.305282,43.166591,44.20745
