USER;GAME;DATE;TIME;LANZAMIENTOS_GENERADOS;PARADAS;GOLES;N_LUCES;TRACKING_FILE;MODE;LEVEL;K_HANDBALLADAPTED;IDEJERCICIO;GOLESOBJETIVO;TIEMPOOBJETIVO;TIPO_BOLA;ID_BOLA;PUNTO_INICIAL_BOLA;ID_PUNTO_INICIAL_BOLA;PUNTO_FINAL_BOLA;ID_PUNTO_FINAL_BOLA;PARADA_BOLA;MANO_PARADA;TIEMPO_DISPARO;TIEMPO_PARADA_O_GOL
9;HGTrainer;2025-03-10 21:29:52;114.2448;83;63;20;0;/storage/emulated/0/Android/data/com.RehabImmersive.HGTrainer/HGTrainer/9/TrackingData/OculusTracking_20250310_212952.csv;Default;Progressive2;Handball;2;20;;1,1,1,1,1,1,1,1,1,3,1,3,1,1,2,1,1,1,2,1,3,1,1,2,3,1,1,2,1,1,3,2,1,2,1,3,3,2,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,3,1,1,1,2,3,2,2,1,3,3,2,2,1,2,1,1,2,1,1,3,2,3,1,3,1,2,1,2,2;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83;(8.53, 1.16, -5.30),(7.63, 1.16, -0.14),(7.76, 1.15, 1.12),(4.79, 1.16, -0.28),(8.08, 1.17, -3.19),(4.59, 1.15, -1.63),(4.85, 1.15, -1.85),(7.35, 1.16, 3.91),(4.97, 1.16, -0.33),(7.44, 1.15, 0.02),(8.07, 1.17, -2.44),(4.60, 1.15, -0.54),(7.54, 1.17, 3.75),(7.38, 1.15, -4.26),(7.72, 1.15, -1.06),(4.68, 1.16, -0.01),(8.05, 1.17, -2.84),(8.00, 1.16, 2.40),(8.24, 1.16, -2.24),(8.60, 1.17, 1.78),(4.80, 1.15, -0.08),(4.58, 1.15, -2.16),(7.95, 1.16, 0.52),(7.73, 1.16, -0.75),(7.82, 1.15, -0.36),(7.78, 1.17, 0.71),(7.42, 1.16, -4.10),(8.02, 1.17, -3.09),(7.57, 1.17, -0.09),(7.66, 1.15, -3.96),(4.84, 1.16, -0.41),(7.55, 1.17, -4.17),(7.82, 1.17, 0.80),(8.51, 1.17, 2.16),(4.63, 1.15, -1.44),(7.40, 1.15, 0.11),(4.94, 1.15, -0.35),(7.78, 1.15, -0.33),(7.62, 1.15, -4.32),(4.79, 1.15, -0.50),(4.68, 1.16, -2.00),(8.13, 1.17, -2.90),(7.84, 1.15, -0.05),(4.97, 1.15, -1.57),(8.00, 1.15, 3.47),(8.01, 1.15, 2.68),(7.68, 1.15, 0.53),(4.90, 1.17, -0.32),(7.51, 1.17, -0.48),(7.45, 1.15, -4.17),(7.63, 1.15, 0.56),(7.61, 1.17, -4.18),(8.36, 1.17, 2.27),(4.78, 1.17, 0.00),(8.01, 1.16, -3.27),(4.75, 1.16, -1.64),(4.72, 1.15, -0.01),(8.42, 1.16, 1.80),(4.64, 1.17, -1.36),(4.81, 1.15, -0.20),(7.55, 1.18, 4.37),(4.76, 1.15, -0.84),(4.64, 1.15, -0.61),(7.96, 1.17, 2.56),(7.65, 1.17, 3.69),(7.65, 1.15, -0.02),(4.80, 1.17, -1.93),(7.64, 1.15, 0.24),(4.98, 1.15, -0.04),(7.61, 1.17, 3.79),(8.02, 1.17, -2.82),(4.70, 1.15, -0.19),(4.59, 1.16, -1.59),(8.07, 1.17, 2.47),(4.94, 1.16, -0.04),(8.35, 1.17, 1.82),(4.76, 1.15, -1.51),(7.54, 1.17, -4.04),(8.06, 1.15, -2.77),(7.73, 1.15, -3.45),(4.73, 1.15, -0.37),(7.56, 1.17, -0.71),(7.68, 1.15, -3.60);LateralIzquierdo,Pivote,Pivote,Central,LateralIzquierdo,Central,Central,LateralDerecho,Central,Pivote,LateralIzquierdo,Central,LateralDerecho,LateralIzquierdo,Pivote,Central,LateralIzquierdo,LateralDerecho,LateralIzquierdo,LateralDerecho,Central,Central,Pivote,Pivote,Pivote,Pivote,LateralIzquierdo,LateralIzquierdo,Pivote,LateralIzquierdo,Central,LateralIzquierdo,Pivote,LateralDerecho,Central,Pivote,Central,Pivote,LateralIzquierdo,Central,Central,LateralIzquierdo,Pivote,Central,LateralDerecho,LateralDerecho,Pivote,Central,Pivote,LateralIzquierdo,Pivote,LateralIzquierdo,LateralDerecho,Central,LateralIzquierdo,Central,Central,LateralDerecho,Central,Central,LateralDerecho,Central,Central,LateralDerecho,LateralDerecho,Pivote,Central,Pivote,Central,LateralDerecho,LateralIzquierdo,Central,Central,LateralDerecho,Central,LateralDerecho,Central,LateralIzquierdo,LateralIzquierdo,LateralIzquierdo,Central,Pivote,LateralIzquierdo;(15.75, 1.82, 0.52),(15.75, 1.18, 0.74),(15.75, 1.19, -0.51),(15.75, 1.19, -1.27),(15.75, 1.77, -0.53),(15.75, 1.25, 0.10),(15.75, 1.67, 1.14),(15.75, 1.80, -0.72),(15.75, 1.21, -1.28),(15.75, 1.31, 0.58),(15.75, 1.24, -1.06),(15.75, 1.77, -0.61),(15.75, 1.69, -1.20),(15.75, 1.86, -0.01),(15.75, 1.37, 1.27),(15.75, 1.29, 1.20),(15.75, 1.39, 1.29),(15.75, 1.64, 1.38),(15.75, 1.43, -1.04),(15.75, 1.83, 1.17),(15.75, 1.19, -1.24),(15.75, 1.76, -0.50),(15.75, 1.42, 1.10),(15.75, 1.18, 0.57),(15.75, 1.89, 0.62),(15.75, 1.75, 0.13),(15.75, 1.74, 0.71),(15.75, 1.25, 0.03),(15.75, 1.70, 1.24),(15.75, 1.77, -1.18),(15.75, 1.16, -1.03),(15.75, 1.28, 0.03),(15.75, 1.29, -1.20),(15.75, 1.21, 1.28),(15.75, 1.43, 1.29),(15.75, 1.28, 1.12),(15.75, 1.15, 0.64),(15.75, 1.14, 1.18),(15.75, 1.92, 1.35),(15.75, 1.73, -0.54),(15.75, 1.31, 1.14),(15.75, 1.24, -1.30),(15.75, 1.18, 0.15),(15.75, 1.88, 0.66),(15.75, 1.32, 0.04),(15.75, 1.80, 1.18),(15.75, 1.84, -0.52),(15.75, 1.87, 0.57),(15.75, 1.15, -0.57),(15.75, 1.76, -0.63),(15.75, 1.21, 0.56),(15.75, 1.68, 1.22),(15.75, 1.36, -0.08),(15.75, 1.74, 0.64),(15.75, 1.76, 0.14),(15.75, 1.34, -1.31),(15.75, 1.90, -0.51),(15.75, 1.92, 0.04),(15.75, 1.43, -0.02),(15.75, 1.29, 0.54),(15.75, 1.85, -0.52),(15.75, 1.15, -1.32),(15.75, 1.87, 0.61),(15.75, 1.78, -0.71),(15.75, 1.85, 0.13),(15.75, 1.30, -0.10),(15.75, 1.39, 1.26),(15.75, 1.89, -0.44),(15.75, 1.16, -0.01),(15.75, 1.83, 0.05),(15.75, 1.86, -0.58),(15.75, 1.69, -1.12),(15.75, 1.77, 1.19),(15.75, 1.92, -0.49),(15.75, 1.35, 0.70),(15.75, 1.87, 1.10),(15.75, 1.27, -1.10),(15.75, 1.16, -0.07),(15.75, 1.17, -0.43),(15.75, 1.28, -1.07),(15.75, 1.31, -0.02),(15.75, 1.81, -1.16),(15.75, 1.17, 0.67);CentroDerecha,CentroDerechaBajo,CentroIzquierdaBajo,BajoIzquierda,CentroIzquierda,CentroBajo,EscuadraDerecha,CentroIzquierda,BajoIzquierda,CentroDerechaBajo,BajoIzquierda,CentroIzquierda,EscuadraIzquierda,Centro,BajoDerecha,BajoDerecha,BajoDerecha,EscuadraDerecha,BajoIzquierda,EscuadraDerecha,BajoIzquierda,CentroIzquierda,BajoDerecha,CentroDerechaBajo,CentroDerecha,Centro,CentroDerecha,CentroBajo,EscuadraDerecha,EscuadraIzquierda,BajoIzquierda,CentroBajo,BajoIzquierda,BajoDerecha,BajoDerecha,BajoDerecha,CentroDerechaBajo,BajoDerecha,EscuadraDerecha,CentroIzquierda,BajoDerecha,BajoIzquierda,CentroBajo,CentroDerecha,CentroBajo,EscuadraDerecha,CentroIzquierda,CentroDerecha,CentroIzquierdaBajo,CentroIzquierda,CentroDerechaBajo,EscuadraDerecha,CentroBajo,CentroDerecha,Centro,BajoIzquierda,CentroIzquierda,Centro,CentroBajo,CentroDerechaBajo,CentroIzquierda,BajoIzquierda,CentroDerecha,CentroIzquierda,Centro,CentroBajo,BajoDerecha,CentroIzquierda,CentroBajo,Centro,CentroIzquierda,EscuadraIzquierda,EscuadraDerecha,CentroIzquierda,CentroDerechaBajo,EscuadraDerecha,BajoIzquierda,CentroBajo,CentroIzquierdaBajo,BajoIzquierda,CentroBajo,EscuadraIzquierda,CentroDerechaBajo;Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Gol recibido,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Gol recibido,Gol recibido,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Gol recibido,Parada,Parada,Gol recibido,Gol recibido,Parada,Parada,Parada,Parada,Gol recibido,Gol recibido,Parada,Parada,Gol recibido,Parada,Gol recibido,Parada,Gol recibido,Parada,Gol recibido,Parada,Gol recibido,Gol recibido;LeftHand,RightHand,LeftHand,LeftHand,LeftHand,LeftHand,RightHand,RightHand,LeftHand,RightHand,LeftHand,RightHand,RightHand,LeftHand,RightHand,RightHand,RightHand,RightHand,No parada,RightHand,LeftHand,LeftHand,RightHand,RightHand,RightHand,RightHand,LeftHand,No parada,RightHand,No parada,LeftHand,LeftHand,LeftHand,No parada,RightHand,RightForearm,RightHand,RightHand,LeftHand,LeftHand,RightHand,No parada,RightHand,RightHand,No parada,No parada,LeftHand,RightHand,LeftForearm,No parada,RightHand,Head,RightForearm,RightHand,LeftHand,LeftHand,RightHand,No parada,LeftUpperarm,RightHand,No parada,LeftHand,RightHand,No parada,No parada,RightHand,RightHand,RightHand,RightHand,No parada,No parada,LeftHand,RightHand,No parada,RightHand,No parada,LeftHand,No parada,LeftHand,No parada,RightUpperarm,No parada,No parada;0.277251,3.184161,6.291386,9.229512,12.043035,14.800921,17.458407,19.950003,22.275783,24.530971,26.702219,28.776784,30.712848,32.536303,34.219991,35.725627,37.381171,38.676349,39.901636,41.376471,42.394684,43.981765,45.666208,46.821713,47.879008,48.923146,50.008788,51.122568,52.500445,53.602031,55.131558,56.482452,57.611867,58.585911,59.838119,61.285946,62.359658,63.638796,64.641184,65.714768,67.106487,68.483712,69.69484,70.64198,71.922336,73.300167,74.595725,75.473288,76.671352,77.589092,78.952994,79.802755,80.876197,81.73811,82.879777,83.798806,85.024952,86.166085,87.320434,88.505592,89.631224,90.981675,92.068327,93.196135,94.337083,95.590422,96.371608,97.497817,98.291487,99.321935,100.504881,101.632381,102.663597,103.776837,104.862018,105.866375,106.897069,108.009394,109.22029,109.958257,111.04328,112.157148,113.283393;1.317084,4.31245,7.529652,10.843832,13.071953,16.384922,19.058073,21.146477,23.652403,25.573963,27.690215,30.349117,31.950085,33.746449,35.180124,37.184822,38.38211,39.705371,41.168177,42.197481,43.784129,45.468553,46.624436,47.682111,48.726546,49.812379,50.926264,52.292197,53.404427,54.923156,56.286184,57.414547,58.388656,59.6289,61.089431,62.161549,63.442268,64.445094,65.516669,66.909001,68.287136,69.486321,70.445278,71.72602,73.091892,74.386561,75.276532,76.473646,77.392869,78.743913,79.606492,80.67878,81.541918,82.68319,83.602286,84.827411,85.96873,87.111736,88.307792,89.435335,90.7731,91.872312,92.999527,94.128536,95.381348,96.173801,97.301575,98.09492,99.125197,100.296132,101.423455,102.466979,103.580238,104.653955,105.668728,106.700224,107.813172,109.011527,109.7622,110.834999,111.959906,113.075048,114.244782

USER;GAME;DATE;TIME;LANZAMIENTOS_GENERADOS;PARADAS;GOLES;N_LUCES;TRACKING_FILE;MODE;LEVEL;K_HANDBALLADAPTED;IDEJERCICIO;GOLESOBJETIVO;TIEMPOOBJETIVO;TIPO_BOLA;ID_BOLA;PUNTO_INICIAL_BOLA;ID_PUNTO_INICIAL_BOLA;PUNTO_FINAL_BOLA;ID_PUNTO_FINAL_BOLA;PARADA_BOLA;MANO_PARADA;TIEMPO_DISPARO;TIEMPO_PARADA_O_GOL
9;HGTrainer;2025-03-10 22:07:32;60.05351;46;27;19;0;/storage/emulated/0/Android/data/com.RehabImmersive.HGTrainer/HGTrainer/9/TrackingData/OculusTracking_20250310_220732.csv;Default;PerTime;Handball;2;;60;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46;(4.79, 1.16, -1.07),(7.63, 1.16, 0.77),(8.29, 1.16, -2.47),(7.85, 1.16, 2.52),(7.61, 1.17, 4.27),(7.62, 1.17, 0.37),(8.21, 1.17, 2.27),(7.75, 1.17, -0.05),(4.69, 1.15, -1.39),(8.30, 1.15, 1.81),(8.00, 1.17, 2.90),(7.65, 1.16, -3.38),(8.43, 1.15, 2.03),(7.41, 1.18, 4.67),(4.77, 1.17, -1.48),(4.88, 1.15, -0.24),(4.65, 1.15, -1.27),(4.91, 1.16, -0.54),(7.83, 1.15, -0.39),(8.09, 1.17, 2.26),(7.41, 1.17, 4.44),(7.86, 1.17, 0.66),(7.93, 1.16, -2.91),(4.85, 1.15, -1.26),(8.00, 1.17, -2.66),(7.65, 1.15, 3.52),(8.12, 1.17, -2.23),(7.33, 1.16, -4.57),(7.67, 1.15, -0.27),(4.69, 1.15, -0.93),(4.88, 1.15, -1.26),(4.86, 1.15, -0.74),(7.68, 1.16, -0.13),(8.07, 1.15, 2.53),(4.70, 1.16, -1.04),(7.75, 1.17, -0.77),(4.89, 1.15, -0.44),(7.68, 1.17, -0.08),(4.80, 1.17, -1.74),(4.87, 1.17, -0.46),(7.20, 1.15, 4.83),(4.61, 1.16, -1.77),(4.74, 1.16, -0.50),(7.50, 1.17, -0.67),(8.14, 1.15, -2.45),(4.85, 1.17, -0.15);Central,Pivote,LateralIzquierdo,LateralDerecho,LateralDerecho,Pivote,LateralDerecho,Pivote,Central,LateralDerecho,LateralDerecho,LateralIzquierdo,LateralDerecho,LateralDerecho,Central,Central,Central,Central,Pivote,LateralDerecho,LateralDerecho,Pivote,LateralIzquierdo,Central,LateralIzquierdo,LateralDerecho,LateralIzquierdo,LateralIzquierdo,Pivote,Central,Central,Central,Pivote,LateralDerecho,Central,Pivote,Central,Pivote,Central,Central,LateralDerecho,Central,Central,Pivote,LateralIzquierdo,Central;(15.75, 1.42, -1.08),(15.75, 1.77, 0.59),(15.75, 1.37, -1.24),(15.75, 1.71, 0.71),(15.75, 1.90, 1.20),(15.75, 1.73, 1.16),(15.75, 1.17, -1.25),(15.75, 1.26, 1.36),(15.75, 1.86, -0.46),(15.75, 1.64, -0.62),(15.75, 1.21, 1.28),(15.75, 1.66, -0.44),(15.75, 1.92, -0.04),(15.75, 1.83, 0.08),(15.75, 1.14, 0.57),(15.75, 1.27, -0.64),(15.75, 1.82, 1.10),(15.75, 1.17, 1.13),(15.75, 1.76, 1.22),(15.75, 1.78, -0.66),(15.75, 1.17, 0.09),(15.75, 1.17, 0.77),(15.75, 1.89, -0.11),(15.75, 1.36, -1.24),(15.75, 1.76, 0.14),(15.75, 1.20, 0.05),(15.75, 1.41, -0.49),(15.75, 1.37, -0.69),(15.75, 1.42, -0.03),(15.75, 1.21, 1.17),(15.75, 1.40, 0.58),(15.75, 1.82, -0.64),(15.75, 1.89, 0.70),(15.75, 1.34, -1.10),(15.75, 1.20, 1.17),(15.75, 1.72, -0.55),(15.75, 1.85, 0.67),(15.75, 1.73, -1.24),(15.75, 1.92, 0.15),(15.75, 1.75, -1.25),(15.75, 1.71, 0.69),(15.75, 1.70, -1.17),(15.75, 1.91, 1.22),(15.75, 1.23, -0.50),(15.75, 1.66, 0.54),(15.75, 1.66, -1.04);BajoIzquierda,CentroDerecha,BajoIzquierda,CentroDerecha,EscuadraDerecha,EscuadraDerecha,BajoIzquierda,BajoDerecha,CentroIzquierda,CentroIzquierda,BajoDerecha,CentroIzquierda,Centro,Centro,CentroDerechaBajo,CentroIzquierdaBajo,EscuadraDerecha,BajoDerecha,EscuadraDerecha,CentroIzquierda,CentroBajo,CentroDerechaBajo,Centro,BajoIzquierda,Centro,CentroBajo,CentroIzquierdaBajo,CentroIzquierdaBajo,CentroBajo,BajoDerecha,CentroDerechaBajo,CentroIzquierda,CentroDerecha,BajoIzquierda,BajoDerecha,CentroIzquierda,CentroDerecha,EscuadraIzquierda,Centro,EscuadraIzquierda,CentroDerecha,EscuadraIzquierda,EscuadraDerecha,CentroIzquierdaBajo,CentroDerecha,EscuadraIzquierda;Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Gol recibido,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Gol recibido,Gol recibido,Parada,Parada,Parada,Gol recibido,Gol recibido,Parada,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Parada,Parada,Gol recibido;LeftHand,RightHand,LeftHand,RightHand,No parada,RightHand,RightHand,RightHand,LeftHand,RightHand,No parada,LeftHand,No parada,RightHand,RightHand,No parada,RightHand,RightHand,RightHand,LeftHand,RightForearm,RightHand,No parada,LeftHand,Head,RightForearm,No parada,No parada,RightHand,RightHand,RightUpperarm,No parada,No parada,LeftHand,No parada,No parada,No parada,No parada,No parada,No parada,No parada,No parada,No parada,LeftHand,Head,No parada;0.2065,2.760642,3.760442,5.733536,6.722312,7.693805,9.554674,11.348964,13.1235,14.123839,15.779074,16.779372,18.498964,19.498335,21.193245,22.985407,23.986652,25.734954,27.44231,28.903683,30.331888,31.833264,33.193286,34.181583,35.762505,37.084848,38.457439,39.456386,40.456756,41.721728,43.177532,44.597106,45.596254,46.596386,47.816768,48.816984,49.817647,50.817597,51.816525,52.816434,53.816919,54.816604,55.816879,56.816838,57.960438,59.054779;1.772611,3.801473,4.747681,6.734332,8.082708,8.594041,10.400239,12.178401,14.233927,14.845737,16.665709,17.581495,19.291276,20.289764,22.096213,24.000609,24.858595,26.566877,28.038893,29.470406,30.982922,32.344795,33.846448,34.928341,36.262334,37.636992,39.026496,40.111682,40.928351,42.386553,43.815083,45.304019,46.137487,47.052661,48.541074,49.346325,50.512527,51.345823,52.540666,53.513123,54.444189,55.540596,56.55409,57.274589,58.371699,59.706924
