Frame;Tiempo;ID_Luz;Estatus
10523;1.057.498;8;encendido
10578;0.7646;8;tocado
10578;0.7646;6;encendido
10662;19.337;6;tocado
10662;19.337;5;encendido
10733;29.184;5;tocado
10733;29.184;5;encendido
10808;39.588;5;tocado
10808;39.588;5;encendido
10886;50.421;5;tocado
10886;50.421;3;encendido
10952;59.588;3;tocado
10952;59.588;8;encendido
11038;71.545;8;tocado
11038;71.545;0;encendido
11115;82.250;0;tocado
11115;82.250;7;encendido
11190;92.637;7;tocado
11190;92.637;3;encendido
11269;103.613;3;tocado
11269;103.613;0;encendido
11330;112.111;0;tocado
11330;112.111;4;encendido
11381;119.191;4;tocado
11381;119.191;3;encendido
11428;125.710;3;tocado
11428;125.710;1;encendido
11494;134.856;1;tocado
11494;134.856;2;encendido
11539;141.127;2;tocado
11539;141.127;0;encendido
11626;153.197;0;tocado
11626;153.197;0;encendido
11696;162.941;0;tocado
11696;162.941;7;encendido
11779;174.439;7;tocado
11779;174.439;8;encendido
11853;184.735;8;tocado
11853;184.735;4;encendido
11907;192.224;4;tocado
11907;192.224;2;encendido
11973;201.395;2;tocado
11973;201.395;0;encendido
12039;210.559;0;tocado
12039;210.559;5;encendido
12113;220.839;5;tocado
12113;220.839;8;encendido
12169;228.613;8;tocado
12169;228.613;4;encendido
12216;235.160;4;tocado
12216;235.160;5;encendido
12278;243.746;5;tocado
12278;243.746;5;encendido
12344;252.937;5;tocado
12344;252.937;6;encendido
12416;262.945;6;tocado
12416;262.945;3;encendido
12502;274.862;3;tocado
12502;274.862;3;encendido
12553;281.960;3;tocado
12553;281.960;7;encendido
12611;290.002;7;tocado
12611;290.002;7;encendido
12675;298.900;7;tocado
12675;298.900;5;encendido
12733;306.951;5;tocado
12733;306.951;0;encendido
12811;317.783;0;tocado
12811;317.783;1;encendido
12851;323.350;1;tocado
12851;323.350;5;encendido
12902;330.427;5;tocado
12902;330.427;8;encendido
12952;337.368;8;tocado
12952;337.368;8;encendido
13013;345.837;8;tocado
13013;345.837;1;encendido
13074;354.310;1;tocado
13074;354.310;5;encendido
13131;362.224;5;tocado
13131;362.224;7;encendido
13182;369.314;7;tocado
13182;369.314;5;encendido
13243;377.770;5;tocado
13243;377.770;8;encendido
13293;384.745;8;tocado
13293;384.745;5;encendido
13335;390.547;5;tocado
13335;390.547;0;encendido
13399;399.461;0;tocado
13399;399.461;1;encendido
13440;405.181;1;tocado
13440;405.181;6;encendido
13534;418.198;6;tocado
13534;418.198;6;encendido
13605;428.065;6;tocado
13605;428.065;7;encendido
13652;434.591;7;tocado
13652;434.591;6;encendido
13708;442.372;6;tocado
13708;442.372;8;encendido
13800;455.167;8;tocado
13800;455.167;5;encendido
13841;460.835;5;tocado
13841;460.835;4;encendido
13879;466.120;4;tocado
13879;466.120;7;encendido
13923;472.223;7;tocado
13923;472.223;3;encendido
14035;487.810;3;tocado
14035;487.810;1;encendido
14082;494.316;1;tocado
14082;494.316;0;encendido
14131;501.125;0;tocado
14131;501.125;4;encendido
14180;507.933;4;tocado
14180;507.933;4;encendido
14222;513.731;4;tocado
14222;513.731;0;encendido
14274;520.981;0;tocado
14274;520.981;5;encendido
14340;530.154;5;tocado
14340;530.154;8;encendido
14386;536.542;8;tocado
14386;536.542;0;encendido
14451;545.573;0;tocado
14451;545.573;7;encendido
14529;556.397;7;tocado
14529;556.397;6;encendido
14576;562.953;6;tocado
14576;562.953;6;encendido
14625;569.744;6;tocado
14625;569.744;5;encendido
14697;579.717;5;tocado
14697;579.717;2;encendido
14740;585.720;2;tocado
14740;585.720;4;encendido
14794;593.196;4;tocado
14794;593.196;5;encendido
